point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0002,"Land off York Road, St Ann's, Rotherham, S65 1PN",-1.348773,53.435459,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.47,owned by a public authority,,not permissioned,,,,,15,30,yes,"RDF0061 - Housing allocation in the Rotherham Local Plan,H20, LDF0065",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0004,"Land at Boswell Street and Arundel Road, Herringthorpe, Rotherham",-1.340764,53.425265,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.46,,,not permissioned,,,,,11,15,yes,"RDF0082 - H29, LDF0088,",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0005,"Land behind Bradgate Club, Bradgate Lane, Rotherham, S61 1QJ",-1.38567,53.435341,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.59,,,not permissioned,,,,,14,19,,"RDF0139 - Housing allocation in the Rotherham Local Plan,H7, LDF0181,",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0006,"Timberyard, Outgang Lane, Dinnington, S25 3QX",-1.214415,53.3761,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,7.96,not owned by a public authority,,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2012/1643,,167,271,yes,"RDF0175 - Housing allocation in the Rotherham Local Plan,H75, LDF0238,",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0008,"Tarmac site off Blyth Road, Maltby, Rotherham, S64 8HJ",-1.205144,53.421777,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.95,not owned by a public authority,,permissioned,full planning permission,2017-06-02,http://rotherham.planportal.co.uk/?id=RB2015/1075,,18,25,yes,"RDF0268 - Under Construction, Housing allocation in the Rotherham Local Plan,H68, LDF0409,",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0009,"North Farm Close, Harthill, S26 7YH",-1.26201,53.325376,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.75,not owned by a public authority,,not permissioned,,,,,14,17,yes,"RDF0360 - Housing allocation in the Rotherham Local Plan,H94, LDF0551, included in larger development proposal not yet decided for 51 dwellings",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0010,"128-130 Wellgate, Rotherham, S60 2LL",-1.351992,53.427807,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.65,owned by a public authority,,permissioned,full planning permission,2019-11-29,http://rotherham.planportal.co.uk/?id=RB2019/1035,,52,100,yes,"RDF0859 - Housing allocation in the Rotherham Local Plan,H22, LDF0565,",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0011,"Moorgate House, Moorgate Road, Rotherham, S60 2AD",-1.352757,53.42621,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.43,not owned by a public authority,,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2007/1136,,10,26,yes,"RDF1017 - Housing allocation in the Rotherham Local Plan,H23, LDF0563, 2020 - Demolition application received",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0012,"Land off Mansfield Road, North of A57, Aston, Rotherham",-1.303652,53.354299,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.78,not owned by a public authority,,permissioned,full planning permission,2018-09-10,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2018/0021,,18,24,yes,"RDF1619 - Under Construction, Housing allocation in the Rotherham Local Plan. Forms part of a wider allocation which in total is estimated to have capacity for 99 homes,H90, LDF0792,",2017-09-29,2020-12-15,
,http://opendatacommunities.org/id/metropolitan-district-council/rotherham,Rotherham Metropolitan Borough Council,BR0013,"Land to the north west of Doncaster Road, Dalton, Rotherham",-1.317059,53.443248,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,0.63,not owned by a public authority,,not permissioned,,,,,15,38,yes,"RDF1671 - Housing allocation in the Rotherham Local Plan,H25, LDF0134",2017-09-29,2020-12-15,
