point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Land Rear Church And Dwight, Caesars Way, Folkestone, Kent",,,,,Owned by a public authority,,,,,,77,77,77,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Land Adjoining Fairlight Terrace, Lydd Road, New Romney, Kent, TN28 8HE",,,,,Not owned by a public authority,,,,,,21,21,21,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"11 Littlestone Road, Littlestone, Kent, TN28 8LN",,,,,Not owned by a public authority,,,,,,11,11,11,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Two Bells Inn , 58 Canterbury Road, Folkestone, Kent, CT19 5NJ",,,,,Not owned by a public authority,,,,,,12,12,12,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Charlier House, 8 - 12 Stade Street, Hythe, Kent, CT21 6BE",,,,,Not owned by a public authority,,,,,,6,6,6,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"12-14 Princess Street, Folkestone, Kent, CT19 6EB",,,,,Not owned by a public authority,,,,,,8,8,8,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"The Leas Club, The Leas, Folkestone, Kent, CT19 2DP",,,,,Not owned by a public authority,,,,,,68,68,68,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"72 Cheriton High Street, Folkestone, Kent, CT19 4HF",,,,,Not owned by a public authority,,,,,,12,12,12,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"52 - 54 Guildhall Street, Folkestone, Kent, CT20 1EE",,,,,Not owned by a public authority,,,,,,14,14,14,,,,2018-05-22,
,http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,"Folkestone Constitutional Club, 43-45 Guildhall Street, Folkestone, Kent CT20 1EF",,,,,Not owned by a public authority,,,,,,8,8,8,,,,2018-05-22,
