point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS001,"ALBERT MILL, WHITWORTH",-2.17781,53.6531,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.53,not owned by a public authority,,permissioned,full planning permission,2020-11-02,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQHI00DT00L,85,85,85,yes,"2019/0341 full planning applicationgranted for 85 units in November 2020. Local Plan Submission version proposes to allocate the site (H65) for 49 dwellings.. Demolition of existing building and erection of 37 no. dwellings and 48 apartments for the over 55s, with associated works.",2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS007,"REED STREET, BACUP",-2.19613,53.7044,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.42,not owned by a public authority,,permissioned,outline planning permission,2019-11-22,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PD1WOGNDINT00,22,22,22,yes,"2018/0414 outline planning application approved for 22 dwellings. Local Plan Submission version proposes to allocate the site (H21) for 13 dwellings.. Outline Application (including access, appearance, layout and scale): Residential development of 22 terraced properties.",2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS009,"HARE AND HOUNDS GARAGE, STACKSTEADS",-2.23197,53.6923,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.15,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIUF3UND02K00,9,9,9,,2015/0030 - outline approval has expired. Local Plan Submission version proposes to allocate the site (H36) for 9 dwellings. 2018/0476 - Variation of cond. 2 of 2015/0030 planning permission (to re-position 4 of the 9 houses previously permitted) (Application Withdrawn). Demolition of existing workshop/garage and construction of 9 dwellings with access from Four Lane Ends Road,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS011,"FMR COMMERCIAL HOTEL, STACKSTEADS",-2.22431,53.6914,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.04,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQGNCUNDM2Y00,7,7,7,,Planning permission 2015/0261 for the conversion of the public house and two shops to 7 flats has expired in November 2018. Local Plan Submission version proposes to allocate the site (H24) for 7 dwellings.. Conversion of public house and two retail units to 7 Apartments,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS012,"14 DEARDENGATE, HASLINGDEN",-2.32463,53.7062,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0H4WBND02K00,6,6,6,,2016/0001 planning permission for the conversion of first floor into 6 no. flats expired in March 2019. Conversion of first floor into 6 no. residential flats.,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS013,LOVECLOUGH WORKING MENS CLUB,-2.28612,53.7399,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.44,not owned by a public authority,,permissioned,full planning permission,2013-03-11,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXANDJV936,10,10,10,,Part of the proposed allocation site H13 in the Local Plan Submission version. 2011/0457 permissioned.. Erection of ten houses including new access and car parking (amended plans),2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS017,"SHADLOCK SKIP, STACKSTEADS",-2.236242,53.690626,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.84,not owned by a public authority,,not permissioned,,,,22,22,22,,Identified as a potential allocation but no planning history.. Local Plan Submission version proposes to allocate for 22 dwellings (Site H35),2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS019,FMR HASLINGDEN POLICE STATION,-2.32278,53.7024,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,,permissioned,full planning permission,2016-10-03,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQFS00DT02X,8,8,8,yes,"2017/0221 - Section 73 application to vary conditions 4 (construction method statement) and 5 (off-site highway works) pursuant to Planning Approval 2016/0320 granted. Police station has been demolished. Local Plan submission version proposes to allocate the site (H45) for 8 dwellings.. Demolition of existing police station and erection of 8 No. dwellings, and construction of access, car parking, landscaping and associated works.",2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS020,"LAND OFF LEES ST, BRITANNIA",-2.18283,53.6919,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,,permissioned,reserved matters approval,2006-11-30,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWVNDJV796,4,4,4,,2006/393 (Reserved Matters) ; 2006/0189.. Erection of 4 dwellings,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS022,"1 LABURNUM STREET, HASLINGDEN",-2.3284,53.7062,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.04,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXANDJV096,8,8,8,,Outline permission (2012/0096) expired. Local Plan Submission version proposes to allocate the site (H46) for 8 dwellings.. Conversion from retail shop and warehouse to 8 no. dwellings,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS024,"BOLTON AND CARR MILLS, COWPE",-2.250402,53.690263,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.22,not owned by a public authority,,not permissioned,,,,11,11,11,,Identified as a potential allocation but no planning history.. Local Plan Submission version proposes to allocate the site (H55) for 11 dwellings,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS028,"GLEN MILL, STACKSTEADS",-2.2407,53.6909,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.18,not owned by a public authority,,permissioned,outline planning permission,2018-03-01,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMX8STNDGNP00,9,9,9,yes,"Outline permission: 2017/0130 granted in 2018 for 9 units. Local Plan Submission version proposes to allocate the site (H23) for 9 dwellings.. Outline (all matters for approval except landscaping): Demolition of Existing Mill and Erection of 9 No. Residential Units, ( 3 bed dwellings), Associated Parking and Alterations to the Existing Access.",2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS029,"GREENBRIDGE MILL, RAWTENSTALL",-2.27883,53.6997,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.24,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWWNDJV227,29,29,29,yes,Identified as a potential allocation but no planning history.. Local Plan Submission version proposes to allocate the site (H1) for 64 dwellings.,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS030,"KNOTT MILL WORKS, MILLAR BARN LANE, WATERFOOT",-2.25074,53.6928,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,,not permissioned,,,,5,5,5,,Identified as a potential allocation but no planning history.. Local Plan Submission version proposes to allocate the site (H56) for 5 dwellings.,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS032,"LAND AT BLACKWOOD ROAD, STACKSTEADS",-2.23073,53.6884,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.23,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXBNDJV233,31,31,31,,2011/0548 - Permission for change of use of former scrap yard to campsite expired. Part of the site H25 proposed to be allocated for housing in the Local Plan Submission version.. Change of use of former scrap yard to campsite for static and touring caravans with an area for tents including the provision of a welfare block and the use of the on site house for use as a warden house,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS034,"MAGISTRATES COURT, RAWTENSTALL",-2.29152,53.7003,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.03,not owned by a public authority,,permissioned,full planning permission,2014-10-16,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5XRCBNDKLH00,11,11,11,yes,"Planning application: 2014/0233. Local Plan Submission version proposes to allocate the site (H2) for 11 dwellings.. 11 apartments, including rooflights",2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS035,"OLD MARKET HALL, BACUP",-2.20192,53.7021,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXCNDJV042,16,16,16,,"Planning history: 2010/0101, 2009/0562. Local Plan Submission version proposes to allocate the site (H20) for 16 dwellings",2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS038,"WATERSIDE MILL, BACUP",-2.20301,53.7056,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.17,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZX0NDJV060,5,5,5,,Planning history: 2000/299 - Conversion of mill to 16 no self contained flats. Local Plan Submission version proposes to allocate the site (M1) for mixed-use including 39 dwellings,2017-12-15,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS040,"LAND TO SIDE AND REAR OF PETROL STATION, MANCHESTER ROAD",-2.318415,53.700799,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,,not permissioned,,,,6,6,6,,Planning history: 2004/877. Local Plan Submission version proposes to allocate the site (H51) for 6 dwellings,2018-12-14,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS041,"SPINNING POINT, RAWTENSTALL",-2.283841,53.701429,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.88,mixed ownership,,permissioned,full planning permission,2018-03-27,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N44CH7ND01A00,28,28,28,yes,"Planning application (2017/0617) granted in 2018. Local Plan Submission version proposes to allocate the site (M2) for mixed-use including 28 apartments.. Full planning application for the redevelopment of the former Valley Centre site for a mixed use development comprising leisure, hotel, housing and commercial uses (including Use Classes A1, A2, A3, A4, B1, C1, C3 and D2 of the Town and Country Planning (Use Classes) (Amendment) (England) Order 2015) including the creation of an area of public open space with associated landscape and highway works.",2018-12-14,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS044,BREARLEY ST GARAGE SITE,-2.216789,53.693547,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,mixed ownership,,not permissioned,,,,3,3,3,,"The site is considered available, suitable and achievable but too small to be included in the housing land supply as it would deliver less than 5 dwellings.. The site is considered available, suitable and achievable but too small to be included in the housing land supply as it would deliver less than 5 dwellings.",2018-12-14,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS045,"VILLAGE PINE GLEN TOP WORKS, STACKSTEADS",-2.241357,53.691179,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,,permissioned,full planning permission,2020-02-13,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQR500DT01O,14,14,14,,"2019/0101 - change of use and conversion of commercial unit to 14 no. apartments with associated works approved on 13 February 2020. Change of use and conversion of Commercial Unit to 14 no. Apartments, with associated works.",2020-12-17,2020-12-17,
,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS046,"85 GRANE ROAD, HASLINGDEN",-2.327728,53.701478,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.3,not owned by a public authority,,permissioned,permission in principle,2019-10-02,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQ3600DT00T,9,9,9,,2019/0329 - Permission in Principle: Use of previously developed land for up to 9 no. houses. Permission in Principle: Use of previously developed land for up to 9 no. houses,2020-12-17,2020-12-17,
