point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR005,"14 Bath Road And Land To Rear Of 12-24 Bath Road, Old Town",-1.778704,51.55303,,0.13,,,permissioned,full planning permission,2015-02-03,,12,12,12,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR006,"Abbey Stadium, Lady Lane, Swindon (Residual)",-1.791156,51.606531,,6.4,,,permissioned,outline planning permission,2015-04-02,,171,171,171,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR007,"Land At Lady Lane, Swindon",-1.79315,51.609397,,2.2,,,permissioned,outline planning permission,2015-07-07,,52,52,52,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR010,"Land At Clevedon House, 29 Woodland View, Wroughton",-1.786437,51.536253,,0.6,,,permissioned,outline planning permission,2015-08-04,,10,10,10,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR012,"Land At Nursery Close, Wroughton, Swindon",-1.793776,51.522148,,0.08,,,permissioned,full planning permission,2015-11-26,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR014,"Abbey Farm Site, Swindon",-1.800982,51.609254,,23.6,,,permissioned,reserved matters approval,2016-02-16,,350,350,350,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR015,"3-5 Lagos Street, Swindon, SN1 2BU",-1.780443,51.564704,,0.12,,,permissioned,full planning permission,2016-11-03,,8,8,8,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR016,44 Victoria Road Old Town Swindon SN1 3AY,-1.778178,51.556112,,0.01,,,permissioned,full planning permission,2017-09-12,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR019,"Abbeymeads Medical Practice, Elstree Way, Abbey Meads, Swindon",-1.79342,51.597808,,0.19,,,permissioned,full planning permission,2016-06-21,,7,7,7,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR023,"The Quadrant, Stonehill Green, Swindon",-1.819241,51.562092,,0.62,,,permissioned,full planning permission,2016-03-11,,100,100,100,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR024,"Minerva House, Delta 800, Welton Road, Westlea, Swindon",-1.816581,51.559986,,0.42,,,permissioned,other,2016-06-02,,38,38,38,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR025,"Land At Abbey Farm, Tadpole Lane Blunsdon St. Andrew Swindon",-1.800472,51.60946,,0.076,,,permissioned,full planning permission,2018-01-10,,6,6,6,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR027,"Former Hertz Rent A Car, Hyde Road, Stratton St Margaret, Swindon",-1.756112,51.588008,,0.23,,,permissioned,outline planning permission,2013-12-18,,12,12,12,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR029,South Marston Hotel And Spa Old Vicarage Lane South Marston Swindon SN3 4SH,-1.719676,51.587405,,2.49,,,permissioned,full planning permission,2017-10-27,,70,70,70,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR030,"Former Woolworth Distribution Centre, Faraday Road, Dorcan, SN3 5HH Now known as Ignition Park",-1.726309,51.557048,,9.31,,,permissioned,outline planning permission,2016-02-22,,165,165,165,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR033,"Land To The Rear Of 89, 91 & 93 Ermin Street, Blunsdon, Swindon, SN26 8AA",-1.794441,51.611763,,0.62,,,permissioned,full planning permission,2017-12-12,,14,14,14,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR038,"28 & 29 Newport Street, Old Town, Swindon",-1.775882,51.550054,,0.02,,,permissioned,full planning permission,2016-05-06,,6,6,6,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR040,Land Off Kingsdown Road Kingsdown Road Kingsdown Swindon,-1.746768,51.598333,,2.16,,,permissioned,reserved matters approval,2018-03-27,,160,160,160,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR045,Selina House 192 Oxford Road Stratton St Margaret Swindon SN3 4HA,-1.751255,51.574131,,0.153,,,permissioned,full planning permission,2018-02-08,,8,8,8,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR049,"Union Square, Swindon",-1.781726,51.563264,,10.18,,,permissioned,outline planning permission,2012-05-03,,405,405,405,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR050,Land At Marlborough Park Swindon,-1.766698,51.540781,,15.3,,,permissioned,full planning permission,2017-04-10,,91,91,91,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181901,Crown Timber Site Unit A Thornhill Industrial Estate outh Marston Swindon,-1.729012,51.586939,,2.1,,,permissioned,outline planning permission,2018-05-15,,47,47,47,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181915,Bus Depot Eastcott Road Old Town Swindon SN1 3LS,-1.780691,51.554122,,0.63,,,permissioned,full planning permission,2018-11-21,,45,45,45,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181917,Morris Street Club 20-22 Morris Street Rodbourne Swindon SN2 2HU,-1.801562,51.565596,,0.04,,,permissioned,full planning permission,2018-10-22,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181918,Coachbuilders House Stratton Road Stratton St Margaret Swindon,-1.762084,51.570294,,0.23,,,permissioned,full planning permission,2018-09-07,,8,8,8,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181920,175 - 176 Manchester Road Swindon SN1 1TU,-1.782897,51.564644,,0.18,,,permissioned,full planning permission,2018-12-18,,6,6,6,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181922,2 Temple Chambers Temple Street Swindon SN1 1SQ,-1.782661,51.55904,,0.01,,,permissioned,full planning permission,2018-05-18,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181923,53 Victoria Road Old Town Swindon SN1 3AY,-1.777846,51.555757,,,,,permissioned,other,2018-08-22,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,PP181924,99-100 Victoria Road Old Town Swindon SN1 3BE,-1.77671,51.553074,,,,,permissioned,other,2018-05-24,,31,31,31,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0006,"Land north of Edison Road, Dorcan",-1.727288,51.555305,,1.66547,not owned by a public authority,,Not permissioned,,,,50,50,50,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0024,"Oak House, Rivermead Drive, Swindon",-1.826729,51.569192,,2.52151,not owned by a public authority,,Not permissioned,,,,,,,yes,Suitable for non residential development,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0070,Nythe Complex,-1.741264,51.565407,,0.933738,owned by a public authority,,Not permissioned,,,,28,28,28,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0082,Land bounded by Netherton Close/ Cranemore Avenue/ Keswick Road,-1.744905,51.550565,,0.169387,owned by a public authority,,Not permissioned,,,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0090,"Coal Yard, Signal Way",-1.774146,51.548621,,0.179717,owned by a public authority,,Not permissioned,full planning permission,2014-08-23,,8,8,8,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0093,"Former youth Centre, Sparcells",-1.830491,51.5782,,0.14,,,permissioned,full planning permission,2018-11-15,,6,6,6,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0099,North Star (Former Clares Site and Oasis Leisure Centre),-1.792698,51.568885,,13.0547,,,permissioned,full planning permission,2018-03-05,,,,,yes,Suitable for non residential development,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0100,Aspen House and Granville Street Car Park,-1.783934,51.559327,,1.26874,,,pending decision,outline planning permission,,,118,118,118,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0101,Tented Market,-1.787405,51.559517,,0.135119,,,pending decision,full planning permission,,,101,101,101,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0111,Thornhill Industrial Estate,-1.727309,51.585659,,5.08878,not owned by a public authority,,Not permissioned,,,,,,,yes,Suitable for non residential development,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0113,Site of disused retail units on Devizes Road,-1.790611,51.523084,,0.07755,,,Allocation,full planning permission,2017-06-28,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0115,Sites of garages on Perrys Lane,-1.79276,51.525949,,0.114833,,,Allocation,,,,5,5,5,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0120,Fleetway House,-1.787231,51.562094,,0.179619,,,permissioned,other,2017-06-28,,12,12,12,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0122,"39-45 Fleet Street, Swindon",-1.785588,51.562884,,0.0848,,,Not permissioned,full planning permission,,,16,16,16,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0125,"Falcon House, Fleming Way Car Park, Debenhams and 17 The Parade",-1.782885,51.562069,,0.845724,,,permissioned,,2018-07-26,,90,90,90,yes,,,2019-12-15,
,http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,s0126,One Sanford Street,-1.782989,51.561682,,0.143576,,,permissioned,,2017-11-23,,40,40,40,yes,,,2019-12-15,
