point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/bristol,,04/00562/F,2-4 Church Road Lawrence Hill Bristol BS5 9PP,-2.56427,51.457603,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=0400562F,0.06,,,permissioned,full planning permission,2004-05-11,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=0400562F&activeTab=summary,,22,22,yes,Alternative site reference: O10_952,2017-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,04/02177/F,Former Courage Brewery Counterslip Redcliff Bristol,-2.588635,51.45398,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=HYMYT5DNDD000,2.28,,,permissioned,full planning permission,2006-11-21,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=HYMYT5DNDD000&activeTab=summary,,431,431,yes,Alternative site reference: O10_877,2017-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,04/03995/P,Redfield Post Office Chalks Road Bristol BS5 9EW,-2.551278,51.459864,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I4G002DN2D000,0.04,,,permissioned,outline planning permission,2005-03-01,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=I4G002DN2D000&activeTab=summary,,11,11,yes,Alternative site reference: O10_940,2018-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,04/04126/P,Land At Wapping Wharf Wapping Road Bristol,-2.598709,51.447254,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I520C3DNGC000,4.19,,,permissioned,outline planning permission,2007-06-22,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=I520C3DNGC000&activeTab=summary,,61,61,,Alternative site reference: O10_593C,2017-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,17/04673/F,Plot ND6 Temple Quay North Temple Gate Bristol,-2.5814,51.452857,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OUW31RDNJMD00,0.38,,,permissioned,full planning permission,2019-04-02,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=OUW31RDNJMD00&activeTab=summary,,120,120,yes,Alternative site reference: O10_878D,2019-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,04/05284/F,3-5 Bushy Park Bristol BS4 2EG,-2.577935,51.441142,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I9H9KLDN98000,0.1,,,permissioned,full planning permission,2006-06-19,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=I9H9KLDN98000&activeTab=summary,,13,13,yes,Alternative site reference: O10_1039,2018-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,05/03988/F,Former Imperial Tobacco Office Building Hengrove Way Bristol BS14 0HR,-2.602685,51.41526,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=IO56ECDN3J000,4.66,,,permissioned,full planning permission,2007-02-22,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=IO56ECDN3J000&activeTab=summary,,422,422,yes,Alternative site reference: O10_1067,2017-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,06/05456/F,100 - 110 North Street Bedminster Bristol BS3 1HF,-2.606018,51.440657,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JAXIXDDNIM000,0.07,,,permissioned,full planning permission,2007-03-21,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=JAXIXDDNIM000&activeTab=summary,,22,22,yes,Alternative site reference: O10_1068,2018-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,07/02235/F,Former Avonmouth Bus Depot Avonmouth Road Bristol BS11 9LP,-2.694501,51.499439,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JIFTQCDN0DD00,0.2,,,permissioned,full planning permission,2008-03-05,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=JIFTQCDN0DD00&activeTab=summary,,23,23,yes,Alternative site reference: O10_1172,2018-12-19,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/bristol,,08/03169/P,104 Belle Vue Road Easton Bristol BS5 6BX,-2.561468,51.466403,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=K4D1L7DN00J00,0.04,,,,,,,,,,,Alternative site reference: O10_1201,2018-12-19,2020-12-18,2020-12-18
