point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR129-16,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP",1.307303,51.13201,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=631489.0,142172.0,27700&scale=1000",0.69,not owned by a public authority,,permissioned,full planning permission,2018-07-27,,,65,65,yes,"Erection of a two and three storey building incorporating 70 'Extra Care' apartments (C2 use) for older persons, communal facilities, parking and landscaping (existing building to be demolished) - work on site now under Construction",2016-06-20,2019-11-13,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR130-16,"Albany Place Car Park, Dover",1.311557,51.123533,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=631829.0,141243.0,27700&scale=1000",0.4,owned by a public authority,,Not Permissioned,,,,,15,15,yes,Allocated in the Land Allocations Local Plan (LA4) on the 28/01/2015,2016-06-20,2016-06-20,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR133-16,"Coombe Valley, Dover",1.282334,51.1315,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=629773.0,142032.0,27700&scale=1000",6.78,not owned by a public authority,,permissioned,,,,,242,242,yes,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this,2016-06-20,2016-06-20,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR135-16,"Land off Dunedin Drive, Dover",1.302196,51.140772,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=631088.0,143130.0,27700&scale=1000",0.26,owned by a public authority,,Not Permissioned,,,,,8,8,yes,Allocated in the Land Allocations Local Plan (LA10) on 28/01/2015,2016-06-20,2016-06-20,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR171-16,"East Studdal Nursery, Downs Road, East Studdal",1.327922,51.19978,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=632590.0,149771.0,27700&scale=1000",1,not owned by a public authority,,permissioned,outline planning permission,2019-05-15,,,30,30,yes,"Outline application for residential development (existing nursery buildings to be demolished retaining existing dwelling) (appearance, landscaping, layout and scale reserved) - Not started",2016-06-20,2019-11-13,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR173-16,"Eastry Hospital, Mill Lane, Eastry",1.305426,51.243496,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=630800.0,154560.0,27700&scale=1000",3.29,not owned by a public authority,,permissioned,full planning permission,2018-08-09,,,80,80,yes,"Redevelopment of site to provide a total of 100 residential units comprising: two storey terrace, semi-detached and detached new build dwellings; Change of use and conversion of Tewkesbury House and the Chapel to provide 568 sq m of community space (Use Class D1) and employment space (Use Class B1) two residential units; minor demolition, alteration and conversion of the 'Old Workhouse' to provide ten residential units; retention and reinstatement of the fire damaged Range building and erection of a two-storey terrace of ten residential units' ; car parking, landscaping, public open space and alteration to existing access (Amended plans and documents) - not started",2016-06-20,2019-11-13,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR174-16,"The Old Chalk Pit, Heronden Road, Eastry",1.295737,51.242483,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=630129.0,154417.0,27700&scale=1000",0.68,not owned by a public authority,,Not Permissioned,,,,,20,20,yes,Allocated in the Land Allocations Local Plan (LA30) on the 28/01/2015,2016-06-20,2016-06-20,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR181-16,"Prima Windows, Easole Street, Nonington",1.240027,51.223837,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=626333.0,152171.0,27700&scale=1000",1.14,not owned by a public authority,,Not Permissioned,,,,,35,35,yes,Allocated in the Land Allocations Local Plan (LA41) on the 28/01/2015,2016-06-20,2016-06-20,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR219 -16,"Connaught Barracks, Dover Road, Guston, CT16 1HL",1.319599,51.133623,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=632341.0,142390.0,27700&scale=1000",10.12,owned by a public authority,,permissioned,,,,,300,300,yes,"Allocated in Core Strategy (CP10) on the 24/02/2010 - Not Started Part of site under permission, the remainder of the site has planning application pending",2016-06-20,2016-06-20,
,http://opendatacommunities.org/id/district-council/dover,Dover District Council,BR220-16,"Buckland Paper Mill, Crabble Hill, Dover",1.293016,51.138567,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=630457.0,142856.0,27700&scale=1000",4,owned by a public authority,,Not Permissioned,,,,,150,150,yes,Allocated in the Land Allocations Local Plan (LA9) on the 28/01/2015 - Approx third of the site has the benefit of full planning permission (BR62-16). The remainder of the site is an allocated site,2016-06-20,2019-11-13,
