point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,UT019,"Haulage Depot, St Thomas's Road",-2.911731,53.502805,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.4,not owned by a public authority,,not permissioned,,,,,15,15,yes,Haulage Depot. Allocated in the Local Plan. Completions expected on site within 5 years.,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE071A,"Former reservoirs off, Land at Bridge End, Macclesfield Road",-2.040834,53.113255,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,1.1,not owned by a public authority,,permissioned,full planning permission,2018-03-15,,,11,11,yes,Reserved Matters granted March 2018. Completions expected on site within 5 years,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE066,"Kniveden Hall and Springhill, Mount Road",-2.00214,53.106466,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,3.5,owned by a public authority,,not permissioned,,,,,50,50,,Care home in wooded grounds,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE073,"Portland Mill, Portland Street",-2.016988,53.107076,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.46,not owned by a public authority,,permissioned,full planning permission,2017-08-30,,,49,49,yes,Retirement apartments - now complete,2017-01-12,2020-12-14,31/10/2019
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,BD055,"Site of former, Meadows School, Tunstall Road",-2.179966,53.387526,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.66,owned by a public authority,,not permissioned,other,,,,20,20,yes,Former school now derelict. Pending planning application. Completions expected on site within 5 years,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,BD102,"Minster Mill, Walley Street",-2.175088,53.11876,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.28,not owned by a public authority,,not permissioned,,,,,42,42,yes,Underused retail & employment site. Allocated in the Local Plan. Completions expected on site within 5 years,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,CH014,"Hurst Yard, Meadow Drive / Bank Street",-1.989264,52.985185,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.95,not owned by a public authority,,permissioned,full planning permission,2015-02-27,,,42,42,yes,Now complete - all social rented.,2017-01-12,2020-12-14,26/02/2019
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,CH015,"Stoddards Depot, Leek Road",-1.986105,52.990209,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.8,not owned by a public authority,,not permissioned,,,,,32,32,yes,Coach Depot and Oil Depot Yard. Allocated in the Local Plan. Completions expected on site within 5 years,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,CH020,"Land north of, The Green",-2.005827,52.984133,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,1.2,not owned by a public authority,,not permissioned,other,,,,42,42,yes,Mixed Use Site. Allocated in the Local Plan. Planning application on part of site pending consideration. Completions expected on site within 5 years,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE151,"Compton Mill, Compton Street",-2.02444,53.103578,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.36,not owned by a public authority,,permissioned,full planning permission,2017-11-19,,,57,57,yes,Planning permission for apartments age 55+ with care,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE088,"Big Mill, Mill Street",-2.032419,53.107558,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.63,not owned by a public authority,,permissioned,full planning permission,2004-08-08,,,44,44,,"Shade and Davenport Mill now converted, Big Mill part not started",2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE079,London Mill Leek,-2.024082,53.104306,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.37,not owned by a public authority,,not permissioned,,,,,93,93,,,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE260,Hughes concrete Leek,-2.034111,53.094551,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,6.59,not owned by a public authority,,permissioned,outline planning permission,2015-08-17,,,175,175,yes,"Resi up to 175 dwellings, open space, play area, live work units, marina (inc LE261). Completions expected on site within 5 years",2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,EN135,"Land and Buildings at, Endon Riding School, Stanley Moss Road",-2.176096,53.120403,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,1.46,not owned by a public authority,,permissioned,full planning permission,2019-08-15,,,10,10,yes,"Operating Equestrian business including indoor arena, ancillary buildings, manege, and landscaping. Completions expected on site within 5 years",2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,OC067,"Land at, Caverswall Park Farm, Caverswall Lane",-2.082912,52.978414,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.42,not owned by a public authority,,permissioned,full planning permission,2016-11-18,,,7,7,yes,Change of Use & new build now complete,2017-01-12,2020-12-14,30/03/2018
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,OC076,coregreenyard scrapyard tenford lane,-1.975292,52.959842,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.73,not owned by a public authority,,permissioned,full planning permission,2018-02-23,,,6,6,yes,Redevelopment to provide 6 new dwellings. Completions expected on site within 5 years,2017-01-12,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,OC115,"Trent Head Farm, Barrage Road",-2.139427,53.115373,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.37,not owned by a public authority,,permissioned,outline planning permission,2017-03-10,,,6,6,yes,Conversion of disused boarding kennels to bungalows. Completions expected on site within 5 years,2018-12-13,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE149,"Garage, Broad Street, Leek",-2.02683,53.10391,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.08,not owned by a public authority,,not permissioned,,,,,7,7,,Garage. Previous planning application lapsed.,2018-12-13,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE290,"Car Park, Bath Street",-2.021558,53.106365,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.1,not owned by a public authority,,permissioned,full planning permission,2016-05-13,,,5,5,yes,Car Park. Completions expected on site within 5 years,2018-12-13,2020-12-14,04/01/2019
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE293,14-18 Russell Street,-2.024321,53.104971,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.06,not owned by a public authority,,permissioned,,,,,5,5,,Night Club & Offices. Previous planning application lapsed.,2018-12-13,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,LE298,Pride of the Moorlands,-2.030948,53.0983,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.15,not owned by a public authority,,permissioned,outline planning permission,2017-03-20,,,7,7,yes,Public House. Completions expected on site within 5 years,2018-12-13,2020-12-14,
,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,,CH193,"The Crown Inn, Tean Road",-1.990027,52.969454,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,0.2,not owned by a public authority,,permissioned,outline planning permission,2016-11-10,,,5,5,yes,Public House. Completions expected on site within 5 years,2018-12-13,2020-12-14,
