point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/medway,,3,"89 Ingram Road, Gillingham",0.560513,51.390117,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.16,not owned by a public authority,,permissioned,full planning permission,2019-05-02,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZOYKNPM585,,0,0,yes,22 flats completed November 2020,2019-01-24,2020-12-01,2020-03-05
,http://opendatacommunities.org/id/unitary-authority/medway,,100,"320 - 344 High Street inc. 42 New Road, Rochester",0.5135,51.383176,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.6,not owned by a public authority,,not permissioned,,,,,111,111,yes,,2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,102,"1-35 High Street, Chatham (Grays Garage)",0.518006,51.383565,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.59,not owned by a public authority,,not permissioned,,,,,97,97,yes,,2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,144,"St Bartholomews Hospital, New Road, Rochester",0.515454,51.38264,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.98,not owned by a public authority,,permissioned,full planning permission,2020-10-08,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PZ7IZ3KNL0R00,,155,155,yes,,2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,213,"352-356 Luton Road, Luton",0.545584,51.371071,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.31,not owned by a public authority,,not permissioned,,,,,22,22,,,2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,493,Land rear of 7-13 New Road and r/o 5 New Road fronting The Paddock CHATHAM,0.524299,51.381181,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.06,not owned by a public authority,,permissioned,full planning permission,2018-02-09,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP1KNPM974,,0,0,yes,"Site now under construction. Two separate permissions cover this site: MC/17/0093 and MC/17/0092. Latest details for the other permission can be found here https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP1KNPM973. Previous permissions for rear of 7-13 New Road include MC/00/1809 permitted 14/6/2001, MC/03/0995 permitted 19/5/2004, MC/04/2816 permitted 6/4/2006, MC/11/0842 permitted on appeal 16/4/2013, MC/17/0092 permitted 9/2/2018, MC/19/2821 variation of condition approved 5/2/2020, MC/19/2850 discharge of conditions 23/4/2020, MC/20/1424 discharge of conditions 10/7/2020, MC/20/2467 non material amendment approved 6/11/2020. Pending MC/20/2417. Previous permissions for rear of 5 New Road include MC/19/2822 variaton of condition approved 28/2/2020, MC/19/2849 discharge of conditions 23/4/2020, MC/20/2466 non material amendment permitted 6/11/2020, MC/20/2418 conditions discharged November 2020",2020-03-05,2020-12-01,2020-12-01
,http://opendatacommunities.org/id/unitary-authority/medway,,530,389 High Street CHATHAM,0.518029,51.380066,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.06,not owned by a public authority,,not permissioned,,,,,24,24,yes,"Building now demolished. Expired planning permissions MC/06/0452 permitted 12/6/2006, MC/07/2089 permitted 20/3/2008, MC/11/0476 permitted 10/5/2011, MC141772 permitted 27/3/2015, MC/17/0737 discharge of conditions 28/3/2017, MC/18/0054 variation of condition permitted 27/3/2018, MC/18/0071 conditions discharged 6/3/2018.",2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,537,"22-26 Victoria Street, Rochester",0.505418,51.385445,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.12,not owned by a public authority,,permissioned,full planning permission,2018-03-06,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PG0UY5KNFZN00,,3,3,yes,4 completed on another part of this site in 2020. Site area and polygon amended to show the remaining area with permission for 3 dwellings.,2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,547,85 Church Street GILLINGHAM,0.560567,51.392886,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.09,not owned by a public authority,,permissioned,full planning permission,2020-06-05,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PSSGZYKNM1200,,16,17,yes,,2020-03-05,2020-12-01,
,http://opendatacommunities.org/id/unitary-authority/medway,,663,"82 Jeffery Street, Gillingham",0.549239,51.387728,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.14,not owned by a public authority,,permissioned,full planning permission,2017-02-24,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP5KNPM797,,12,12,,"MC192152 details to full permission, split decision 8/10/2019. Previous permissions MC/10/1095 permitted 25/8/2010 for 12 dwellings, MC/12/2779 granted 17/1/2013 for retail unit and timber mill",2019-01-24,2020-12-01,
