point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0171,"Quinton Road, Wootton",-0.880875,52.19556,https://www.northampton.gov.uk/download/downloads/id/10720/bfr0171,1.16,not owned by a public authority,,not permissioned,,,,,,,yes,"Part of Former Wootton Sewage Works. Part of the site is within Floodzone 2,3 and 3B. Allocated in emerging Local Plan (Part 2)",2018-12-20,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0181,Ransome Road/Nunn Mills Road,-0.88908,52.227895,https://www.northampton.gov.uk/download/downloads/id/10716/bfr0181,11.85,owned by a public authority,,not permissioned,,,,,,,yes,Site allocated in CAAP and Emerging Local Plan (Part 2) for residential development,2017-12-13,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0191,"Blackthorn Middle School, Blackthorn Road",-0.814142,52.269257,https://www.northampton.gov.uk/download/downloads/id/10049/bfr0191,3.24,not owned by a public authority,,permissioned,full planning permission,2019-09-30,,,,,yes,Site was formerly Blackthorn Middle School and now vacant. N/2018/0848 - full permission. Under construction as of April 2020.,2017-12-13,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0205,"Parklands Middle School, Devon Way",-0.874267,52.271068,https://www.northampton.gov.uk/download/downloads/id/10046/bfr0205,4.94,owned by a public authority,,permissioned,reserved matters approval,2019-10-24,,,,,yes,N/2006/1052 (WNDC app) Outline App for residential development withdrawn (23 Jan 2012). N/2018/0904 Outline application with all matters reserved except access for up to 132no dwellings (approved 21/3/19). N/2019/0591 Reserved matter application for 132 dwellings approved (24/10/2019). Work not commenced as of April 2020.,2017-12-13,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0288,Railway Station Car Park,-0.905585,52.237643,https://www.northampton.gov.uk/download/downloads/id/10048/bfr0288,2.13,owned by a public authority,,not permissioned,,,,,,,yes,Forms part of Policy 19 (Castle Station) in the Central Area Action Plan (adopted 2013) and emerging Local Plan (Part 2).,2017-12-13,2019-12-18,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0335,Chronicle & Echo North,-0.890553,52.242881,https://www.northampton.gov.uk/download/downloads/id/10053/bfr0335,0.88,not owned by a public authority,,permissioned,full planning permission,2018-12-03,,,,,yes,"Allocated in CAAP and emerging Local Plan (Part 2). N/2016/1434 (temporary car park, Great Russell Street) proposed construction of 12 dwellings (approved) COMPLETED 2020. N/2016/0319. N/2018/1162 The Cuckoo’s Nest change of use of Public House to 6 flats, approved 3/12/18, not yet implemented as of April 2020. N/2019/0426 (former Top of the Town Nightclub) Construction of four storey building (including basement) to provide 14no flats and basement parking approved 13 July 2020, supersedes previous lapsed permissions.",2017-12-13,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0336,Chronicle & Echo South,-0.891159,52.242147,https://www.northampton.gov.uk/download/downloads/id/10721/bfr0336,0.30,not owned by a public authority,,permissioned,reserved matters approval,2016-03-18,,,,,yes,"Allocated in CAAP and emerging Local Plan (Part 2). N/2015/0333 Hybrid planning application comprising (a) Full Planning Application for the erection of 1810m2 new retail food store with associated access from Earl Street, landscaping and car parking; and (b) Outline Planning Application with all matters reserved except access (from Great Russell Street) of up to 19 residential dwellings. Aldi foodstore completed, outline amended 2018. Reserved matter Application N/2019/0357 for 14 dwellings approved 20/2/2020.",2017-12-13,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0338,Countess Road,-0.913337,52.244493,https://www.northampton.gov.uk/download/downloads/id/10056/bfr0338,2.55,not owned by a public authority,,permissioned,full planning permission,2019-09-25,,,,,yes,"Allocated in emerging Local Plan (Part 2). N/2015/1021 and N/2017/0401 superseded by N/2019/0563 Barker Buildings, part demolition and conversion of the existing factory building to 54no apartments and the erection of a new 3-storey building to provide 14no apartments, together with bin and cycle storage and parking (approved 25/9/19), under construction April 2020.",2016-06-29,2020-12-16,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0507,"Former Semilong Service Station, St Andrews Road",-0.90401,52.243256,https://www.northampton.gov.uk/download/downloads/id/10072/bfr0507,0.08,not owned by a public authority,,permissioned,full planning permission,2012-12-13,,,,,yes,N/2005/0797 planning permission for 24 flats. N/2012/0905 planning permission for 22 unit residential care home (C2). Both proposals involve offices on the ground floor. Construction works have started on site.,2016-06-29,2017-12-13,
,http://opendatacommunities.org/id/district-council/northampton,Northampton Borough Council,BFR0510,"Bective Works/Jabez House, Bective Road/Yelvertoft Road",-0.89841,52.264334,https://www.northampton.gov.uk/download/downloads/id/10062/bfr0510,0.53,not owned by a public authority,,permissioned,other,2015-07-30,,,,,yes,"Lawful Development Certificate N/2019/1450 issued 27/01/2020 in respect of N/2015/0419, demolition of Bective Works and Jebez House and erection of student accommodation comprising 293 study bedrooms and including retail unit accessed from Yelvertoft Road. N/2019/0612 Erection of purpose-built student accommodation comprising 385no rooms with 420no bed-spaces, following partial demolition of existing buildings approved in principle 19/05/2020.",2017-12-13,2020-12-16,
