point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,,,,,,,,,,,,,,,,,,,2018-05-22,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0483,"Site Of 53-61 Tweedale Street, Rochdale",,,,0.04,not owned by a public authority,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0551,"Former Council Depot, Off Schofield Street, Littleborough",,,,0.33,not owned by a public authority,,Not Permissioned,,,,13,13,13,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0559,"Mechplant, Off Schofield Street, Littleborough",,,,0.43,,,Not Permissioned,,,,17,17,17,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0569,"Land Off Durn Street, Durn, Litleborough",,,,0.58,not owned by a public authority,,Not Permissioned,,,,23,23,23,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0591,"Darnhill School Site (Half), Sutherland Road, Heywood",,,,0.48,not owned by a public authority,,Not Permissioned,,,,19,19,19,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0594,"Ealees Area Of Opportunity, Littleborough",,,,1.24,not owned by a public authority,,Not Permissioned,,,,20,20,20,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0596,"Iversons Building, Drake Street, Rochdale",,,,0.04,,,Not Permissioned,,,,12,12,12,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0597,"High Birch School, Bolton Road, Rochdale",,,,0.61,not owned by a public authority,,Not Permissioned,,,,24,24,24,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 0606,"Wardle Mill, Knowl Syke Street, Rochdale",,,,0.95,,,Not Permissioned,,,,29,29,29,,,2017-11-29,2017-11-29,
