point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA1863,Land at Flint Street Derker,-2.091945,53.550112,http://maps.oldham.gov.uk/WebMapLayers8/?x=394005.370244132&y=405944.26979495&resolution=0.2&MapName=Brownfield,0.07,,,not permissioned,,,,,6,6,yes,PA/334264/13; previously received planning permission for residential,2017-12-22,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2088,"Bailey Mill, Delph",-2.145506,53.535126,http://maps.oldham.gov.uk/WebMapLayers8/?x=398575.502055683&y=407350.426378091&resolution=0.2&MapName=Brownfield,0.86,,,not permissioned,,,,,50,50,yes,Phase 1 housing allocation,2017-12-22,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2090,"Land at Oldham Road/ Hardman Street, Failsworth",-2.167614,53.506556,http://maps.oldham.gov.uk/WebMapLayers8/?x=388884.566299642&y=401137.05502312&resolution=0.2&MapName=Brownfield,1.56,,,not permissioned,,,,,10,10,yes,"Phase 1 mixed use allocation for B1, B2 and residential",2019-11-01,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2091(2),"Frenches Wharf, adjacent to Knoll Mill, Greenfield",-2.078592,53.564656,http://maps.oldham.gov.uk/WebMapLayers8/?x=399408.372091666&y=404832.370720256&resolution=0.2&MapName=Brownfield,0.59,,,permissioned,full planning permission,2017-04-19,https://www.oldham.gov.uk/info/200405/search_for_an_application,,30,30,yes,PA/338869: Erection of 26no. dwellings (use class: C3) and 369.44m (gross external) of commercial space (use class: A1/A2/A3/B1). Under construction.,2017-12-22,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2101,"Land off Ripponden Road / Cornhill Street, Oldham",-2.022976,53.562784,http://maps.oldham.gov.uk/WebMapLayers8/?x=394540.013346063&y=406542.941735292&resolution=0.2&MapName=Brownfield,0.22,,,not permissioned,,,,,14,14,yes,"PA/054903/08; previously received planning permission for residential, development not commenced",2017-12-22,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2118,Estate St/Panmure St,-2.169059,53.506834,http://maps.oldham.gov.uk/WebMapLayers8/?x=392754.344007672&y=403720.187240554&resolution=0.2&MapName=Brownfield,0.06,,,not permissioned,,,,,5,5,yes,PA/040865/00; previously received planning permission for residential,2017-12-22,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2132,"Land adjacent to 14 Hebron Street, Heyside, Royton",-2.10607,53.542192,http://maps.oldham.gov.uk/WebMapLayers8/?x=393321.398469243&y=407448.395881589&resolution=0.2&MapName=Brownfield,0.12,,,permissioned,full planning permission,2019-01-29,https://www.oldham.gov.uk/info/200405/search_for_an_application,,6,6,yes,PA/341863/18; Extant permission for residential; development not commenced.,2019-11-01,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2207,"Land adj., 306 Waterloo Street, Oldham, OL4 1ER (formely Land adj. 308, Waterloo St)",-2.083887,53.555499,http://maps.oldham.gov.uk/WebMapLayers8/?x=393648.46908672&y=404297.095876788&resolution=0.2&MapName=Brownfield,0.06,,,not permissioned,,,,,5,5,yes,"PA/055303/08; previously received planning permission for residential, development not commenced",2017-12-22,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2225,"Land off Tanners Fold, Fitton Hill, Oldham",-2.104626,53.521419,http://maps.oldham.gov.uk/WebMapLayers8/?x=393062.218169188&y=402784.408820635&resolution=0.2&MapName=Brownfield,0.16,,,not permissioned,,,,,8,8,yes,"PA/053552/07; Previously had outline permission for residential, expired in 2010 but site still considered devlierable long term.",2019-11-01,2020-11-11,
,https://opendatacommunities.org/atlas/resource?uri=http%3A%2F%2Fopendatacommunities.org%2Fid%2Fgeography%2Fadministration%2Fmd%2FE08000004&inactive=false,Oldham Council,HLA2234,"Land at Springhey Mill, Huddersfield Road",-2.097669,53.523836,http://maps.oldham.gov.uk/WebMapLayers8/?x=394923.054752312&y=405892.94178121&resolution=0.2&MapName=Brownfield,0.33,,,not permissioned,,,,,30,30,yes,PA/047612/04; previously received planning permission for residential,2017-12-22,2020-11-11,
