point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,2014/1061/OUT,Land to the Rear 35-47 Jordan Court,-0.004999,51.623249,https://maps.london.gov.uk/brownfield-site-register,0.11,not owned by a public authority,,not permissioned,,,,,5,5,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,132613,1-20 Forest Court,0.018193,51.628231,https://maps.london.gov.uk/brownfield-site-register,0.1,not owned by a public authority,,not permissioned,,,,,5,5,yes,,2017-12-06,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,181043,16 Forest View,0.008518,51.635222,https://maps.london.gov.uk/brownfield-site-register,0.09,not owned by a public authority,,permissioned,full planning permission,2018-08-07,,,5,5,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,151810,Kirkdale House 7 Kirkdale Road,0.009676,51.569529,https://maps.london.gov.uk/brownfield-site-register,0.06,not owned by a public authority,,not permissioned,,,,,34,34,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,171743,9 Osier Way,-0.016118,51.560085,https://maps.london.gov.uk/brownfield-site-register,0.43,not owned by a public authority,,pending decision,,,,,196,196,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,193694,The Score Centre 100 Oliver Road,-0.013814,51.559336,https://maps.london.gov.uk/brownfield-site-register,2.89,owned by a public authority,,pending decision,,,,,750,750,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,160233,Rowden Parade,-0.016651,51.608178,https://maps.london.gov.uk/brownfield-site-register,0.15,not owned by a public authority,,permissioned,full planning permission,2017-06-20,,,30,30,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,162160,676-678 High Road Leytonstone,0.011777,51.568765,https://maps.london.gov.uk/brownfield-site-register,0.15,not owned by a public authority,,permissioned,full planning permission,2017-01-25,,,9,9,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,171712,428 Hale End Road,0.000034,51.607607,https://maps.london.gov.uk/brownfield-site-register,0.03,not owned by a public authority,,permissioned,full planning permission,2017-09-29,,,5,5,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,153229,Gresham Works Rear of 1-3 Mornington Road,0.003544,51.631881,https://maps.london.gov.uk/brownfield-site-register,0.03,not owned by a public authority,,permissioned,other,2015-12-04,,,9,9,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,174038,The Substation Gainsborough Road,0.011837,51.571093,https://maps.london.gov.uk/brownfield-site-register,0.08,not owned by a public authority,,permissioned,full planning permission,2018-10-01,,,9,9,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,141775,370-372 Grove Green Road,0.002308,51.566382,https://maps.london.gov.uk/brownfield-site-register,0.04,not owned by a public authority,,not permissioned,,,,,7,7,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,182249,Naseberry Court 2 Meriam Close SSA11,-0.003594,51.611167,https://maps.london.gov.uk/brownfield-site-register,1.03,owned by a public authority,,permissioned,full planning permission,2019-01-25,,,48,48,yes,,2017-12-06,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,183989,Juniper House Hoe Street,-0.017506,51.582896,https://maps.london.gov.uk/brownfield-site-register,0.36,owned by a public authority,,permissioned,full planning permission,2019-08-16,,,90,90,yes,,2017-12-06,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,183424,Webbs Industrial Estate 108 BHL06,-0.038784,51.590574,https://maps.london.gov.uk/brownfield-site-register,1.7,owned by a public authority,,pending decision,,,,,359,359,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,182917,Blackhorse Road Car Park (TfL Forest Road Carpark - Part of BHL site 1),-0.042472,51.587407,https://maps.london.gov.uk/brownfield-site-register,0.73,owned by a public authority,,permissioned,full planning permission,2019-02-18,,,350,350,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,160923,Osier Way (Bywaters Waste Site - NOF Site 7 also BEA3),-0.016227,51.558909,https://maps.london.gov.uk/brownfield-site-register,5.16,not owned by a public authority,,permissioned,outline planning permission,2017-12-28,,,730,730,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,170893,"Forest Works, 1 Forest Road",-0.042189,51.587933,https://maps.london.gov.uk/brownfield-site-register,1.25,not owned by a public authority,,permissioned,full planning permission,2017-10-09,,,337,337,yes,,2017-12-06,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,202561,"Standard Music Venue The Tryst, 1 Blackhorse Lane",-0.040784,51.587379,https://maps.london.gov.uk/brownfield-site-register,0.23,not owned by a public authority,,pending decision,,,,,300,300,yes,,2017-12-06,2019-12-10,
,http://opendatacommunities.org/id/london-borough-council/waltham-forest,,180378,30-32 Sutherland Road,-0.038615,51.592828,https://maps.london.gov.uk/brownfield-site-register,0.09,not owned by a public authority,,permissioned,other,2018-03-13,,,12,12,yes,,2017-12-06,2019-12-10,10/12/2019
