point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR028,Westbury Estate,-0.139441,51.46984,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2.84,owned by a public authority,,permissioned,outline planning permission,2019-09-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0T1RVBOIWV00,,181,181,yes,,2017-12-15,2019-12-20,
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR017,44 Clapham Common South Side,-0.138776,51.45763,,1.41,not owned by a public authority,,permissioned,full planning permission,2018-03-29,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OL40Z6BOKOL00&activeTab=summary,,293,293,yes,,2017-12-15,2018-12-17,2019-12-20 00:00:00
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR022,184 Larkhall Lane,-0.131237,51.469863,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,0.06,not owned by a public authority,,permissioned,full planning permission,2018-04-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=makeComment&keyVal=O4G9WSBOK2J00,,14,14,yes,,2017-12-15,2018-12-17,
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR029,Hemans Estate,-0.130305,51.478601,,1.91,owned by a public authority,,not permissioned,,,,,21,21,,,2017-12-15,2017-12-15,2019-12-20 00:00:00
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR006,93 King's Avenue,-0.129232,51.452703,,0.29,not owned by a public authority,,permissioned,full planning permission,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,,5,5,yes,,2017-12-15,2017-12-15,2019-12-20 00:00:00
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR003,Fenwick Estate South,-0.127122,51.463812,,0.47,owned by a public authority,,permissioned,full planning permission,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,,55,55,yes,,2017-12-15,2017-12-15,2019-12-20 00:00:00
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR027,Fenwick Estate,-0.127103,51.464639,,3.15,owned by a public authority,,not permissioned,,,,,236,236,,,2017-12-15,2017-12-15,2019-12-20 00:00:00
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR010,340A Clapham Road,-0.126674,51.469497,,0.19,not owned by a public authority,,permissioned,full planning permission,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,,62,62,yes,,2017-12-15,2017-12-15,2019-12-20 00:00:00
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR005,12-20 Wyvil Road,-0.124917,51.481472,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,0.38,not owned by a public authority,,permissioned,full planning permission,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,,278,278,yes,,2017-12-15,2017-12-15,
,http://opendatacommunities.org/id/london-borough-council/lambeth,,BLR009,"Texaco Garage, 36-46 Albert Embankment",-0.121093,51.488785,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,0.19,not owned by a public authority,,permissioned,full planning permission,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,,166,166,yes,,2017-12-15,2017-12-15,
