point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF006,"WarrenClose,Brandon",,,,0.39,not owned by a public authority,,pending decision,,,,23,23,23,yes,"Brownfield, previous library and preschool",2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF007,"LandOffGasHouseLane,Brandon",,,,0.35,not owned by a public authority,,permissioned,outline planning permission,2019-01-09,,10,10,10,yes,"Brownfield, previous gasworks",2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF012,"Landrearof65,69,73StationRoad,Lakenheath",,,,0.81,,,not permissioned,,,,24,24,24,yes,"Brownfield- gardens within settlement boundary, but not town",2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF015,"DistrictCouncilOffices,CollegeHeathRoad,Mildenhall",,,,2.01,owned by a public authority,,not permissioned,,,,89,89,89,yes,Brownfield- Council offices,2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF016,"LandAtWamilCourt,Mildenhall",,,,0.62,owned by a public authority,,not permissioned,,,,18,18,18,yes,Brownfield - care home,2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF019,"FormerSwimmingPoolSite,Newmarket",,,,0.26,not owned by a public authority,,permissioned,outline planning permission,2016-03-10,,14,14,14,yes,Brownfield - old swimming pool site and disused public house within settlement boundary,2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF020,"StFelixMiddleSchoolSite,Newmarket",,,,1.39,owned by a public authority,,not permissioned,,,,50,50,50,yes,"Mixed - outbuildings associated with school, in settlement boundary",2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF021,"LandOffTurnpikeRoad,RedLodge",,,,2.56,mixed ownership,,not permissioned,,,,132,132,132,yes,"Mixed - residential, haulage depot, garage",2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF031,"BuryStEdmundsGardenCentre,BuryStEdmunds",,,,1.37,not owned by a public authority,,not permissioned,,,,30,30,30,yes,Brownfield - garden centre,2017-09-01,2019-12-16,
,http://opendatacommunities.org/id/district-council/west-suffolk,,BF032,"GaragesAndBusDepot,CottonLane,BuryStEdmunds",,,,0.65,not owned by a public authority,,not permissioned,,,,50,50,50,yes,Brownfield - bus depot and car repairs/ dealership,2017-09-01,2019-12-16,
