point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 8,"Union Street West Car Park, Union Street, Farnborough",-0.758098,51.295747,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.24,owned by a public authority,,not permissioned,,,,,15,15,,,2018-12-10,2020-12-08,
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 9,"Union Street East Car Park, Union Street, Farnborough",-0.754301,51.295581,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.08,owned by a public authority,,not permissioned,,,,,8,8,,,2017-12-11,2019-12-09,
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 15,"Farnborough Civic Quarter, Farnborough",-0.757203,51.289569,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,4.27,mixed ownership,,not permissioned,,,,,700,700,,Note that areas of non-brownfield land have been excluded,2017-12-11,2020-12-08,
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 102,"Willow House, 23 Grosvenor Road, Aldershot",-0.766858,51.248701,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.06,not owned by a public authority,,not permissioned,,,,,15,15,,,2017-12-11,2020-12-08,
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 304,"69 Gordon Road, Aldershot",-0.763784,51.245809,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.06,not owned by a public authority,,permissioned,full planning permission,2018-07-13,,,9,9,yes,Planning permission granted in July 2018 for the conversion of the existing building to provide 9 dwellings (ref. 18/00400/FULPP),2018-12-10,2019-12-09,2019-12-09
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 305,"Woodcot Court, 2a Woodcot Gardens, Farnborough",-0.782199,51.295002,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.25,not owned by a public authority,,permissioned,full planning permission,2020-07-01,,,7,7,yes,Planning permission granted in July 2020 for the demolition of the existing buildings and the erection of 7 two-storey houses (ref. 20/00229/FULPP),2020-12-08,2020-12-08,
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 320,"Fleet Road Car Park, Fleet Road, Farnborough",-0.778693,51.295236,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.1,owned by a public authority,,not permissioned,,,,,6,6,,,2017-12-11,2020-12-08,
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 516,"The Crescent, Southwood Business Park, Summit Avenue, Farnborough",-0.78435,51.29284,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,4.24,not owned by a public authority,,permissioned,full planning permission,2019-03-19,,,159,159,yes,"Planning permission granted in March 2019 for the comprehensive redevelopment of the site, including the demolition of the existing buildings and the erection of 159 residential units (ref. 16/00837/FULPP)",2017-12-11,2020-12-08,2020-12-08
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 518,"Meudon House, Meudon Avenue, Farnborough",-0.755828,51.287909,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2.04,not owned by a public authority,,permissioned,full planning permission,2020-01-29,,,197,197,yes,Planning permission granted in January 2020 for the demolition of the existing building and the erection of 197 dwellings (ref. 19/00337/FULPP),2017-12-11,2020-12-08,2020-12-08
,http://opendatacommunities.org/id/district-council/rushmoor,,SHELAA ID: 554,"The Galleries Shopping Centre, High Street Multi-Storey Car Park and The Arcade, Aldershot",-0.763011,51.249506,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,1.84,mixed ownership,,pending decision,,,,,596,596,yes,"The Council's Development Management Committee resolved to grant planning permission in November 2020 for a phased development of 596 flats, including flexible commercial uses, subject to the completion of a satisfactory s106 legal agreement (ref. 20/00508/FULPP)",2017-12-11,2020-12-08,
