point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/high-peak,,G32,"Adderley Place, Glossop",-1.97238,53.443918,https://www.highpeak.gov.uk/brownfield-land.csv,1.3,mixed ownership,,not permissioned,,,,,48,48,,,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,BV002,Birch Vale Industrial Estate,-2.436789,52.0386,https://www.highpeak.gov.uk/brownfield-land.csv,4.4,not owned by a public authority,,not permissioned,,,,,100,100,,,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,TI001,Former Bridge Mills,-1.972198,53.469005,https://www.highpeak.gov.uk/brownfield-land.csv,3.84,not owned by a public authority,,permissioned,full planning permission,2018-03-19,,,119,119,yes,Site is under construction.,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,BW004,"Britannia Mills, Buxworth",-1.975947,53.337548,https://www.highpeak.gov.uk/brownfield-land.csv,1.4,not owned by a public authority,,not permissioned,,,,,50,50,,Outline Planning application pending,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,GL043,"Charlestown Works, Glossop",-1.94987,53.433197,https://www.highpeak.gov.uk/brownfield-land.csv,3.39,not owned by a public authority,,permissioned,reserved matters approval,2018-03-26,,,97,97,yes,Site is under construction.,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,CI001,FORGE WORKS,-1.934561,53.335987,https://www.highpeak.gov.uk/brownfield-land.csv,7.44,not owned by a public authority,,permissioned,reserved matters approval,2017-11-29,,,153,153,yes,Site is under construction.,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,BX055,"Former Campus, Harpur Hill, Buxton",-1.900778,53.235712,https://www.highpeak.gov.uk/brownfield-land.csv,4.65,not owned by a public authority,,permissioned,full planning permission,2019-03-07,,,155,155,yes,Site is under construction,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,GL070,Former railway museum,-1.969877,53.448655,https://www.highpeak.gov.uk/brownfield-land.csv,3.9,not owned by a public authority,,not permissioned,,,,,89,89,,,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,BX057,HARDWICK SQUARE SOUTH,-1.912798,53.256063,https://www.highpeak.gov.uk/brownfield-land.csv,0.47,not owned by a public authority,,permissioned,other,,,,28,28,yes,Site is under construction. Number of Prior approval applications.,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,GL056,"Hawkshead Mill, Hope Street",-1.936131,53.451509,https://www.highpeak.gov.uk/brownfield-land.csv,0.8,not owned by a public authority,,permissioned,full planning permission,2020-06-19,,,31,31,yes,Reserved Matters application approved.,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,B3,"Hogshaw, Buxton",-1.909243,53.264474,https://www.highpeak.gov.uk/brownfield-land.csv,11.7,mixed ownership,,not permissioned,,,,,68,68,yes,,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,CS001,"Holehouse Mill, Marple Road, Chisworth",-2.002625,53.427113,https://www.highpeak.gov.uk/brownfield-land.csv,1.7,not owned by a public authority,,not permissioned,,,,,22,22,,Permission on the site has lapsed,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,BX115,"LEEK ROAD, Buxton",-1.936457,53.252069,https://www.highpeak.gov.uk/brownfield-land.csv,0.79,not owned by a public authority,,permissioned,full planning permission,2017-08-18,,,8,8,yes,Completions expected on site within 5 years,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,BX051,"Market Street Depot, Buxton",-2.00229,53.367456,https://www.highpeak.gov.uk/brownfield-land.csv,0.8,owned by a public authority,,not permissioned,,,,,24,24,yes,Completions expected on site within 5 years,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,NM041,"Newtown Industrial Area, New Mills",-2.005791,53.359267,https://www.highpeak.gov.uk/brownfield-land.csv,2.99,not owned by a public authority,,not permissioned,,,,,15,15,,,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,GA001,OLD RAIL SIDINGS GLOSSOP ROAD GLOSSOP GAMESLEY (Samas Roneo),-1.982211,53.444154,https://www.highpeak.gov.uk/brownfield-land.csv,4.42,not owned by a public authority,,permissioned,full planning permission,2019-06-28,,,93,93,yes,HPK/2019/0474 pending S106. Total amount of dwellings across the whole site would be 156.,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,HD012,"Paradise Street, Hadfield",-1.971554,53.462893,https://www.highpeak.gov.uk/brownfield-land.csv,0.35,mixed ownership,,not permissioned,,,,,28,28,,Permission on the site has lapsed,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,CH012,"Roebuck Place, Chapel-en-le-Frith",-1.916834,53.323769,https://www.highpeak.gov.uk/brownfield-land.csv,0.3,not owned by a public authority,,not permissioned,,,,,14,14,,Permission on the site has lapsed,2017-11-30,2020-12-14,
,http://opendatacommunities.org/id/district-council/high-peak,,NM001,"Salem Mill, New Mills",-1.997977,53.369973,https://www.highpeak.gov.uk/brownfield-land.csv,0.27,not owned by a public authority,,permissioned,full planning permission,,,,15,15,,Site complete,2017-11-30,2020-12-14,2020-03-31
