point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,EM1,FORMER VICTORIA COTTAGE HOSPITAL EMSWORTH,-0.937172,50.848175,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,0.16,,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49953_1,15,15,15,,,2017-12-08,2019-02-01,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,EM2,"GAS SITE , PALMERS ROAD",-0.935874,50.849665,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,0.46,not owned by a public authority,,not permissioned,,,,15,15,15,,,2017-12-08,2019-02-01,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,TC1,HAVANT TOWN CENTRE HAVANT,-0.982463,50.854451,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,40.66,mixed ownership,,not permissioned,,,,750,750,750,,,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HB2,PORTSMOUTH WATER HQ HAVANT,-0.989849,50.852572,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,3.17,not owned by a public authority,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2468_1,120,120,120,yes,,2017-12-08,2019-02-01,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HB3,LAND AT PALK ROAD HAVANT,-0.996923,50.853254,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,0.53,not owned by a public authority,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2499_1,21,21,21,,,2017-12-08,2019-02-01,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HB8,HAVANT GARDEN CENTRE,,,,,not owned by a public authority,,not permissioned,,,,,,,yes,,2019-02-01,2019-02-01,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HB12,HELMSLEY HOUSE,,,,,not owned by a public authority,,,,,,,,,yes,,,2021-01-29,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HB70,LAND AT FORMER OAK PARK SCHOOL HAVANT,-0.976994,50.85898,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2.26,,,permissioned,full planning permission,2015-12-18,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2054_4,99,99,99,yes,"HAVANT HEALTH AND WELLBEING CAMPUS, COMPRISING AN 80 BED NURSING HOME, 51 AFFORDABLE EXTRA CARE FLATS, 48 AFFORDABLE AND MARKET SUPPORTED LIVING FLATS & COMMUNITY HUB FACILITIES",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HB14,HAVANT AND SOUTH DOWNS COLLEGE (HAVANT CAMPUS),,,,,not owned by a public authority,,,,,,,,,,,,2021-01-29,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,HY2,"PULLINGERS, ELM GROVE",-0.976065,50.79238,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,0.16,not owned by a public authority,,not permissioned,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_58296_1,14,14,14,yes,,2017-12-08,2017-12-08,
