point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/woking,,BLR2019001,"Part of Barnsbury Site 2, Hawthorn Road, Woking, GU22 0BN",-0.566,51.305,http://www.woking2027.info/ldfregisters,0.31,owned by a public authority,,not permissioned,,,,,8,8,,,2018-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,BLR2019002,"101-107 Chertsey Road, Woking, GU21 5BW",-0.554,51.322,http://www.woking2027.info/ldfregisters,0.1,not owned by a public authority,,permissioned,full planning permission,2020-01-21,,,22,22,yes,Amended version of pre-existing site. Yield from PLAN/2019/1156,2020-12-09,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,BLR2019003,"The Crescent, Heathside Crescent, Woking, GU22 7AG",-0.557,51.317,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,,not permissioned,,,,,,,,Incorporated into BLR2020004,2018-12-20,2020-12-10,2020-12-10
,http://opendatacommunities.org/id/district-council/woking,,BLR2019004,"Station Plaza, Station Approach, Woking",-0.557,51.318,http://www.woking2027.info/ldfregisters,0.38,owned by a public authority,,not permissioned,,,,,200,200,,Maximum yield is from the HIF bid.,2019-12-19,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020001,"The Triangle, 11-15 Guildford Road, Southern House, Jubilee House, Lynton House, Station Approach, GU55 7PX",-0.559,51.316,http://www.woking2027.info/ldfregisters,0.52,owned by a public authority,,permissioned,full planning permission,2020-09-09,,,90,300,,Office use also required. Minimum yield is based on SHLAA 2017. Maximum yield is from the HIF bid. PLAN/2020/0681: Erection of hoarding to enclose site.,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020002,"Griffin House, West Street, Woking, GU21 6BS and Concorde House, 165 Church Street East, Woking GU21 GHJ",-0.558,51.321,http://www.woking2027.info/ldfregisters,0.19,mixed ownership,,not permissioned,,,,,200,200,,"Maximum yield is from the HIF bid. Office use (net 1,800 sq.m) also required.",2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020003,"Church Gate and Premier House, 9-11 and 15-19 Church Street West, GU21 6DJ",-0.564,51.318,http://www.woking2027.info/ldfregisters,0.37,not owned by a public authority,,permissioned,full planning permission,2020-03-20,,,77,180,yes,"Minimum yield is from extant permissions (38 at Premier House, PLAN/2020/0020 and PLAN/2018/0918; 39 at Church Gate, PLAN/2019/1090 and PLAN/2018/0741). Maximum yield is from HIF bid.",2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020004,"St Dunstans Phase 3, The Crescent and Somerset House, Oriental Road, GU22 7AA",-0.557,51.317,http://www.woking2027.info/ldfregisters,0.26,not owned by a public authority,,not permissioned,,,,,20,150,yes,Minimum yield is from the draft Site Allocations DPD. Maximum yield is from the HIF bid. Office floorspace also required.,2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020005,"Goldsworth Road, GU21 6JT",-0.562,51.317,http://www.woking2027.info/ldfregisters,1.51,not owned by a public authority,,pending decision,,,,,180,1205,yes,"Minimum yield from draft Site Allocations DPD. Maximum yield from HIF bid. Office (re-provision of existing floorspace at UA9, net 1,500 sq.m at UA13 and net 900 sq.m at UA12), retail and community uses also required.",2020-12-10,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,BLR2020006,"Station Car Park, Car Park East, Oriental Road, Woking, GU22 7QE",-0.552,51.32,http://www.woking2027.info/ldfregisters,1.79,owned by a public authority,,not permissioned,,,,,250,400,yes,Open space also required. Minimum yield from draft Site Allocations DPD. Maximum yield from HIF.,2020-12-10,2020-12-10,
