point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-022,York Barbican Paragon Street,-1.074263,53.953425,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.96,not owned by a public authority,,permissioned,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,187,187,187,yes,"See planning application: 13/02135/FULM. N.B. Under normal circumstances this application would have expired in August 2020. However, Under section 93A of the Town and Country Planning Act 1990, unimplemented planning permissions with time limits for imp. Erection of 1 no. part 4/part 5 storey building comprising 175no. apartments and 1 no. 3 storey building comprising 12no. apartments with associated access, parking and landscaping",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-013,Garage Court Site at Challoner Road,-1.118166,53.934619,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.12,owned by a public authority,,permissioned,other,,https://www.york.gov.uk/SearchPlanningApplications,8,8,8,yes,See planning application: 14/01191/FUL. Start to landscaping part of application now complete. There is potential for self build within this site.. Residential development to include 6no. apartments and 2no. houses with associated parking and landscaping,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-014,1-12 Kensal Rise,-1.073002,53.949101,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.15,not owned by a public authority,,permissioned,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,6,6,6,yes,"See planning application: 18/00262/FUL. This application supersedes application: 14/01857/FUL. Additional floor to accommodate 6no. roof top apartments with three new staircase pods and associated cycle stores, bin stores and parking to 1-12 Kensal Rise",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-003,Car Parking Area Holgate Road,-1.094808,53.953959,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.032,not owned by a public authority,,permissioned,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,6,6,6,yes,See planning application: 19/01183/FUL - this replaces original consent 15/02295/FUL for same scheme. Erection of 3 storey block of 6 no. Apartments.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-001,Mack & Lawler Builders Ltd 2a Low Ousegate,-1.083357,53.957719,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.022,not owned by a public authority,,permissioned,other,,https://www.york.gov.uk/SearchPlanningApplications,8,8,8,yes,See planning application: 16/02710/ORC. Proposed change of use from offices to flats (use class C3) under Class J Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-025a,Hungate Development Site (Block G),-1.075113,53.959076,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.28,not owned by a public authority,,permissioned,reserved matters approval,,https://www.york.gov.uk/SearchPlanningApplications,196,196,196,yes,See planning application: 17/03032/REMM. Reserved matters application for Block G comprising 196 residential units with commercial floorspace at ground floor (retail/leisure uses),,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-028,Bank of Scotland 6 Nessgate,-1.082219,53.957531,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.041,not owned by a public authority,,,other,,https://www.york.gov.uk/SearchPlanningApplications,16,16,16,yes,"See planning application: 19/00520/ORC (supersedes previous application 17/02451/ORC). Proposed change of use of first, second and third floor offices (use class B1) to 18no. residential units (use class C3), with single access from the ground floor of Ousegate House (Nos 2, 4 and 6 Nessgate), under Class O Part 3 Schedule 2 of Article 3 o",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-031,23 Piccadilly,-1.076786,53.956473,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.107,not owned by a public authority,,,other,,https://www.york.gov.uk/SearchPlanningApplications,24,24,24,yes,See planning application: 17/02624/ORC. Proposed change of use of office (use class B1) to 24no. residential units (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 as amended,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-032,Nova 2 George Cayley Drive,-1.098274,53.986144,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.113,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,9,9,9,yes,See planning application: 18/00739/FUL. Erection of three storey building forming 9no. apartments.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-038,Former Gas Works 24 Heworth Green (Phases I & II),-1.070044,53.964919,https://www.york.gov.uk/downloads/download/4172/brownfield_register,3.54,not owned by a public authority,,,outline planning permission,,https://www.york.gov.uk/SearchPlanningApplications,607,607,607,yes,"See planning application: 19/00979/OUTM. Outline application with all matters reserved except for access, layout and scale, for the erection of a maximum of 607 residential apartments (use class C3) This is a draft housing allocation site (H1)",,2020-12-18,
