point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/001,"Former Network Rail Depot, Kings Road, Spalding",-0.153864,52.791491,,1.29,not owned by a public authority,,Not permissioned,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,,26,39,yes,,2017-11-22,2017-11-22,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/002,"Land immediately adjact to Spalding Library, Victoria Street, Spalding",-0.154791,52.787091,,0.14,not owned by a public authority,,Not Permissioned,,,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0601-17&from=planningSearch,,7,7,yes,,2017-11-22,2017-11-22,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/003,"Former Glen Farrow premises, land off Spalding Road, Pinchbeck",-0.153326,52.805238,,0.37,not owned by a public authority,,permissioned,Section 73 Modification,2018-02-05,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-1187-17&from=planningSearch,,5,5,yes,,2017-11-22,2017-11-22,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/004,"36 Holbeach Road, Spalding",-0.138332,52.795735,,0.05,not owned by a public authority,,Not permissioned,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,,5,6,yes,,2017-11-22,2017-11-22,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/005,"Former Welland Hospital Site, Holbeach Road/Roman Bank",-0.13307,52.797046,,0.94,not owned by a public authority,,permissioned,reserved matters approval,2019-01-15,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0853-17&from=planningSearch,,36,36,yes,H16-0459-19,2019-11-26,2019-11-26,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/006,"Locksmill Farm including Travel Stop Motel, Cowbit Road, Spalding",-0.156272,52.776262,,1.38,not owned by a public authority,,permissioned,outline planning permission,2019-03-05,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1038-17&from=planningSearch,,26,42,yes,"Outline planning permission ref. H16-1038-17. At the Planning Committee meeting of 11th November 2020, members resolved to grant planning permission for the development of 42 affordable dwellings, subject to the applicant entering into a Section 106 planning obligation to secure the development as affordable housing, plus LCC Education and NHS England contributions and those Conditions listed at Section 9.0 of the report.",2019-11-26,2019-11-26,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/SPA/007,"Land adjacent 6 Abbey Path, Spalding",-0.15326,52.786824,,0.02,not owned by a public authority,,permissioned,full planning permission,2020-03-06,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0008-20&from=planningSearch,,5,5,yes,H16-0008-20,2020-11-17,2020-11-17,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/DON/001,"Former Red Cow Hotel, 8 High Street, Donington",-0.20341,52.905614,,0.33,not owned by a public authority,,Not permissioned,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,,31,31,yes,,2017-11-22,2017-11-22,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/DON/002,"Former Royal British Legion, 3 Malting Lane, Donington, PE11 4XA",-0.209755,52.903543,,0.42,not owned by a public authority,,Not permissioned,,,,,6,6,yes,,2019-11-26,2019-11-26,
,http://opendatacommunities.org/id/district-council/south-holland,,BLR/HOB/001,"19 High Street, Holbeach",0.015035,52.804009,,0.03,not owned by a public authority,,permissioned,full planning permission,2019-10-01,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H09-0586-19&from=planningSearch,,5,5,yes,H09-0586-19,2019-11-26,2019-11-26,
