point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-002,"180 High Street, Tonbridge, Kent, TN9 1BX",0.274958,51.198212,,0.07,not owned by a public authority,,not permissioned,full planning permission,2015-10-28,https://publicaccess2.tmbc.gov.uk/online-applications/,12,12,12,yes,Demolition of existing office building and the erection of a new structure to provide 12 (twelve) new 1 and 2 bedroom apartments together with 12 on-site car and cycle parking spaces and refuse facilities. Restoration of existing garden and front boundary,2017-11-24,2017-11-24,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-004,"Ferns Surfacing Ltd, Bellingham Way, Larkfield, Aylesford, Kent",0.44726,51.308026,,0.53,not owned by a public authority,,not permissioned,full planning permission,2016-03-01,https://publicaccess2.tmbc.gov.uk/online-applications/,32,32,32,yes,"Erection of 32 no. dwellings, access road, car parking and landscaping at Bellingham Way, Aylesford, Kent",2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-006,"Cricketts Farm House, Borough Green Road, Ightham, Sevenoaks, Kent",0.295145,51.29527,,0.71,not owned by a public authority,,permissioned,full planning permission,2016-03-14,https://publicaccess2.tmbc.gov.uk/online-applications/,5,5,5,yes,"SS BY 18/02931 - The retention, refurbishment and conversion of Crickets Farmhouse into offices with access, parking and landscaping works, and extensions to create a garden room and lobby/entrance area",2017-12-04,2017-12-04,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-009,"The River Centre Medway Wharf Road, Tonbridge, Kent",0.279045,51.194014,,0.35,not owned by a public authority,,not permissioned,,2011-06-21,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,yes,"Expired Permission: Redevelopment of site to provide 73 residential apartments, 34 units of boarding accommodation for students and conference delegates, lecture and meeting rooms and ancillary facilities, a children's nursery, pedestrian and cycle bridge and associated park",2017-12-09,2017-12-09,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-011,"Drayton Road Industial Estate, Tonbridge",0.276448,51.186923,,1.68,not owned by a public authority,,not permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,yes,,2017-12-13,2017-12-13,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-012,,0.302863,51.28841,,0.28,not owned by a public authority,,not permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,5,5,5,yes,"GREEN BELT REFUSED: Planning App 16/03760/FL: Demolition of existing office building and the erection of 10 residential dwellings. Access from existing Quarry Hill Roundabout, provision of public open space, works associated with de-culverting and diversion of the watercourse, sustainable urban drainage systems; associated landscaping, infrastructure and earthworks",2017-11-14,2017-11-14,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-013,"Office site, Quarry Hill Rd, Borough Green Land West Of Hermitage Lane And East Of Units 4A 4B And 4C Mills Road Quarry Wood Industrial Estate Aylesford Kent",0.474549,51.290383,,3.11,not owned by a public authority,,permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,64,64,64,yes,"Hybrid Planning Application: The demolition of all existing buildings and structures and redevelopment to provide a new Centenary Village. Full planning permission for the redevelopment of the site to provide 24 Assisted Living Apartments, 40 Dwellings, Community Hub, Access Roads, Landscaping and Parking (Phase 2). (Outline planning permission for up to 35 Dwellings (all matters reserved) (Phase 3) - on C2 list)",,2019-12-22,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-014,Tonbridge Chambers Pembury Road Tonbridge Kent TN9 2HZ,0.269699,51.189357,,0.3,not owned by a public authority,,permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,31,31,31,yes,Prior Notification: change of use from office (Class B1) to residential (Class C3) (Part 3 Class O) to provide 30 x 1 bed units and 1 x 2 bed units,,2019-12-22,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-015,The Car Company Priory Road Tonbridge Kent TN9 2BW,0.279113,51.189884,,0.22,not owned by a public authority,,permissioned,full planning permission,,https://publicaccess2.tmbc.gov.uk/online-applications/,30,30,30,yes,Demolition of existing warehouses (Use class B1) and erection of 14no. 3 bed dwelling with 16no. parking spaces (Use class C3),,2019-12-22,
,http://opendatacommunities.org/id/district-council/tonbridge-and-malling,Tonbridge and Malling Borough Council,TMBC-BFR-016,Taddington Wood North Of Robin Hood Lane Blue Bell Hill Chatham Kent,0.51356,51.334682,,0.61,not owned by a public authority,,permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,5,5,5,yes,"Outline Application for the erection of 5 dwelling houses and 5 detached garages with associated parking, turning areas and landscaping",,2019-12-22,
