row-number,field,issue-type,value
1,NetDwellingsRangeTo,default,6
1,LastUpdatedDate,default,2020-06-09
1,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.726972W', '52.045231N']"
2,NetDwellingsRangeTo,default,5
2,LastUpdatedDate,default,2020-06-09
2,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.683533W', '52.053691N']"
3,NetDwellingsRangeTo,default,11
3,LastUpdatedDate,default,2020-06-09
3,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.700235W', '52.051112N']"
4,NetDwellingsRangeTo,default,5
4,LastUpdatedDate,default,2020-06-09
4,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.466118W', '52.080259N']"
5,NetDwellingsRangeTo,default,6
5,LastUpdatedDate,default,2020-06-09
5,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.430565W', '52.105361N']"
6,NetDwellingsRangeTo,default,31
6,LastUpdatedDate,default,2020-06-09
6,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.356102W', '52.081434N']"
7,NetDwellingsRangeTo,default,18
7,LastUpdatedDate,default,2020-06-09
7,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.360705W', '52.078696N']"
8,NetDwellingsRangeTo,default,5
8,LastUpdatedDate,default,2020-06-09
8,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.489435W', '51.893165N']"
9,NetDwellingsRangeTo,default,7
9,LastUpdatedDate,default,2020-06-09
9,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.741325W', '52.226763N']"
10,NetDwellingsRangeTo,default,14
10,LastUpdatedDate,default,2020-06-09
10,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.742902W', '52.225638N']"
11,NetDwellingsRangeTo,default,5
11,LastUpdatedDate,default,2020-06-09
11,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.504662W', '52.190594N']"
12,NetDwellingsRangeTo,default,7
12,LastUpdatedDate,default,2020-06-09
12,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.503956W', '52.188979N']"
13,NetDwellingsRangeTo,default,6
13,LastUpdatedDate,default,2020-06-09
13,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.506288W', '52.189481N']"
14,NetDwellingsRangeTo,default,9
14,LastUpdatedDate,default,2020-06-09
14,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.838612W', '52.019108N']"
15,NetDwellingsRangeTo,default,5
15,LastUpdatedDate,default,2020-06-09
15,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.899740W', '52.068979N']"
16,NetDwellingsRangeTo,default,10
16,LastUpdatedDate,default,2020-06-09
16,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.931381W', '52.102485N']"
17,NetDwellingsRangeTo,default,5
17,LastUpdatedDate,default,2020-06-09
17,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.712773W', '51.901428N']"
18,NetDwellingsRangeTo,default,5
18,LastUpdatedDate,default,2020-06-09
18,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.601727W', '51.866417N']"
19,NetDwellingsRangeTo,default,8
19,LastUpdatedDate,default,2020-06-09
19,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.789156W', '52.073125N']"
20,NetDwellingsRangeTo,default,10
20,LastUpdatedDate,default,2020-06-09
20,"GeoX,GeoY",Failed to convert point to decimal %s,"['-3.023826W', '52.204960N']"
21,NetDwellingsRangeTo,default,10
21,LastUpdatedDate,default,2020-06-09
21,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.787162W', '52.137216N']"
22,NetDwellingsRangeTo,default,10
22,LastUpdatedDate,default,2020-06-09
22,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.827755W', '52.253888N']"
23,NetDwellingsRangeFrom,default,25
23,LastUpdatedDate,default,2020-06-10
23,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7113498W', '52.055622N']"
24,NetDwellingsRangeFrom,default,300
24,LastUpdatedDate,default,2020-06-10
24,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7171383W', '52.060333N']"
25,NetDwellingsRangeFrom,default,90
25,LastUpdatedDate,default,2020-06-10
25,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7089528W', '52.058616N']"
26,NetDwellingsRangeFrom,default,25
26,LastUpdatedDate,default,2020-06-10
26,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7113435W', '52.056884N']"
27,NetDwellingsRangeFrom,default,15
27,LastUpdatedDate,default,2020-06-10
27,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7086370W', '52.053756N']"
28,NetDwellingsRangeFrom,default,12
28,LastUpdatedDate,default,2020-06-10
28,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7099536W', '52.056015N']"
29,NetDwellingsRangeFrom,default,200
29,LastUpdatedDate,default,2020-06-10
29,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7703056W', '52.072861N']"
30,NetDwellingsRangeFrom,default,15
30,LastUpdatedDate,default,2020-06-10
30,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7335555W', '52.067985N']"
31,NetDwellingsRangeFrom,default,20
31,LastUpdatedDate,default,2020-06-10
31,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7035191W', '52.051131N']"
32,NetDwellingsRangeFrom,default,50
32,LastUpdatedDate,default,2020-06-10
32,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.7594772W', '52.044790N']"
33,NetDwellingsRangeFrom,default,5
33,LastUpdatedDate,default,2020-06-10
33,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.4655901W', '52.116295N']"
34,NetDwellingsRangeFrom,default,15
34,LastUpdatedDate,default,2020-06-10
34,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.8044906W', '52.160896N']"
35,NetDwellingsRangeFrom,default,11
35,LastUpdatedDate,default,2020-06-10
35,"GeoX,GeoY",Failed to convert point to decimal %s,"['-2.6656368W', '52.151810N']"
36,LastUpdatedDate,default,2020-06-10
