row-number,field,issue-type,value
1,OrganisationURI,opendatacommunities-uri,
1,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
2,OrganisationURI,opendatacommunities-uri,
2,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
3,OrganisationURI,opendatacommunities-uri,
3,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
4,OrganisationURI,opendatacommunities-uri,
4,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
5,OrganisationURI,opendatacommunities-uri,
5,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
6,OrganisationURI,opendatacommunities-uri,
6,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
7,OrganisationURI,opendatacommunities-uri,
7,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
8,OrganisationURI,opendatacommunities-uri,
8,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
9,OrganisationURI,opendatacommunities-uri,
9,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
10,OrganisationURI,opendatacommunities-uri,
10,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
11,OrganisationURI,opendatacommunities-uri,
11,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
11,"GeoX,GeoY",OSGB outside England,"25035,50431"
12,OrganisationURI,opendatacommunities-uri,
12,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
13,OrganisationURI,opendatacommunities-uri,
13,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
14,OrganisationURI,opendatacommunities-uri,
14,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
15,OrganisationURI,opendatacommunities-uri,
15,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
16,OrganisationURI,opendatacommunities-uri,
16,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
17,OrganisationURI,opendatacommunities-uri,
17,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
18,OrganisationURI,opendatacommunities-uri,
18,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
19,OrganisationURI,opendatacommunities-uri,
19,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
20,OrganisationURI,opendatacommunities-uri,
20,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
21,OrganisationURI,opendatacommunities-uri,
21,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
22,OrganisationURI,opendatacommunities-uri,
22,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
23,OrganisationURI,opendatacommunities-uri,
23,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
24,OrganisationURI,opendatacommunities-uri,
24,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
25,OrganisationURI,opendatacommunities-uri,
25,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
26,OrganisationURI,opendatacommunities-uri,
26,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
26,"GeoX,GeoY",OSGB outside England,"25127,50709"
27,OrganisationURI,opendatacommunities-uri,
27,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
28,OrganisationURI,opendatacommunities-uri,
28,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
29,OrganisationURI,opendatacommunities-uri,
29,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
30,OrganisationURI,opendatacommunities-uri,
