row-number,field,issue-type,value
1,PlanningHistory,uri,2018/82
2,PlanningHistory,uri,No recent relevant history
3,PlanningHistory,uri,No recent relevant history
4,PlanningHistory,uri,No recent relevant history
5,PlanningHistory,uri,2017/2545
6,PlanningHistory,uri,2018/729
7,PlanningHistory,uri,No recent relevant history
8,PlanningHistory,uri,No recent relevant history
9,PlanningHistory,uri,No recent relevant history
10,PlanningHistory,uri,2017/240
11,PlanningHistory,uri,2016/1353
12,PlanningHistory,uri,2016/1098
13,PlanningHistory,uri,2017/2076
14,PlanningHistory,uri,2017/839
15,PlanningHistory,uri,2016/1789
16,PlanningHistory,uri,2016/1639
17,PlanningHistory,uri,2019/799
18,PlanningHistory,uri,2017/2116
19,PlanningHistory,uri,2017/2284
20,PlanningHistory,uri,2017/2229
21,PlanningHistory,uri,2017/2412
22,PlanningHistory,uri,2017/2022
23,PlanningHistory,uri,2018/238
24,PlanningHistory,uri,2017/2545
25,PlanningHistory,uri,2018/729
26,PlanningHistory,uri,2018/82
27,PlanningHistory,uri,2017/2227
28,PlanningHistory,uri,2018/937
29,PlanningHistory,uri,2017/2572
30,PlanningHistory,uri,2018/215
31,PlanningHistory,uri,2018/860
32,PlanningHistory,uri,2015/1927
33,PlanningHistory,uri,2017/1282
34,PlanningHistory,uri,2016/1684
35,PlanningHistory,uri,2017/2659
36,PlanningHistory,uri,2018/2562
37,PlanningHistory,uri,2018/1392
38,PlanningHistory,uri,2017/2311
39,PlanningHistory,uri,2018/1072
40,PlanningHistory,uri,2016/2372
41,PlanningHistory,uri,2017/1774
42,PlanningHistory,uri,2018/1431
43,PlanningHistory,uri,2018/705
44,PlanningHistory,uri,2018/946
45,PlanningHistory,uri,2018/1801
46,PlanningHistory,uri,2019/68
47,PlanningHistory,uri,2019/610
48,PlanningHistory,uri,2018/1444
49,PlanningHistory,uri,2018/1996
50,PlanningHistory,uri,2018/2128
51,PlanningHistory,uri,2017/212
52,PlanningHistory,uri,2018/2391
53,PlanningHistory,uri,2018/1920
54,PlanningHistory,uri,2018/2278
55,PlanningHistory,uri,2018/2575
56,PlanningHistory,uri,2018/13
57,PlanningHistory,uri,2018/175
58,PlanningHistory,uri,2019/321
59,PlanningHistory,uri,2018/1984
60,PlanningHistory,uri,2019/278
61,PlanningHistory,uri,2019/11
62,PlanningHistory,uri,2019/409
63,PlanningHistory,uri,2017/733
64,PlanningHistory,uri,2017/2366
65,PlanningHistory,uri,2018/649
66,PlanningHistory,uri,2018/2070
66,"GeoX,GeoY",out of range,"534357,1401970"
67,PlanningHistory,uri,2018/2227
68,PlanningHistory,uri,2019/759
69,PlanningHistory,uri,2019/1158
70,PlanningHistory,uri,2019/1501
71,PlanningHistory,uri,2019/1431
72,PlanningHistory,uri,2006/312
73,PlanningHistory,uri,2014/221
74,PlanningHistory,uri,2008/423
75,PlanningHistory,uri,2015/157/NC
76,PlanningHistory,uri,2014/1742
77,PlanningHistory,uri,2014/1957
78,PlanningHistory,uri,2018/2472
79,PlanningHistory,uri,2015/2057
80,PlanningHistory,uri,2016/375
81,PlanningHistory,uri,2015/1926
82,PlanningHistory,uri,2017/2081
83,PlanningHistory,uri,2016/553
84,PlanningHistory,uri,2016/987
85,PlanningHistory,uri,2016/1035
86,PlanningHistory,uri,2016/1746
87,PlanningHistory,uri,2016/1087
88,PlanningHistory,uri,2017/198
89,PlanningHistory,uri,2016/911
90,PlanningHistory,uri,2017/524
91,PlanningHistory,uri,2016/1727
92,PlanningHistory,uri,2017/410
93,PlanningHistory,uri,2016/2195
94,PlanningHistory,uri,2017/1100
95,PlanningHistory,uri,2017/21
96,PlanningHistory,uri,2017/886
97,PlanningHistory,uri,2015/79
98,PlanningHistory,uri,2016/1622
99,PlanningHistory,uri,2017/1399/NC
100,PlanningHistory,uri,2017/1296
