row-number,field,issue-type,value
1,PlanningHistory,uri,"15/00990/FUL
http://bit.ly/2mtFCf1"
2,PlanningHistory,uri,"09/00405/REM 
http://bit.ly/2D94eOe"
4,PlanningHistory,uri,"14/02228/FUL
http://bit.ly/2Dw68vW"
5,PlanningHistory,uri,"14/00683/FUL
http://bit.ly/2FILMh8"
6,PlanningHistory,uri,Previously proposed as a Housing Allocation (HA21) for 13 dwellings in the Proposed Site Specific Allocations Development Plan Document as consulted upon by Corby Borough Council in September 2009 (Saved Local Plan Policy R2).
8,PlanningHistory,uri,Pre-application discussions held previously by the owners and council held with a view to bringing site forward for Housing use. No planning application at November 2017.
9,PlanningHistory,uri,"11/00215/OUT

http://bit.ly/2mOyEOF"
10,PlanningHistory,uri,Site was previously subject to a Starter Homes bid to the HCA.
11,PlanningHistory,uri,"13/00242/OUT 

http://bit.ly/2mOyEOF"
13,PlanningHistory,uri,"13/00241/OUT 

http://bit.ly/2mOyEOF"
14,PlanningHistory,uri,At Planning Policy Committee on 05.09.17 it was agreed to designate this site as a draft housing allocation in the draft Part 2 Local plan for consultation with a potential yield of 25 dwellings. Potential housing allocation in Kettering Borough Council's Part 2 Local Plan.
15,PlanningHistory,uri,"At Planning Policy Committee on 05.09.17 it was agreed to designate this site as a draft housing allocation in the draft Part 2 Local plan for consultation with a potential yield of 88 dwellings. An application of Prior Nofication of Demolition has been received for the site, (ref. KET/2017/0761) and this has been since undertaken."
16,PlanningHistory,uri,"KET/2014/0233

http://www.kettering.gov.uk/planningApplication?thisWeek=0&appNumber=KET%2F2014%2F0233&submit=Go"
17,PlanningHistory,uri,"Former Leisure Centre has been demolished. Site has been subject to an application for 304 dwellings (KET/2016/0044) albeit this was refused on 26/05/2016. An appeal has been lodged to this decision and is currently in progress (APP/L2820/W/16/3162430).

Details are available here: http://www.kettering.gov.uk/planningApplication?thisWeek=0&appNumber=KET%2F2016%2F0044&submit=Go"
18,PlanningHistory,uri,"KET/2013/0750 

http://www.kettering.gov.uk/planningApplication?thisWeek=0&appNumber=KET%2F2013%2F0750&submit=Go"
20,PlanningHistory,uri,"Outline consent for 9 dwellings exists on the land adjacent to this site (KET/2015/0220) but BFR K30 itself has no extant permission.

Site was previously occupied by a Children's Care Home which closed in July 2002 and was demolished thereafter. 

Site was subject to a previous application for 28 dwellings (KET/2007/0990) which Committee resolved to grant permission for (subject to S.106) albeit this was never completed and the application was disposed of by the Council in September 2012.

Details are available here:  http://www.kettering.gov.uk/planningApplication/50359"
21,PlanningHistory,uri,WP/16/00017/OUT for residential development withdrawn in March 2016. No further applications received as of yet.
23,PermissionDate,date,"2017-05-02
2017-06-06"
23,PlanningHistory,uri,"WP/16/00375/FUL 
WP/16/00492/FUL

http://bit.ly/2rl6MY7"
24,PlanningHistory,uri,The site is included in the emerging plan for the Borough of Wellingborough under site specific policy site 7.  No new applications have been received.
25,PlanningHistory,uri,"Site is currently subject to a planning application for redevelopment of the existing car park for 113 houses, apartments and car parking (WP/14/00175/FUL). A decision on this is pending (revised plans were submitted in August 2017). Details are available here: 
http://pawebsrv.wellingborough.gov.uk/online-applications/"
26,PlanningHistory,uri,Site was subject to application for 73 apartments in 2007 but this was subsequently withdrawn (WP/2007/0435). No further planning applications received. Allocated in the emerging Part 2 local plan for residential use.
27,PermissionDate,date,"2014-09-25
2017-02-22"
27,PlanningHistory,uri,"WP/14/00243/REM
WP/16/00798/REM

http://bit.ly/2DPydvT"
28,PlanningHistory,uri,"WP/17/00118/FUL

http://bit.ly/2rl6MY7"
29,PermissionDate,date,"2015-04-29
2015-04-29
2017-01-13"
29,PlanningHistory,uri,"WP/15/00092/FUL
WP/15/00094/FUL
WP/16/00682/FUL

http://bit.ly/2rl6MY7"
