row-number,field,issue-type,value
1,SiteplanURL,uri,My West Suffolk
1,NetDwellingsRangeFrom,default,23
1,NetDwellingsRangeTo,default,23
2,SiteplanURL,uri,My West Suffolk
2,NetDwellingsRangeFrom,default,10
2,NetDwellingsRangeTo,default,10
3,SiteplanURL,uri,My West Suffolk
3,NetDwellingsRangeFrom,default,24
3,NetDwellingsRangeTo,default,24
4,SiteplanURL,uri,My West Suffolk
4,NetDwellingsRangeFrom,default,13
4,NetDwellingsRangeTo,default,13
5,SiteplanURL,uri,My West Suffolk
5,NetDwellingsRangeFrom,default,89
5,NetDwellingsRangeTo,default,89
6,SiteplanURL,uri,My West Suffolk
6,NetDwellingsRangeFrom,default,19
6,NetDwellingsRangeTo,default,19
7,SiteplanURL,uri,My West Suffolk
7,NetDwellingsRangeFrom,default,14
7,NetDwellingsRangeTo,default,14
8,SiteplanURL,uri,My West Suffolk
8,NetDwellingsRangeFrom,default,50
8,NetDwellingsRangeTo,default,50
9,SiteplanURL,uri,My West Suffolk
9,NetDwellingsRangeFrom,default,132
9,NetDwellingsRangeTo,default,132
10,SiteplanURL,uri,My West Suffolk
10,NetDwellingsRangeFrom,default,30
10,NetDwellingsRangeTo,default,30
11,SiteplanURL,uri,My West Suffolk
11,NetDwellingsRangeFrom,default,50
11,NetDwellingsRangeTo,default,50
12,SiteplanURL,uri,My West Suffolk
12,NetDwellingsRangeFrom,default,45
12,NetDwellingsRangeTo,default,45
13,SiteplanURL,uri,My West Suffolk
13,NetDwellingsRangeFrom,default,84
13,NetDwellingsRangeTo,default,84
14,SiteplanURL,uri,My West Suffolk
14,NetDwellingsRangeFrom,default,32
14,NetDwellingsRangeTo,default,32
15,SiteplanURL,uri,My West Suffolk
15,NetDwellingsRangeFrom,default,300
15,NetDwellingsRangeTo,default,300
16,SiteplanURL,uri,My West Suffolk
16,NetDwellingsRangeFrom,default,100
16,NetDwellingsRangeTo,default,100
17,SiteplanURL,uri,My West Suffolk
17,NetDwellingsRangeFrom,default,14
17,NetDwellingsRangeTo,default,14
18,SiteplanURL,uri,My West Suffolk
18,NetDwellingsRangeFrom,default,39
18,NetDwellingsRangeTo,default,39
19,SiteplanURL,uri,My West Suffolk
19,NetDwellingsRangeFrom,default,10
19,NetDwellingsRangeTo,default,10
20,SiteplanURL,uri,My West Suffolk
20,NetDwellingsRangeFrom,default,30
20,NetDwellingsRangeTo,default,30
