row-number,field,issue-type,value
2,HazardousSubstances,flag,unknown
4,HazardousSubstances,flag,unknown
5,HazardousSubstances,flag,unknown
6,HazardousSubstances,flag,unknown
7,HazardousSubstances,flag,unknown
8,HazardousSubstances,flag,unknown
9,HazardousSubstances,flag,unknown
10,HazardousSubstances,flag,unknown
11,HazardousSubstances,flag,unknown
12,HazardousSubstances,flag,unknown
13,HazardousSubstances,flag,unknown
14,HazardousSubstances,flag,unknown
15,HazardousSubstances,flag,unknown
16,HazardousSubstances,flag,unknown
17,HazardousSubstances,flag,unknown
18,HazardousSubstances,flag,unknown
19,HazardousSubstances,flag,unknown
20,HazardousSubstances,flag,unknown
21,HazardousSubstances,flag,unknown
22,HazardousSubstances,flag,unknown
23,HazardousSubstances,flag,unknown
24,HazardousSubstances,flag,unknown
25,HazardousSubstances,flag,unknown
26,HazardousSubstances,flag,unknown
27,HazardousSubstances,flag,unknown
28,HazardousSubstances,flag,unknown
29,HazardousSubstances,flag,unknown
30,HazardousSubstances,flag,unknown
31,HazardousSubstances,flag,unknown
31,"GeoX,GeoY",out of range,"5712126,325270"
32,HazardousSubstances,flag,unknown
33,HazardousSubstances,flag,unknown
34,HazardousSubstances,flag,unknown
35,HazardousSubstances,flag,unknown
36,HazardousSubstances,flag,unknown
37,HazardousSubstances,flag,unknown
38,HazardousSubstances,flag,unknown
39,HazardousSubstances,flag,unknown
40,HazardousSubstances,flag,unknown
41,HazardousSubstances,flag,unknown
42,HazardousSubstances,flag,unknown
43,HazardousSubstances,flag,unknown
44,HazardousSubstances,flag,unknown
45,HazardousSubstances,flag,unknown
46,HazardousSubstances,flag,unknown
47,HazardousSubstances,flag,unknown
48,HazardousSubstances,flag,unknown
49,HazardousSubstances,flag,unknown
50,HazardousSubstances,flag,unknown
51,HazardousSubstances,flag,unknown
52,HazardousSubstances,flag,unknown
53,HazardousSubstances,flag,unknown
54,HazardousSubstances,flag,unknown
55,HazardousSubstances,flag,unknown
56,HazardousSubstances,flag,unknown
