row-number,field,issue-type,value
1,LastUpdatedDate,default,2016-04-01
1,"GeoX,GeoY",Failed to convert point to decimal %s,"['367,562.75', '403,362.86']"
2,LastUpdatedDate,default,2016-04-01
2,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,981.69', '405,984.51']"
3,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,917.79', '404,587.85']"
4,LastUpdatedDate,default,2016-04-01
4,"GeoX,GeoY",Failed to convert point to decimal %s,"['367,542.18', '403,964.27']"
5,LastUpdatedDate,default,2016-04-01
5,"GeoX,GeoY",Failed to convert point to decimal %s,"['355,558.35', '406,001.87']"
6,LastUpdatedDate,default,2016-04-01
6,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,330.89', '404,550.91']"
7,LastUpdatedDate,default,2016-04-01
7,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,358.43', '406,814.00']"
8,LastUpdatedDate,default,2016-04-01
8,"GeoX,GeoY",Failed to convert point to decimal %s,"['366,061.33', '400,085.10']"
9,LastUpdatedDate,default,2016-04-01
9,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,606.24', '405,781.97']"
10,LastUpdatedDate,default,2016-04-01
10,"GeoX,GeoY",Failed to convert point to decimal %s,"['353,326.01', '405,080.38']"
11,"GeoX,GeoY",Failed to convert point to decimal %s,"['371,239.87', '401,044.73']"
12,LastUpdatedDate,default,2016-04-01
12,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,359.22', '404,795.32']"
13,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,425.17', '406,411.25']"
14,LastUpdatedDate,default,2016-04-01
14,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,880.73', '404,564.38']"
15,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,450.02', '400,758.66']"
16,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,231.12', '402,171.37']"
17,LastUpdatedDate,default,2016-04-01
17,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,643.00', '401,983.80']"
18,LastUpdatedDate,default,2016-04-01
18,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,959.26', '406,984.25']"
19,LastUpdatedDate,default,2017-07-31
19,"GeoX,GeoY",Failed to convert point to decimal %s,"['352,683.36', '403,368.50']"
20,LastUpdatedDate,default,2017-07-31
20,"GeoX,GeoY",Failed to convert point to decimal %s,"['367,160.53', '403,475.60']"
21,LastUpdatedDate,default,2017-07-31
21,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,827.97', '404,990.84']"
22,LastUpdatedDate,default,2017-07-31
22,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,623.13', '404,921.12']"
23,LastUpdatedDate,default,2017-07-31
23,"GeoX,GeoY",Failed to convert point to decimal %s,"['353,164.17', '404,545.15']"
24,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,929.02', '397,796.91']"
25,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,145.45', '406,229.81']"
26,LastUpdatedDate,default,2017-07-31
26,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,490.94', '410,079.23']"
27,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,711.59', '400,291.10']"
28,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,364.47', '398,904.82']"
29,"GeoX,GeoY",Failed to convert point to decimal %s,"['354,578.98', '404,308.18']"
30,LastUpdatedDate,default,2017-07-31
30,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,017.05', '405,276.61']"
31,LastUpdatedDate,default,2016-04-01
31,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,500.09', '398,028.44']"
32,LastUpdatedDate,default,2016-04-01
32,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,247.44', '405,651.92']"
33,LastUpdatedDate,default,2016-04-01
33,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,734.16', '403,330.54']"
34,LastUpdatedDate,default,2016-04-01
34,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,766.54', '403,242.75']"
35,LastUpdatedDate,default,2016-04-01
35,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,458.14', '403,175.47']"
36,LastUpdatedDate,default,2016-04-01
36,"GeoX,GeoY",Failed to convert point to decimal %s,"['355,948.32', '407,219.62']"
37,LastUpdatedDate,default,2016-04-01
