row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,650
1,NetDwellingsRangeTo,default,650
2,NetDwellingsRangeFrom,default,600
2,NetDwellingsRangeTo,default,600
3,NetDwellingsRangeFrom,default,600
3,NetDwellingsRangeTo,default,600
4,NetDwellingsRangeFrom,default,500
4,NetDwellingsRangeTo,default,500
5,NetDwellingsRangeFrom,default,200
5,NetDwellingsRangeTo,default,200
6,NetDwellingsRangeFrom,default,160
6,NetDwellingsRangeTo,default,160
7,NetDwellingsRangeFrom,default,100
7,NetDwellingsRangeTo,default,100
8,NetDwellingsRangeFrom,default,130
8,NetDwellingsRangeTo,default,130
9,NetDwellingsRangeFrom,default,60
9,NetDwellingsRangeTo,default,60
10,NetDwellingsRangeFrom,default,30
10,NetDwellingsRangeTo,default,30
11,NetDwellingsRangeFrom,default,40
11,NetDwellingsRangeTo,default,40
12,NetDwellingsRangeFrom,default,10
12,NetDwellingsRangeTo,default,10
13,NetDwellingsRangeFrom,default,5
13,NetDwellingsRangeTo,default,5
14,NetDwellingsRangeFrom,default,7
14,NetDwellingsRangeTo,default,7
15,NetDwellingsRangeFrom,default,15
15,NetDwellingsRangeTo,default,15
16,NetDwellingsRangeFrom,default,10
16,NetDwellingsRangeTo,default,10
17,NetDwellingsRangeFrom,default,15
17,NetDwellingsRangeTo,default,15
18,NetDwellingsRangeFrom,default,8
18,NetDwellingsRangeTo,default,8
19,NetDwellingsRangeFrom,default,6
19,NetDwellingsRangeTo,default,6
20,NetDwellingsRangeFrom,default,60
20,NetDwellingsRangeTo,default,60
21,NetDwellingsRangeFrom,default,150
21,NetDwellingsRangeTo,default,150
22,NetDwellingsRangeFrom,default,150
22,NetDwellingsRangeTo,default,150
23,NetDwellingsRangeFrom,default,50
23,NetDwellingsRangeTo,default,50
24,NetDwellingsRangeFrom,default,100
24,NetDwellingsRangeTo,default,100
25,NetDwellingsRangeFrom,default,444
25,NetDwellingsRangeTo,default,444
26,NetDwellingsRangeFrom,default,70
26,NetDwellingsRangeTo,default,70
