row-number,field,issue-type,value
7,NetDwellingsRangeFrom,default,144
7,NetDwellingsRangeTo,default,144
10,NetDwellingsRangeFrom,default,170
10,NetDwellingsRangeTo,default,170
12,NetDwellingsRangeFrom,default,88
12,NetDwellingsRangeTo,default,88
13,NetDwellingsRangeFrom,default,383
13,NetDwellingsRangeTo,default,383
16,NetDwellingsRangeFrom,default,7
16,NetDwellingsRangeTo,default,7
23,NetDwellingsRangeFrom,default,34
23,NetDwellingsRangeTo,default,34
25,NetDwellingsRangeFrom,default,1134
25,NetDwellingsRangeTo,default,1134
38,NetDwellingsRangeFrom,default,25
38,NetDwellingsRangeTo,default,25
41,NetDwellingsRangeFrom,default,27
41,NetDwellingsRangeTo,default,27
42,NetDwellingsRangeFrom,default,4
42,NetDwellingsRangeTo,default,4
44,NetDwellingsRangeFrom,default,2
44,NetDwellingsRangeTo,default,2
46,NetDwellingsRangeFrom,default,162
46,NetDwellingsRangeTo,default,162
47,NetDwellingsRangeFrom,default,12
47,NetDwellingsRangeTo,default,12
48,NetDwellingsRangeFrom,default,50
48,NetDwellingsRangeTo,default,50
49,NetDwellingsRangeFrom,default,7
49,NetDwellingsRangeTo,default,7
50,NetDwellingsRangeFrom,default,1
50,NetDwellingsRangeTo,default,1
51,NetDwellingsRangeFrom,default,4
51,NetDwellingsRangeTo,default,4
52,NetDwellingsRangeFrom,default,140
52,NetDwellingsRangeTo,default,140
53,NetDwellingsRangeFrom,default,7
53,NetDwellingsRangeTo,default,7
54,NetDwellingsRangeFrom,default,24
54,NetDwellingsRangeTo,default,24
55,NetDwellingsRangeFrom,default,9
55,NetDwellingsRangeTo,default,9
56,NetDwellingsRangeFrom,default,43
56,NetDwellingsRangeTo,default,43
57,NetDwellingsRangeFrom,default,8
57,NetDwellingsRangeTo,default,8
58,NetDwellingsRangeFrom,default,12
58,NetDwellingsRangeTo,default,12
59,NetDwellingsRangeFrom,default,92
59,NetDwellingsRangeTo,default,92
60,NetDwellingsRangeFrom,default,14
60,NetDwellingsRangeTo,default,14
61,NetDwellingsRangeFrom,default,41
61,NetDwellingsRangeTo,default,41
62,NetDwellingsRangeFrom,default,8
62,NetDwellingsRangeTo,default,8
63,NetDwellingsRangeFrom,default,19
63,NetDwellingsRangeTo,default,19
64,NetDwellingsRangeFrom,default,6
64,NetDwellingsRangeTo,default,6
65,NetDwellingsRangeFrom,default,24
65,NetDwellingsRangeTo,default,24
66,NetDwellingsRangeFrom,default,9
66,NetDwellingsRangeTo,default,9
67,NetDwellingsRangeFrom,default,10
67,NetDwellingsRangeTo,default,10
68,NetDwellingsRangeFrom,default,13
68,NetDwellingsRangeTo,default,13
69,NetDwellingsRangeFrom,default,6
69,NetDwellingsRangeTo,default,6
