row-number,field,issue-type,value
1,SiteplanURL,uri,"Link to the site boundary of the Gas Holder Site, Homesdale Road, Bickley supporting the Site Allocation in the Local Plan"
1,PlanningHistory,uri,None relevant.
1,NetDwellingsRangeFrom,default,60
1,NetDwellingsRangeTo,default,60
2,SiteplanURL,uri,Link to the site boundary of the Land adjacent to Bickley Station supporting the Site Allocation in the Local Plan
2,PlanningHistory,uri,None relevant.
2,NetDwellingsRangeFrom,default,30
2,NetDwellingsRangeTo,default,30
3,SiteplanURL,uri,Link to Appendix 5 of Bromley Town Centre's Area Action Plan. A map of Opportunity Site B is included on p.155
3,PlanningHistory,uri,"Link to full planning permission 17/05084/FULL1 for 24 x 2 bed flats on land adjacent to Bromley College, London Road"
3,NetDwellingsRangeFrom,default,24
3,NetDwellingsRangeTo,default,24
4,SiteplanURL,uri,Link to the map of Bromley's Old Town Hall and Associated Carparking associated with Full planning permission 16/01175/FULL1
4,PlanningHistory,uri,Link to Full planning permission 16/01175/FULL1 for Old Town Hall 30 Tweedy Road
4,NetDwellingsRangeFrom,default,53
4,NetDwellingsRangeTo,default,53
5,SiteplanURL,uri,Link to Appendix 5 of Bromley Town Centre's Area Action Plan. A map of Opportunity Site P is included on p.173
5,PlanningHistory,uri,None relevant.
5,NetDwellingsRangeFrom,default,20
5,NetDwellingsRangeTo,default,20
6,SiteplanURL,uri,Link to the site boundary of the Bromley Civic Centre site supporting the Site Allocation in the Local Plan
6,PlanningHistory,uri,None relevant.
6,NetDwellingsRangeFrom,default,70
6,NetDwellingsRangeTo,default,70
7,SiteplanURL,uri,Link to the site boundary of West of Bromley High Street and Land at Bromley South site associated with the Site Allocation in the Local Plan
7,PlanningHistory,uri,None relevant.
7,NetDwellingsRangeFrom,default,1230
7,NetDwellingsRangeTo,default,1230
8,SiteplanURL,uri,Link to the site boundary of  the Land adjacent to Bromley North associated with the Site Allocation in the Local Plan
8,PlanningHistory,uri,None relevant.
8,NetDwellingsRangeFrom,default,525
8,NetDwellingsRangeTo,default,525
9,SiteplanURL,uri,Link to the site boundary of the Hill Muti Storey Car Park and Adjacent Sites associated with the Site Allocation in the Local Plan
9,PlanningHistory,uri,None relevant.
9,NetDwellingsRangeFrom,default,150
9,NetDwellingsRangeTo,default,150
10,SiteplanURL,uri,Link to the site boundary of Banbury House Bushell Way associated with the Site Allocation in the Local Plan
10,PlanningHistory,uri,None relevant.
10,NetDwellingsRangeFrom,default,25
10,NetDwellingsRangeTo,default,25
11,SiteplanURL,uri,Link to the site boundary of Bromley Valley Gym and Adjacent Lands Chipperfield Road St Paul's Cray associated with the Site Allocation in the Local Plan
11,PlanningHistory,uri,None relevant.
11,NetDwellingsRangeFrom,default,200
11,NetDwellingsRangeTo,default,200
12,SiteplanURL,uri,Link to the site boundary of Small Halls York Rise Orpington associated with the Site Allocation in the Local Plan
12,PlanningHistory,uri,Link to Temporary Planning Permission 16/02808/REG3 for Temporary use of site as public car park for 60 spaces (including 6 disabled bays) for up to 3 years
12,NetDwellingsRangeFrom,default,35
12,NetDwellingsRangeTo,default,35
13,SiteplanURL,uri,Link to the site boundary of Homefield Rise Orpington associated with the Site Allocation in the Local Plan
13,PlanningHistory,uri,None relevant.
13,NetDwellingsRangeFrom,default,87
13,NetDwellingsRangeTo,default,87
14,SiteplanURL,uri,Link to the map of  6 Woodlands Road associated with Outline planning permission 1404512/OUT
14,PlanningHistory,uri,Link to Hybrid Full Outline planning permission 1404512/Full for 6 Woodlands Road
14,NetDwellingsRangeFrom,default,3
14,NetDwellingsRangeTo,default,3
15,SiteplanURL,uri,Link to the map of 42 Orchard Road associated with Full planning permission 17/01241/FULL1
15,PlanningHistory,uri,Link to Full planning permission 17/01241/FULL1 for 42 Orchard Road
15,NetDwellingsRangeFrom,default,8
15,NetDwellingsRangeTo,default,8
16,SiteplanURL,uri,Link to the map of the Site of former 41 Sunningdale Avenue Sunningdale Close associated with planning permission 17/02081/FULL1
16,PlanningHistory,uri,Link to Full planning permission for the Site of Former 41 Sunningvale Avenue Sunningvale Close reference 17/02081/FULL1
16,NetDwellingsRangeFrom,default,8
16,NetDwellingsRangeTo,default,8
17,SiteplanURL,uri,Link to the map of 7 Sandford Road associated with Full planning permission16/04621/FULL1
17,PlanningHistory,uri,Link to Full planning permission 16/04621/FULL1 for 7 Sandford Road Bromley
17,NetDwellingsRangeFrom,default,5
17,NetDwellingsRangeTo,default,5
18,SiteplanURL,uri,Link to the map of 9 London Road Bromley associated with Full planning permission 16/00859/FULL3
18,PlanningHistory,uri,Link to Full planning permission 16/00859/FULL3 for 9 London Road Bromley
18,NetDwellingsRangeFrom,default,6
18,NetDwellingsRangeTo,default,6
19,SiteplanURL,uri,Link to the map of Upfield Hillbrow Road associated with Full planning permission 16/04910/FULL1
19,PlanningHistory,uri,Link to Full planning permission 16/04910/FULL1 for Upfield Hillbrow Road Bromley
