row-number,field,issue-type,value
1,OrganisationURI,opendatacommunities-uri,
1,OrganisationURI,default,http://opendatacommunities.org/id/metropolitan-district-council/rochdale
1,LastUpdatedDate,default,2019-12-15
2,NetDwellingsRangeFrom,default,38
3,NetDwellingsRangeFrom,default,240
4,NetDwellingsRangeFrom,default,12
5,NetDwellingsRangeFrom,default,42
6,NetDwellingsRangeFrom,default,6
7,NetDwellingsRangeFrom,default,14
8,NetDwellingsRangeFrom,default,13
9,NetDwellingsRangeFrom,default,34
10,NetDwellingsRangeFrom,default,6
11,NetDwellingsRangeFrom,default,6
12,NetDwellingsRangeFrom,default,9
13,NetDwellingsRangeFrom,default,7
14,NetDwellingsRangeFrom,default,14
15,NetDwellingsRangeFrom,default,9
16,NetDwellingsRangeFrom,default,7
17,NetDwellingsRangeFrom,default,116
18,NetDwellingsRangeFrom,default,10
19,NetDwellingsRangeFrom,default,17
20,NetDwellingsRangeFrom,default,9
21,NetDwellingsRangeFrom,default,41
22,NetDwellingsRangeFrom,default,40
23,NetDwellingsRangeFrom,default,6
24,NetDwellingsRangeFrom,default,8
25,NetDwellingsRangeFrom,default,5
26,NetDwellingsRangeFrom,default,67
27,NetDwellingsRangeFrom,default,49
28,NetDwellingsRangeFrom,default,147
29,NetDwellingsRangeFrom,default,6
30,NetDwellingsRangeFrom,default,6
31,NetDwellingsRangeFrom,default,42
32,NetDwellingsRangeFrom,default,98
33,NetDwellingsRangeFrom,default,8
34,NetDwellingsRangeFrom,default,6
35,NetDwellingsRangeFrom,default,20
36,NetDwellingsRangeFrom,default,6
37,NetDwellingsRangeFrom,default,34
38,NetDwellingsRangeFrom,default,47
39,NetDwellingsRangeFrom,default,55
40,NetDwellingsRangeFrom,default,53
41,NetDwellingsRangeFrom,default,34
42,NetDwellingsRangeFrom,default,34
43,NetDwellingsRangeFrom,default,74
44,NetDwellingsRangeFrom,default,6
45,NetDwellingsRangeFrom,default,174
46,NetDwellingsRangeFrom,default,14
47,NetDwellingsRangeFrom,default,6
48,NetDwellingsRangeFrom,default,8
49,NetDwellingsRangeFrom,default,5
50,NetDwellingsRangeFrom,default,8
51,NetDwellingsRangeFrom,default,36
52,NetDwellingsRangeFrom,default,9
53,NetDwellingsRangeFrom,default,68
54,NetDwellingsRangeFrom,default,37
55,NetDwellingsRangeFrom,default,21
56,NetDwellingsRangeFrom,default,8
57,NetDwellingsRangeFrom,default,14
58,NetDwellingsRangeFrom,default,40
59,NetDwellingsRangeFrom,default,6
60,NetDwellingsRangeFrom,default,12
61,NetDwellingsRangeFrom,default,24
62,NetDwellingsRangeFrom,default,15
63,NetDwellingsRangeFrom,default,67
64,NetDwellingsRangeFrom,default,65
65,NetDwellingsRangeFrom,default,8
66,NetDwellingsRangeFrom,default,8
67,NetDwellingsRangeFrom,default,5
68,NetDwellingsRangeFrom,default,8
69,NetDwellingsRangeFrom,default,52
70,NetDwellingsRangeFrom,default,116
71,NetDwellingsRangeFrom,default,58
72,NetDwellingsRangeFrom,default,6
73,NetDwellingsRangeFrom,default,8
74,NetDwellingsRangeFrom,default,6
75,NetDwellingsRangeFrom,default,24
76,NetDwellingsRangeFrom,default,6
77,NetDwellingsRangeFrom,default,41
78,NetDwellingsRangeFrom,default,60
79,NetDwellingsRangeFrom,default,6
80,NetDwellingsRangeFrom,default,15
81,NetDwellingsRangeFrom,default,14
82,NetDwellingsRangeFrom,default,14
83,NetDwellingsRangeFrom,default,17
84,NetDwellingsRangeFrom,default,17
85,NetDwellingsRangeFrom,default,5
86,NetDwellingsRangeFrom,default,5
87,NetDwellingsRangeFrom,default,50
88,NetDwellingsRangeFrom,default,20
89,NetDwellingsRangeFrom,default,5
90,NetDwellingsRangeFrom,default,9
91,NetDwellingsRangeFrom,default,29
92,NetDwellingsRangeFrom,default,102
93,NetDwellingsRangeFrom,default,10
94,NetDwellingsRangeFrom,default,5
95,NetDwellingsRangeFrom,default,76
96,NetDwellingsRangeFrom,default,12
97,NetDwellingsRangeFrom,default,5
98,NetDwellingsRangeFrom,default,6
99,NetDwellingsRangeFrom,default,14
100,NetDwellingsRangeFrom,default,250
101,NetDwellingsRangeFrom,default,28
102,NetDwellingsRangeFrom,default,200
103,NetDwellingsRangeFrom,default,100
104,NetDwellingsRangeFrom,default,120
105,NetDwellingsRangeFrom,default,541
106,NetDwellingsRangeFrom,default,16
107,NetDwellingsRangeFrom,default,9
108,NetDwellingsRangeFrom,default,8
109,NetDwellingsRangeFrom,default,5
110,NetDwellingsRangeFrom,default,10
111,NetDwellingsRangeFrom,default,120
