row-number,field,issue-type,value
1,PlanningHistory,uri,07/91127
1,NetDwellingsRangeTo,default,5
2,NetDwellingsRangeTo,default,2
3,PlanningHistory,uri,18/00497
3,NetDwellingsRangeTo,default,9
4,NetDwellingsRangeTo,default,10
5,PlanningHistory,uri,07/91926
5,NetDwellingsRangeTo,default,2
6,PlanningHistory,uri,NFDC/78/11767
6,NetDwellingsRangeTo,default,18
7,PlanningHistory,uri,17/00732
7,NetDwellingsRangeTo,default,50
8,PlanningHistory,uri,04/82430
8,NetDwellingsRangeTo,default,1
9,PlanningHistory,uri,16/00307
9,NetDwellingsRangeTo,default,26
10,PlanningHistory,uri,16/00508
10,NetDwellingsRangeTo,default,6
11,PlanningHistory,uri,16/00284
11,NetDwellingsRangeTo,default,1
12,PlanningHistory,uri,15/00805
12,NetDwellingsRangeTo,default,1
13,PlanningHistory,uri,16/00506
13,NetDwellingsRangeTo,default,1
14,PlanningHistory,uri,17/00036
14,NetDwellingsRangeTo,default,2
15,PlanningHistory,uri,15/00763
15,NetDwellingsRangeTo,default,2
16,PlanningHistory,uri,16/00774
16,NetDwellingsRangeTo,default,2
17,PlanningHistory,uri,18/00071
17,NetDwellingsRangeTo,default,1
17,LastUpdatedDate,default,2019-12-02
18,PlanningHistory,uri,18/00569
18,NetDwellingsRangeTo,default,4
18,LastUpdatedDate,default,2019-12-02
19,PlanningHistory,uri,18/00302
19,NetDwellingsRangeTo,default,1
19,LastUpdatedDate,default,2019-12-02
20,PlanningHistory,uri,17/00939
20,NetDwellingsRangeTo,default,10
20,LastUpdatedDate,default,2019-12-02
21,PlanningHistory,uri,18/00579
21,NetDwellingsRangeTo,default,1
21,LastUpdatedDate,default,2019-12-02
22,PlanningHistory,uri,18/00608
22,NetDwellingsRangeTo,default,3
22,LastUpdatedDate,default,2019-12-02
23,PlanningHistory,uri,18/00045
23,NetDwellingsRangeTo,default,2
23,LastUpdatedDate,default,2019-12-02
24,NetDwellingsRangeTo,default,30
24,LastUpdatedDate,default,2019-12-02
