row-number,field,issue-type,value
1,PlanningHistory,uri,16/01361/FUL
1,LastUpdatedDate,default,2018-05-22
2,PlanningHistory,uri,16/01422/FUL
2,LastUpdatedDate,default,2018-05-22
3,PlanningHistory,uri,17/00657/PAOCOU
3,LastUpdatedDate,default,2018-05-22
4,PlanningHistory,uri,16/01413/FUL
4,LastUpdatedDate,default,2018-05-22
5,PlanningHistory,uri,16/01414/FUL
5,LastUpdatedDate,default,2018-05-22
6,PlanningHistory,uri,16/01420/FUL
6,LastUpdatedDate,default,2018-05-22
7,PlanningHistory,uri,15/01402/OUT
7,LastUpdatedDate,default,2018-05-22
8,PlanningHistory,uri,17/00005/OUT
8,LastUpdatedDate,default,2018-05-22
9,PlanningHistory,uri,16/01077/FUL
9,LastUpdatedDate,default,2018-05-22
10,PlanningHistory,uri,16/00600/FUL
10,LastUpdatedDate,default,2018-05-22
11,PlanningHistory,uri,16/00709/FUL
11,LastUpdatedDate,default,2018-05-22
12,PlanningHistory,uri,16/00379/FUL
12,LastUpdatedDate,default,2018-05-22
13,PlanningHistory,uri,17/00219/FUL
13,LastUpdatedDate,default,2018-05-22
14,PlanningHistory,uri,16/01046/FUL
14,LastUpdatedDate,default,2018-05-22
15,PlanningHistory,uri,"16/00895/FUL
16/00895/FUL
16/00895/FUL
16/00895/FUL
16/00895/FUL
16/00895/FUL"
15,LastUpdatedDate,default,2018-05-22
16,PlanningHistory,uri,16/01085/FUL
16,LastUpdatedDate,default,2018-05-22
17,PlanningHistory,uri,16/00353/FUL
17,LastUpdatedDate,default,2018-05-22
18,PlanningHistory,uri,17/00199/FUL
18,LastUpdatedDate,default,2018-05-22
19,PlanningHistory,uri,16/00193/FUL
19,LastUpdatedDate,default,2018-05-22
20,PlanningHistory,uri,16/00390/FUL
20,LastUpdatedDate,default,2018-05-22
21,PlanningHistory,uri,16/00928/FUL
21,LastUpdatedDate,default,2018-05-22
22,PlanningHistory,uri,16/01068/FUL
22,LastUpdatedDate,default,2018-05-22
23,PlanningHistory,uri,16/01004/OUT
23,LastUpdatedDate,default,2018-05-22
24,PlanningHistory,uri,16/00884/FUL
24,LastUpdatedDate,default,2018-05-22
25,PlanningHistory,uri,17/00105/FUL
25,LastUpdatedDate,default,2018-05-22
26,PlanningHistory,uri,16/00897/FUL
26,LastUpdatedDate,default,2018-05-22
27,PlanningHistory,uri,17/00944/FUL
27,LastUpdatedDate,default,2018-05-22
28,PlanningHistory,uri,16/00756/FUL
