row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,5
1,NetDwellingsRangeTo,default,5
1,LastUpdatedDate,default,2017-12-15
2,LastUpdatedDate,default,2017-12-15
3,LastUpdatedDate,default,2017-12-15
4,LastUpdatedDate,default,2017-12-15
5,LastUpdatedDate,default,2017-12-15
6,LastUpdatedDate,default,2017-12-15
7,LastUpdatedDate,default,2017-12-15
8,LastUpdatedDate,default,2017-12-15
9,LastUpdatedDate,default,2017-12-15
10,LastUpdatedDate,default,2017-12-15
11,LastUpdatedDate,default,2017-12-15
12,LastUpdatedDate,default,2017-12-15
13,LastUpdatedDate,default,2017-12-15
14,LastUpdatedDate,default,2017-12-15
15,LastUpdatedDate,default,2017-12-15
16,LastUpdatedDate,default,2017-12-15
17,LastUpdatedDate,default,2017-12-15
18,LastUpdatedDate,default,2017-12-15
19,LastUpdatedDate,default,2017-12-15
20,LastUpdatedDate,default,2017-12-15
21,LastUpdatedDate,default,2017-12-15
22,LastUpdatedDate,default,2017-12-15
23,LastUpdatedDate,default,2017-12-15
24,LastUpdatedDate,default,2017-12-15
25,LastUpdatedDate,default,2017-12-15
26,LastUpdatedDate,default,2017-12-15
27,LastUpdatedDate,default,2017-12-15
28,LastUpdatedDate,default,2017-12-15
29,LastUpdatedDate,default,2017-12-15
30,LastUpdatedDate,default,2017-12-15
