row-number,field,issue-type,value
1,PlanningHistory,uri,None relevant.
1,FirstAddedDate,date,31-06-2017
1,NetDwellingsRangeFrom,default,60
1,NetDwellingsRangeTo,default,60
2,PlanningHistory,uri,None relevant.
2,FirstAddedDate,date,31-06-2017
2,NetDwellingsRangeFrom,default,30
2,NetDwellingsRangeTo,default,30
3,PlanningHistory,uri,None relevant.
3,FirstAddedDate,date,31-06-2017
3,NetDwellingsRangeFrom,default,24
3,NetDwellingsRangeTo,default,24
4,FirstAddedDate,date,31-06-2017
4,NetDwellingsRangeFrom,default,53
4,NetDwellingsRangeTo,default,53
5,PlanningHistory,uri,None relevant.
5,FirstAddedDate,date,31-06-2017
5,NetDwellingsRangeFrom,default,20
5,NetDwellingsRangeTo,default,20
6,PlanningHistory,uri,None relevant.
6,FirstAddedDate,date,31-06-2017
6,NetDwellingsRangeFrom,default,70
6,NetDwellingsRangeTo,default,70
7,PlanningHistory,uri,None relevant.
7,FirstAddedDate,date,31-06-2017
7,NetDwellingsRangeFrom,default,1230
7,NetDwellingsRangeTo,default,1230
8,PlanningHistory,uri,None relevant.
8,FirstAddedDate,date,31-06-2017
8,NetDwellingsRangeFrom,default,525
8,NetDwellingsRangeTo,default,525
9,PlanningHistory,uri,None relevant.
9,FirstAddedDate,date,31-06-2017
9,NetDwellingsRangeFrom,default,150
9,NetDwellingsRangeTo,default,150
10,PlanningHistory,uri,None relevant.
10,FirstAddedDate,date,31-06-2017
10,NetDwellingsRangeFrom,default,25
10,NetDwellingsRangeTo,default,25
11,PlanningHistory,uri,None relevant.
11,FirstAddedDate,date,31-06-2017
11,NetDwellingsRangeFrom,default,200
11,NetDwellingsRangeTo,default,200
12,FirstAddedDate,date,31-06-2017
12,NetDwellingsRangeFrom,default,35
12,NetDwellingsRangeTo,default,35
13,PlanningHistory,uri,None relevant.
13,FirstAddedDate,date,31-06-2017
13,NetDwellingsRangeFrom,default,87
13,NetDwellingsRangeTo,default,87
14,SiteplanURL,uri,SiteplanURL
14,PermissionDate,date,Permission Date
14,PlanningHistory,uri,PlanningHistory
14,MinNetDwellings,integer,Min Net Dwellings
14,FirstAddedDate,date,31-06-2017
14,"GeoX,GeoY",Failed to convert point to decimal %s,"['GeoX', 'GeoY']"
15,FirstAddedDate,date,31-06-2017
15,NetDwellingsRangeFrom,default,3
15,NetDwellingsRangeTo,default,3
16,FirstAddedDate,date,31-06-2017
16,NetDwellingsRangeFrom,default,6
16,NetDwellingsRangeTo,default,6
17,FirstAddedDate,date,31-06-2017
17,NetDwellingsRangeFrom,default,9
