row-number,field,issue-type,value
1,PlanningHistory,uri,http://publicaccess.
1,LastUpdatedDate,default,2017-12-15
2,LastUpdatedDate,default,2016-06-24
3,LastUpdatedDate,default,2017-12-15
4,PlanningHistory,uri,http://publicaccess.
4,LastUpdatedDate,default,2017-12-15
5,PlanningHistory,uri,http://publicaccess.
5,LastUpdatedDate,default,2017-12-15
6,LastUpdatedDate,default,2017-12-15
7,PlanningHistory,uri,http://publicaccess.
7,LastUpdatedDate,default,2016-06-24
8,PlanningHistory,uri,http://publicaccess.
8,LastUpdatedDate,default,2017-12-15
9,PlanningHistory,uri,http://publicaccess.
9,LastUpdatedDate,default,2016-06-24
10,PlanningHistory,uri,http://publicaccess.
10,LastUpdatedDate,default,2016-06-24
11,LastUpdatedDate,default,2017-12-15
12,PlanningHistory,uri,http://publicaccess.
12,LastUpdatedDate,default,2017-12-15
13,PlanningHistory,uri,http://publicaccess.
13,LastUpdatedDate,default,2016-06-24
14,PlanningHistory,uri,http://publicaccess.
14,LastUpdatedDate,default,2017-12-15
15,PlanningHistory,uri,http://publicaccess.
15,LastUpdatedDate,default,2017-12-15
16,PlanningHistory,uri,http://publicaccess.
16,LastUpdatedDate,default,2017-12-15
17,PlanningHistory,uri,http://publicaccess.
17,LastUpdatedDate,default,2017-12-15
18,PlanningHistory,uri,http://publicaccess.
18,LastUpdatedDate,default,2017-12-15
19,PlanningHistory,uri,http://publicaccess.
19,LastUpdatedDate,default,2017-12-15
20,PlanningHistory,uri,http://publicaccess.
20,LastUpdatedDate,default,2016-06-24
21,LastUpdatedDate,default,2017-12-15
22,PlanningHistory,uri,http://publicaccess.
22,LastUpdatedDate,default,2017-12-15
23,PlanningHistory,uri,http://publicaccess.
23,LastUpdatedDate,default,2017-12-15
24,PlanningHistory,uri,http://publicaccess.
24,LastUpdatedDate,default,2017-12-15
25,PlanningHistory,uri,http://publicaccess.
25,LastUpdatedDate,default,2016-06-24
26,PlanningHistory,uri,http://publicaccess.
26,LastUpdatedDate,default,2017-12-15
27,LastUpdatedDate,default,2016-06-24
28,LastUpdatedDate,default,2017-12-15
29,PlanningHistory,uri,http://publicaccess.
29,LastUpdatedDate,default,2017-12-15
30,PlanningHistory,uri,http://publicaccess.
30,LastUpdatedDate,default,2016-06-24
31,PlanningHistory,uri,http://publicaccess.
31,LastUpdatedDate,default,2016-06-24
32,PlanningHistory,uri,http://publicaccess.
32,LastUpdatedDate,default,2016-06-24
33,PlanningHistory,uri,http://publicaccess.
33,LastUpdatedDate,default,2016-06-24
34,PlanningHistory,uri,http://publicaccess.
34,LastUpdatedDate,default,2017-12-15
35,PlanningHistory,uri,http://publicaccess.
35,LastUpdatedDate,default,2016-06-24
36,PlanningHistory,uri,http://publicaccess.
36,LastUpdatedDate,default,2016-06-24
37,PlanningHistory,uri,http://publicaccess.
37,LastUpdatedDate,default,2016-06-24
