row-number,field,issue-type,value
1,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
1,NetDwellingsRangeTo,default,6
2,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
2,NetDwellingsRangeTo,default,50
3,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
3,NetDwellingsRangeTo,default,10
4,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
4,NetDwellingsRangeTo,default,30
5,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
5,NetDwellingsRangeTo,default,14
6,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
6,NetDwellingsRangeTo,default,5
7,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
7,NetDwellingsRangeTo,default,6
8,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
8,NetDwellingsRangeTo,default,5
9,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
9,NetDwellingsRangeTo,default,8
10,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
10,NetDwellingsRangeTo,default,30
11,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
11,NetDwellingsRangeTo,default,22
12,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
12,NetDwellingsRangeTo,default,14
13,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
13,NetDwellingsRangeTo,default,26
14,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fmd%2fe08000004&inactive=false
14,NetDwellingsRangeTo,default,50
