row-number,field,issue-type,value
1,NetDwellingsRangeTo,default,5
2,NetDwellingsRangeTo,default,5
3,NetDwellingsRangeTo,default,5
4,NetDwellingsRangeTo,default,34
5,NetDwellingsRangeTo,default,196
6,NetDwellingsRangeTo,default,750
7,NetDwellingsRangeTo,default,30
8,NetDwellingsRangeTo,default,9
9,NetDwellingsRangeTo,default,5
10,NetDwellingsRangeTo,default,9
11,NetDwellingsRangeTo,default,9
12,NetDwellingsRangeTo,default,7
13,NetDwellingsRangeTo,default,48
14,NetDwellingsRangeTo,default,90
15,NetDwellingsRangeTo,default,359
16,NetDwellingsRangeTo,default,350
17,NetDwellingsRangeTo,default,730
18,NetDwellingsRangeTo,default,337
19,NetDwellingsRangeTo,default,300
20,NetDwellingsRangeTo,default,12
21,NetDwellingsRangeTo,default,7
22,NetDwellingsRangeTo,default,29
23,NetDwellingsRangeTo,default,28
24,NetDwellingsRangeTo,default,42
25,NetDwellingsRangeTo,default,9
26,NetDwellingsRangeTo,default,17
27,NetDwellingsRangeTo,default,90
28,NetDwellingsRangeTo,default,48
29,NetDwellingsRangeTo,default,30
30,NetDwellingsRangeTo,default,502
31,NetDwellingsRangeTo,default,8
32,NetDwellingsRangeTo,default,14
33,NetDwellingsRangeTo,default,22
34,NetDwellingsRangeTo,default,6
35,NetDwellingsRangeTo,default,8
36,NetDwellingsRangeTo,default,5
37,NetDwellingsRangeTo,default,8
38,NetDwellingsRangeTo,default,6
39,NetDwellingsRangeTo,default,8
40,NetDwellingsRangeTo,default,3
41,NetDwellingsRangeTo,default,9
42,NetDwellingsRangeTo,default,9
43,NetDwellingsRangeTo,default,6
44,NetDwellingsRangeTo,default,26
45,NetDwellingsRangeTo,default,7
46,NetDwellingsRangeTo,default,7
47,NetDwellingsRangeTo,default,9
48,NetDwellingsRangeTo,default,9
49,NetDwellingsRangeTo,default,7
50,NetDwellingsRangeTo,default,5
51,NetDwellingsRangeTo,default,5
52,NetDwellingsRangeTo,default,5
53,NetDwellingsRangeTo,default,5
54,NetDwellingsRangeTo,default,8
55,NetDwellingsRangeTo,default,6
56,NetDwellingsRangeTo,default,7
57,NetDwellingsRangeTo,default,6
58,NetDwellingsRangeTo,default,9
59,NetDwellingsRangeTo,default,8
60,NetDwellingsRangeTo,default,9
61,NetDwellingsRangeTo,default,12
62,NetDwellingsRangeTo,default,8
63,NetDwellingsRangeTo,default,9
64,NetDwellingsRangeTo,default,45
65,NetDwellingsRangeTo,default,7
66,NetDwellingsRangeTo,default,20
67,NetDwellingsRangeTo,default,120
68,NetDwellingsRangeTo,default,80
69,NetDwellingsRangeTo,default,31
70,NetDwellingsRangeTo,default,83
71,NetDwellingsRangeTo,default,300
72,NetDwellingsRangeTo,default,40
73,NetDwellingsRangeTo,default,300
