row-number,field,issue-type,value
1,LastUpdatedDate,default,2017-12-12
2,LastUpdatedDate,default,2017-12-12
3,LastUpdatedDate,default,2017-12-12
4,LastUpdatedDate,default,2017-12-12
5,LastUpdatedDate,default,2017-12-12
6,NetDwellingsRangeFrom,default,12
7,LastUpdatedDate,default,2017-12-12
8,NetDwellingsRangeFrom,default,49
8,LastUpdatedDate,default,2017-12-12
9,NetDwellingsRangeFrom,default,6
9,LastUpdatedDate,default,2017-12-12
10,NetDwellingsRangeFrom,default,7
10,LastUpdatedDate,default,2017-12-12
11,NetDwellingsRangeFrom,default,5
11,LastUpdatedDate,default,2017-12-12
12,NetDwellingsRangeFrom,default,9
12,LastUpdatedDate,default,2017-12-12
13,NetDwellingsRangeFrom,default,7
13,LastUpdatedDate,default,2019-03-31
14,NetDwellingsRangeFrom,default,10
14,LastUpdatedDate,default,2019-03-31
15,NetDwellingsRangeFrom,default,9
15,LastUpdatedDate,default,2019-03-31
16,NetDwellingsRangeFrom,default,7
16,LastUpdatedDate,default,2019-03-31
17,NetDwellingsRangeFrom,default,8
17,LastUpdatedDate,default,2019-03-31
18,NetDwellingsRangeFrom,default,52
18,LastUpdatedDate,default,2019-03-31
19,NetDwellingsRangeFrom,default,7
19,LastUpdatedDate,default,2019-03-31
20,LastUpdatedDate,default,2019-03-31
