row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,47
1,NetDwellingsRangeTo,default,47
2,NetDwellingsRangeFrom,default,10
2,NetDwellingsRangeTo,default,10
3,MinNetDwellings,integer,6 (net)
4,NetDwellingsRangeFrom,default,34
4,NetDwellingsRangeTo,default,34
5,NetDwellingsRangeFrom,default,49
5,NetDwellingsRangeTo,default,49
6,NetDwellingsRangeFrom,default,10
6,NetDwellingsRangeTo,default,10
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
8,NetDwellingsRangeFrom,default,4
8,NetDwellingsRangeTo,default,4
9,MinNetDwellings,integer,1 (net)
10,NetDwellingsRangeFrom,default,7
10,NetDwellingsRangeTo,default,7
11,NetDwellingsRangeFrom,default,3
11,NetDwellingsRangeTo,default,3
12,NetDwellingsRangeFrom,default,5
12,NetDwellingsRangeTo,default,5
13,NetDwellingsRangeFrom,default,2
13,NetDwellingsRangeTo,default,2
14,NetDwellingsRangeFrom,default,17
14,NetDwellingsRangeTo,default,17
15,MinNetDwellings,integer,4 (net)
16,MinNetDwellings,integer,5 (net)
17,NetDwellingsRangeFrom,default,5
17,NetDwellingsRangeTo,default,5
18,NetDwellingsRangeFrom,default,9
18,NetDwellingsRangeTo,default,9
19,NetDwellingsRangeFrom,default,7
19,NetDwellingsRangeTo,default,7
20,MinNetDwellings,integer,2 (net)
21,NetDwellingsRangeFrom,default,59
21,NetDwellingsRangeTo,default,59
22,NetDwellingsRangeFrom,default,17
22,NetDwellingsRangeTo,default,17
23,NetDwellingsRangeFrom,default,2
23,NetDwellingsRangeTo,default,2
