row-number,field,issue-type,value
1,PlanningHistory,uri,Fitzrovia Area Action Plan http://camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/fitzrovia-aap.en
1,NetDwellingsRangeFrom,default,20
1,NetDwellingsRangeTo,default,20
2,NetDwellingsRangeFrom,default,53
2,NetDwellingsRangeTo,default,53
3,NetDwellingsRangeFrom,default,10
3,NetDwellingsRangeTo,default,10
4,NetDwellingsRangeFrom,default,6
4,NetDwellingsRangeTo,default,6
5,NetDwellingsRangeFrom,default,13
5,NetDwellingsRangeTo,default,13
6,NetDwellingsRangeFrom,default,8
6,NetDwellingsRangeTo,default,8
7,NetDwellingsRangeFrom,default,42
7,NetDwellingsRangeTo,default,42
8,NetDwellingsRangeFrom,default,5
8,NetDwellingsRangeTo,default,5
9,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
9,NetDwellingsRangeFrom,default,35
9,NetDwellingsRangeTo,default,35
10,NetDwellingsRangeFrom,default,53
10,NetDwellingsRangeTo,default,53
11,NetDwellingsRangeFrom,default,7
11,NetDwellingsRangeTo,default,7
12,NetDwellingsRangeFrom,default,6
12,NetDwellingsRangeTo,default,6
13,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeTo,default,6
14,NetDwellingsRangeFrom,default,8
14,NetDwellingsRangeTo,default,8
15,NetDwellingsRangeFrom,default,6
15,NetDwellingsRangeTo,default,6
16,NetDwellingsRangeFrom,default,6
16,NetDwellingsRangeTo,default,6
17,NetDwellingsRangeFrom,default,9
17,NetDwellingsRangeTo,default,9
18,NetDwellingsRangeFrom,default,60
18,NetDwellingsRangeTo,default,60
19,NetDwellingsRangeFrom,default,9
19,NetDwellingsRangeTo,default,9
20,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
20,NetDwellingsRangeFrom,default,94
20,NetDwellingsRangeTo,default,94
21,NetDwellingsRangeFrom,default,22
21,NetDwellingsRangeTo,default,22
22,NetDwellingsRangeFrom,default,7
22,NetDwellingsRangeTo,default,7
23,NetDwellingsRangeFrom,default,7
23,NetDwellingsRangeTo,default,7
24,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
24,NetDwellingsRangeFrom,default,175
24,NetDwellingsRangeTo,default,175
25,NetDwellingsRangeFrom,default,5
25,NetDwellingsRangeTo,default,5
26,NetDwellingsRangeFrom,default,9
26,NetDwellingsRangeTo,default,9
27,NetDwellingsRangeFrom,default,9
27,NetDwellingsRangeTo,default,9
28,NetDwellingsRangeFrom,default,345
28,NetDwellingsRangeTo,default,345
29,NetDwellingsRangeFrom,default,106
29,NetDwellingsRangeTo,default,106
30,NetDwellingsRangeFrom,default,11
30,NetDwellingsRangeTo,default,11
31,NetDwellingsRangeFrom,default,14
31,NetDwellingsRangeTo,default,14
32,NetDwellingsRangeFrom,default,22
32,NetDwellingsRangeTo,default,22
33,NetDwellingsRangeFrom,default,36
33,NetDwellingsRangeTo,default,36
34,PlanningHistory,uri,Site Allocation in Euston Area Plan http://www.eustonareaplan.info/
34,NetDwellingsRangeFrom,default,1000
34,NetDwellingsRangeTo,default,1000
35,NetDwellingsRangeFrom,default,93
35,NetDwellingsRangeTo,default,93
36,NetDwellingsRangeFrom,default,22
36,NetDwellingsRangeTo,default,22
37,NetDwellingsRangeFrom,default,12
37,NetDwellingsRangeTo,default,12
38,NetDwellingsRangeFrom,default,70
38,NetDwellingsRangeTo,default,70
39,NetDwellingsRangeFrom,default,6
39,NetDwellingsRangeTo,default,6
40,NetDwellingsRangeFrom,default,15
40,NetDwellingsRangeTo,default,15
41,NetDwellingsRangeFrom,default,5
41,NetDwellingsRangeTo,default,5
42,NetDwellingsRangeFrom,default,9
42,NetDwellingsRangeTo,default,9
43,NetDwellingsRangeFrom,default,5
43,NetDwellingsRangeTo,default,5
44,NetDwellingsRangeFrom,default,16
44,NetDwellingsRangeTo,default,16
45,NetDwellingsRangeFrom,default,6
45,NetDwellingsRangeTo,default,6
46,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
46,NetDwellingsRangeFrom,default,55
46,NetDwellingsRangeTo,default,55
47,NetDwellingsRangeFrom,default,184
47,NetDwellingsRangeTo,default,184
48,NetDwellingsRangeFrom,default,27
48,NetDwellingsRangeTo,default,27
49,NetDwellingsRangeFrom,default,5
49,NetDwellingsRangeTo,default,5
50,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
50,NetDwellingsRangeFrom,default,40
50,NetDwellingsRangeTo,default,40
51,NetDwellingsRangeFrom,default,164
51,NetDwellingsRangeTo,default,164
52,NetDwellingsRangeFrom,default,14
52,NetDwellingsRangeTo,default,14
53,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
53,NetDwellingsRangeFrom,default,26
53,NetDwellingsRangeTo,default,26
54,NetDwellingsRangeFrom,default,6
54,NetDwellingsRangeTo,default,6
55,NetDwellingsRangeFrom,default,22
55,NetDwellingsRangeTo,default,22
56,PlanningHistory,uri,Fitzrovia Area Action Plan http://camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/fitzrovia-aap.en
56,NetDwellingsRangeFrom,default,27
56,NetDwellingsRangeTo,default,27
57,NetDwellingsRangeFrom,default,6
57,NetDwellingsRangeTo,default,6
58,NetDwellingsRangeFrom,default,5
58,NetDwellingsRangeTo,default,5
59,NetDwellingsRangeFrom,default,29
59,NetDwellingsRangeTo,default,29
60,NetDwellingsRangeFrom,default,5
60,NetDwellingsRangeTo,default,5
61,PlanningHistory,uri,Site Allocation in Euston Area Plan http://www.eustonareaplan.info/
61,NetDwellingsRangeFrom,default,1400
61,NetDwellingsRangeTo,default,1400
62,NetDwellingsRangeFrom,default,5
62,NetDwellingsRangeTo,default,5
63,NetDwellingsRangeFrom,default,6
63,NetDwellingsRangeTo,default,6
64,NetDwellingsRangeFrom,default,10
64,NetDwellingsRangeTo,default,10
65,NetDwellingsRangeFrom,default,121
65,NetDwellingsRangeTo,default,121
66,NetDwellingsRangeFrom,default,8
66,NetDwellingsRangeTo,default,8
67,NetDwellingsRangeFrom,default,7
67,NetDwellingsRangeTo,default,7
68,NetDwellingsRangeFrom,default,12
68,NetDwellingsRangeTo,default,12
69,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
69,NetDwellingsRangeFrom,default,35
69,NetDwellingsRangeTo,default,35
70,NetDwellingsRangeFrom,default,136
70,NetDwellingsRangeTo,default,136
71,NetDwellingsRangeFrom,default,5
71,NetDwellingsRangeTo,default,5
72,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
72,NetDwellingsRangeFrom,default,315
72,NetDwellingsRangeTo,default,315
73,NetDwellingsRangeFrom,default,8
73,NetDwellingsRangeTo,default,8
74,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
74,NetDwellingsRangeFrom,default,60
74,NetDwellingsRangeTo,default,60
75,NetDwellingsRangeFrom,default,4
75,NetDwellingsRangeTo,default,4
76,NetDwellingsRangeFrom,default,7
76,NetDwellingsRangeTo,default,7
77,NetDwellingsRangeFrom,default,50
77,NetDwellingsRangeTo,default,50
78,NetDwellingsRangeFrom,default,38
78,NetDwellingsRangeTo,default,38
79,NetDwellingsRangeFrom,default,21
79,NetDwellingsRangeTo,default,21
80,NetDwellingsRangeFrom,default,7
80,NetDwellingsRangeTo,default,7
81,NetDwellingsRangeFrom,default,12
81,NetDwellingsRangeTo,default,12
82,NetDwellingsRangeFrom,default,8
82,NetDwellingsRangeTo,default,8
83,NetDwellingsRangeFrom,default,15
83,NetDwellingsRangeTo,default,15
84,NetDwellingsRangeFrom,default,19
84,NetDwellingsRangeTo,default,19
85,NetDwellingsRangeFrom,default,26
85,NetDwellingsRangeTo,default,26
86,NetDwellingsRangeFrom,default,5
86,NetDwellingsRangeTo,default,5
87,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
87,NetDwellingsRangeFrom,default,58
87,NetDwellingsRangeTo,default,58
88,NetDwellingsRangeFrom,default,6
88,NetDwellingsRangeTo,default,6
89,NetDwellingsRangeFrom,default,5
89,NetDwellingsRangeTo,default,5
90,NetDwellingsRangeFrom,default,5
90,NetDwellingsRangeTo,default,5
91,NetDwellingsRangeFrom,default,63
91,NetDwellingsRangeTo,default,63
92,NetDwellingsRangeFrom,default,9
92,NetDwellingsRangeTo,default,9
93,NetDwellingsRangeFrom,default,13
93,NetDwellingsRangeTo,default,13
94,NetDwellingsRangeFrom,default,52
94,NetDwellingsRangeTo,default,52
95,NetDwellingsRangeFrom,default,10
95,NetDwellingsRangeTo,default,10
96,NetDwellingsRangeFrom,default,573
96,NetDwellingsRangeTo,default,573
