row-number,field,issue-type,value
1,OrganisationURI,opendatacommunities-uri,
1,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
1,LastUpdatedDate,default,2019-12-14
2,OrganisationURI,opendatacommunities-uri,
2,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
2,LastUpdatedDate,default,2019-12-14
3,OrganisationURI,opendatacommunities-uri,
3,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
3,LastUpdatedDate,default,2019-12-14
4,OrganisationURI,opendatacommunities-uri,
4,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
4,LastUpdatedDate,default,2019-12-14
5,OrganisationURI,opendatacommunities-uri,
5,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
5,LastUpdatedDate,default,2019-12-14
6,OrganisationURI,opendatacommunities-uri,
6,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
6,LastUpdatedDate,default,2019-12-14
7,OrganisationURI,opendatacommunities-uri,
7,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
7,LastUpdatedDate,default,2019-12-14
8,OrganisationURI,opendatacommunities-uri,
8,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
8,LastUpdatedDate,default,2019-12-14
9,OrganisationURI,opendatacommunities-uri,
9,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
9,LastUpdatedDate,default,2019-12-14
10,OrganisationURI,opendatacommunities-uri,
10,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
10,LastUpdatedDate,default,2019-12-14
11,OrganisationURI,opendatacommunities-uri,
11,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
11,LastUpdatedDate,default,2019-12-14
12,OrganisationURI,opendatacommunities-uri,
12,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
12,LastUpdatedDate,default,2019-12-14
13,OrganisationURI,opendatacommunities-uri,
13,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
13,LastUpdatedDate,default,2019-12-14
14,OrganisationURI,opendatacommunities-uri,
14,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
14,LastUpdatedDate,default,2019-12-14
15,OrganisationURI,opendatacommunities-uri,
15,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
15,LastUpdatedDate,default,2019-12-14
16,OrganisationURI,opendatacommunities-uri,
16,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
16,LastUpdatedDate,default,2019-12-14
17,OrganisationURI,opendatacommunities-uri,
17,OrganisationURI,default,http://opendatacommunities.org/id/district-council/mole-valley
17,LastUpdatedDate,default,2019-12-14
