row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,24
1,NetDwellingsRangeTo,default,24
1,LastUpdatedDate,default,2018-05-22
2,NetDwellingsRangeFrom,default,24
2,NetDwellingsRangeTo,default,24
2,LastUpdatedDate,default,2018-05-22
3,NetDwellingsRangeFrom,default,18
3,NetDwellingsRangeTo,default,18
3,LastUpdatedDate,default,2018-05-22
4,NetDwellingsRangeFrom,default,28
4,NetDwellingsRangeTo,default,28
4,LastUpdatedDate,default,2018-05-22
5,NetDwellingsRangeFrom,default,9
5,NetDwellingsRangeTo,default,9
5,LastUpdatedDate,default,2018-05-22
6,NetDwellingsRangeFrom,default,5
6,NetDwellingsRangeTo,default,5
6,LastUpdatedDate,default,2018-05-22
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
7,LastUpdatedDate,default,2018-05-22
8,NetDwellingsRangeFrom,default,7
8,NetDwellingsRangeTo,default,7
8,LastUpdatedDate,default,2018-05-22
9,NetDwellingsRangeFrom,default,9
9,NetDwellingsRangeTo,default,9
9,LastUpdatedDate,default,2018-05-22
10,NetDwellingsRangeFrom,default,5
10,NetDwellingsRangeTo,default,5
10,LastUpdatedDate,default,2018-05-22
11,NetDwellingsRangeFrom,default,7
11,NetDwellingsRangeTo,default,7
11,LastUpdatedDate,default,2018-05-22
12,NetDwellingsRangeFrom,default,7
12,NetDwellingsRangeTo,default,7
12,LastUpdatedDate,default,2018-05-22
13,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeTo,default,6
13,LastUpdatedDate,default,2018-05-22
14,NetDwellingsRangeFrom,default,1
14,NetDwellingsRangeTo,default,1
14,LastUpdatedDate,default,2018-05-22
15,NetDwellingsRangeFrom,default,2
15,NetDwellingsRangeTo,default,2
15,LastUpdatedDate,default,2018-05-22
16,NetDwellingsRangeFrom,default,1
16,NetDwellingsRangeTo,default,1
16,LastUpdatedDate,default,2018-05-22
17,NetDwellingsRangeFrom,default,2
17,NetDwellingsRangeTo,default,2
17,LastUpdatedDate,default,2018-05-22
18,NetDwellingsRangeFrom,default,3
18,NetDwellingsRangeTo,default,3
18,LastUpdatedDate,default,2018-05-22
19,NetDwellingsRangeFrom,default,1
