row-number,field,issue-type,value
1,OrganisationURI,opendatacommunities-uri,
1,OrganisationURI,default,http://opendatacommunities.org/id/national-park-authority/exmoor
1,LastUpdatedDate,default,2019-12-14
2,OrganisationURI,opendatacommunities-uri,
2,OrganisationURI,default,http://opendatacommunities.org/id/national-park-authority/exmoor
2,LastUpdatedDate,default,2019-12-14
3,OrganisationURI,opendatacommunities-uri,
3,OrganisationURI,default,http://opendatacommunities.org/id/national-park-authority/exmoor
3,LastUpdatedDate,default,2019-12-14
4,OrganisationURI,opendatacommunities-uri,
4,OrganisationURI,default,http://opendatacommunities.org/id/national-park-authority/exmoor
4,LastUpdatedDate,default,2019-12-14
5,OrganisationURI,opendatacommunities-uri,
5,OrganisationURI,default,http://opendatacommunities.org/id/national-park-authority/exmoor
5,LastUpdatedDate,default,2019-12-14
6,OrganisationURI,opendatacommunities-uri,
6,OrganisationURI,default,http://opendatacommunities.org/id/national-park-authority/exmoor
6,LastUpdatedDate,default,2019-12-14
