row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,121
1,NetDwellingsRangeTo,default,121
2,NetDwellingsRangeFrom,default,5
2,NetDwellingsRangeTo,default,5
3,NetDwellingsRangeFrom,default,6
3,NetDwellingsRangeTo,default,6
4,NetDwellingsRangeFrom,default,93
4,NetDwellingsRangeTo,default,93
5,NetDwellingsRangeFrom,default,9
5,NetDwellingsRangeTo,default,9
6,NetDwellingsRangeFrom,default,6
6,NetDwellingsRangeTo,default,6
7,NetDwellingsRangeFrom,default,22
7,NetDwellingsRangeTo,default,22
8,NetDwellingsRangeFrom,default,9
8,NetDwellingsRangeTo,default,9
9,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
9,NetDwellingsRangeFrom,default,40
9,NetDwellingsRangeTo,default,40
10,PlanningHistory,uri,Fitzrovia Area Action Plan http://camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/fitzrovia-aap.en
10,NetDwellingsRangeFrom,default,27
10,NetDwellingsRangeTo,default,27
11,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
11,NetDwellingsRangeFrom,default,60
11,NetDwellingsRangeTo,default,60
12,NetDwellingsRangeFrom,default,6
12,NetDwellingsRangeTo,default,6
13,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeTo,default,6
14,NetDwellingsRangeFrom,default,22
14,NetDwellingsRangeTo,default,22
15,NetDwellingsRangeFrom,default,10
15,NetDwellingsRangeTo,default,10
16,PlanningHistory,uri,Site Allocation in Euston Area Plan http://www.eustonareaplan.info/
16,NetDwellingsRangeFrom,default,1000
16,NetDwellingsRangeTo,default,1000
17,NetDwellingsRangeFrom,default,10
17,NetDwellingsRangeTo,default,10
18,NetDwellingsRangeFrom,default,8
18,NetDwellingsRangeTo,default,8
19,NetDwellingsRangeFrom,default,12
19,NetDwellingsRangeTo,default,12
20,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
20,NetDwellingsRangeFrom,default,26
20,NetDwellingsRangeTo,default,26
21,NetDwellingsRangeFrom,default,6
21,NetDwellingsRangeTo,default,6
22,NetDwellingsRangeFrom,default,9
22,NetDwellingsRangeTo,default,9
23,NetDwellingsRangeFrom,default,136
23,NetDwellingsRangeTo,default,136
24,NetDwellingsRangeFrom,default,6
24,NetDwellingsRangeTo,default,6
25,NetDwellingsRangeFrom,default,7
25,NetDwellingsRangeTo,default,7
26,NetDwellingsRangeFrom,default,573
26,NetDwellingsRangeTo,default,573
27,NetDwellingsRangeFrom,default,50
27,NetDwellingsRangeTo,default,50
28,NetDwellingsRangeFrom,default,29
28,NetDwellingsRangeTo,default,29
29,NetDwellingsRangeFrom,default,6
29,NetDwellingsRangeTo,default,6
30,NetDwellingsRangeFrom,default,42
30,NetDwellingsRangeTo,default,42
31,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
31,NetDwellingsRangeFrom,default,94
31,NetDwellingsRangeTo,default,94
32,NetDwellingsRangeFrom,default,5
32,NetDwellingsRangeTo,default,5
33,NetDwellingsRangeFrom,default,19
33,NetDwellingsRangeTo,default,19
34,NetDwellingsRangeFrom,default,53
34,NetDwellingsRangeTo,default,53
35,NetDwellingsRangeFrom,default,5
35,NetDwellingsRangeTo,default,5
36,NetDwellingsRangeFrom,default,16
36,NetDwellingsRangeTo,default,16
37,NetDwellingsRangeFrom,default,5
37,NetDwellingsRangeTo,default,5
38,NetDwellingsRangeFrom,default,7
38,NetDwellingsRangeTo,default,7
39,NetDwellingsRangeFrom,default,5
39,NetDwellingsRangeTo,default,5
40,NetDwellingsRangeFrom,default,7
40,NetDwellingsRangeTo,default,7
41,NetDwellingsRangeFrom,default,5
41,NetDwellingsRangeTo,default,5
42,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
42,NetDwellingsRangeFrom,default,55
42,NetDwellingsRangeTo,default,55
43,NetDwellingsRangeFrom,default,5
43,NetDwellingsRangeTo,default,5
44,NetDwellingsRangeFrom,default,164
44,NetDwellingsRangeTo,default,164
45,NetDwellingsRangeFrom,default,12
45,NetDwellingsRangeTo,default,12
46,NetDwellingsRangeFrom,default,13
46,NetDwellingsRangeTo,default,13
47,NetDwellingsRangeFrom,default,184
47,NetDwellingsRangeTo,default,184
48,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
48,NetDwellingsRangeFrom,default,58
48,NetDwellingsRangeTo,default,58
49,NetDwellingsRangeFrom,default,11
