row-number,field,issue-type,value
1,SiteplanURL,uri,BR1
2,SiteplanURL,uri,BR2
3,SiteplanURL,uri,BR6
4,SiteplanURL,uri,BR7
5,SiteplanURL,uri,BR9
6,SiteplanURL,uri,BR10
7,SiteplanURL,uri,BR11
8,SiteplanURL,uri,BR12
9,SiteplanURL,uri,BR13
10,SiteplanURL,uri,BR14
11,SiteplanURL,uri,BR16
12,SiteplanURL,uri,BR17
13,SiteplanURL,uri,BR18
14,SiteplanURL,uri,BR20
15,SiteplanURL,uri,BR21
16,SiteplanURL,uri,BR22
17,SiteplanURL,uri,BR23
18,SiteplanURL,uri,BR24
19,SiteplanURL,uri,BR25
20,SiteplanURL,uri,BR26
21,SiteplanURL,uri,BR27
22,SiteplanURL,uri,BR28
23,SiteplanURL,uri,BR29
24,SiteplanURL,uri,BR30
25,SiteplanURL,uri,BR31
26,SiteplanURL,uri,BR32
27,SiteplanURL,uri,BR33a
28,OrganisationURI,opendatacommunities-uri,
28,SiteplanURL,uri,BR33b
28,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/hartlepool
