row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,2
1,NetDwellingsRangeTo,default,2
3,NetDwellingsRangeFrom,default,14
3,NetDwellingsRangeTo,default,14
4,NetDwellingsRangeFrom,default,24
4,NetDwellingsRangeTo,default,24
5,NetDwellingsRangeFrom,default,18
5,NetDwellingsRangeTo,default,18
6,NetDwellingsRangeFrom,default,54
6,NetDwellingsRangeTo,default,54
7,NetDwellingsRangeFrom,default,7
7,NetDwellingsRangeTo,default,7
9,NetDwellingsRangeFrom,default,8
9,NetDwellingsRangeTo,default,8
12,NetDwellingsRangeFrom,default,15
12,NetDwellingsRangeTo,default,15
14,NetDwellingsRangeFrom,default,18
14,NetDwellingsRangeTo,default,18
15,NetDwellingsRangeFrom,default,13
15,NetDwellingsRangeTo,default,13
16,NetDwellingsRangeFrom,default,15
16,NetDwellingsRangeTo,default,15
17,NetDwellingsRangeFrom,default,20
17,NetDwellingsRangeTo,default,20
18,NetDwellingsRangeFrom,default,10
18,NetDwellingsRangeTo,default,10
19,NetDwellingsRangeFrom,default,18
19,NetDwellingsRangeTo,default,18
20,NetDwellingsRangeFrom,default,9
20,NetDwellingsRangeTo,default,9
21,NetDwellingsRangeFrom,default,10
21,NetDwellingsRangeTo,default,10
22,NetDwellingsRangeFrom,default,27
22,NetDwellingsRangeTo,default,27
23,NetDwellingsRangeFrom,default,2
23,NetDwellingsRangeTo,default,2
24,NetDwellingsRangeFrom,default,15
24,NetDwellingsRangeTo,default,15
25,NetDwellingsRangeFrom,default,18
25,NetDwellingsRangeTo,default,18
26,NetDwellingsRangeFrom,default,24
26,NetDwellingsRangeTo,default,24
28,NetDwellingsRangeFrom,default,31
28,NetDwellingsRangeTo,default,31
29,NetDwellingsRangeFrom,default,1
29,NetDwellingsRangeTo,default,1
30,NetDwellingsRangeFrom,default,1
30,NetDwellingsRangeTo,default,1
31,NetDwellingsRangeFrom,default,8
31,NetDwellingsRangeTo,default,8
32,NetDwellingsRangeFrom,default,2
32,NetDwellingsRangeTo,default,2
33,NetDwellingsRangeFrom,default,1
33,NetDwellingsRangeTo,default,1
34,NetDwellingsRangeFrom,default,2
34,NetDwellingsRangeTo,default,2
35,NetDwellingsRangeFrom,default,1
35,NetDwellingsRangeTo,default,1
36,NetDwellingsRangeFrom,default,3
36,NetDwellingsRangeTo,default,3
37,NetDwellingsRangeFrom,default,5
37,NetDwellingsRangeTo,default,5
38,NetDwellingsRangeFrom,default,1
38,NetDwellingsRangeTo,default,1
39,NetDwellingsRangeFrom,default,1
39,NetDwellingsRangeTo,default,1
40,NetDwellingsRangeFrom,default,1
40,NetDwellingsRangeTo,default,1
