row-number,field,issue-type,value
1,FirstAddedDate,date,2018/12/01 00:00:00+00
1,LastUpdatedDate,date,2019/12/01 00:00:00+00
1,PermissionDate,date,1970/01/01 00:00:00+00
1,NetDwellingsRangeTo,default,31
1,LastUpdatedDate,default,2020-05-08
2,FirstAddedDate,date,2018/12/01 00:00:00+00
2,LastUpdatedDate,date,2019/12/01 00:00:00+00
2,PermissionDate,date,1970/01/01 00:00:00+00
2,NetDwellingsRangeTo,default,9
2,LastUpdatedDate,default,2020-05-08
3,FirstAddedDate,date,2018/12/01 00:00:00+00
3,LastUpdatedDate,date,2019/12/01 00:00:00+00
3,PermissionDate,date,1970/01/01 00:00:00+00
3,NetDwellingsRangeTo,default,8
3,LastUpdatedDate,default,2020-05-08
4,FirstAddedDate,date,2018/12/01 00:00:00+00
4,LastUpdatedDate,date,2019/12/01 00:00:00+00
4,PermissionDate,date,1970/01/01 00:00:00+00
4,NetDwellingsRangeTo,default,10
4,LastUpdatedDate,default,2020-05-08
5,FirstAddedDate,date,2018/12/01 00:00:00+00
5,LastUpdatedDate,date,2019/12/01 00:00:00+00
5,PermissionDate,date,1970/01/01 00:00:00+00
5,NetDwellingsRangeTo,default,16
5,LastUpdatedDate,default,2020-05-08
6,FirstAddedDate,date,2018/12/01 00:00:00+00
6,LastUpdatedDate,date,2019/12/01 00:00:00+00
6,PermissionDate,date,1970/01/01 00:00:00+00
6,NetDwellingsRangeTo,default,7
6,LastUpdatedDate,default,2020-05-08
7,FirstAddedDate,date,2018/12/01 00:00:00+00
7,LastUpdatedDate,date,2019/12/01 00:00:00+00
7,PermissionDate,date,1970/01/01 00:00:00+00
7,NetDwellingsRangeTo,default,37
7,LastUpdatedDate,default,2020-05-08
8,FirstAddedDate,date,2018/12/01 00:00:00+00
8,LastUpdatedDate,date,2019/12/01 00:00:00+00
8,PermissionDate,date,1970/01/01 00:00:00+00
8,NetDwellingsRangeTo,default,55
8,LastUpdatedDate,default,2020-05-08
9,FirstAddedDate,date,2018/12/01 00:00:00+00
9,LastUpdatedDate,date,2019/12/01 00:00:00+00
9,PermissionDate,date,1970/01/01 00:00:00+00
