row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,650
1,NetDwellingsRangeTo,default,650
2,NetDwellingsRangeFrom,default,600
2,NetDwellingsRangeTo,default,600
3,NetDwellingsRangeFrom,default,600
3,NetDwellingsRangeTo,default,600
4,NetDwellingsRangeFrom,default,500
4,NetDwellingsRangeTo,default,500
5,NetDwellingsRangeFrom,default,200
5,NetDwellingsRangeTo,default,200
6,NetDwellingsRangeFrom,default,160
6,NetDwellingsRangeTo,default,160
7,NetDwellingsRangeFrom,default,100
7,NetDwellingsRangeTo,default,100
8,NetDwellingsRangeFrom,default,130
8,NetDwellingsRangeTo,default,130
9,NetDwellingsRangeFrom,default,30
9,NetDwellingsRangeTo,default,30
10,NetDwellingsRangeFrom,default,40
10,NetDwellingsRangeTo,default,40
11,NetDwellingsRangeFrom,default,10
11,NetDwellingsRangeTo,default,10
12,NetDwellingsRangeFrom,default,8
12,NetDwellingsRangeTo,default,8
13,NetDwellingsRangeFrom,default,7
13,NetDwellingsRangeTo,default,7
14,NetDwellingsRangeFrom,default,15
14,NetDwellingsRangeTo,default,15
15,NetDwellingsRangeFrom,default,10
15,NetDwellingsRangeTo,default,10
16,NetDwellingsRangeFrom,default,15
16,NetDwellingsRangeTo,default,15
17,NetDwellingsRangeFrom,default,8
17,NetDwellingsRangeTo,default,8
18,NetDwellingsRangeFrom,default,60
18,NetDwellingsRangeTo,default,60
19,NetDwellingsRangeFrom,default,150
19,NetDwellingsRangeTo,default,150
20,NetDwellingsRangeFrom,default,150
20,NetDwellingsRangeTo,default,150
21,NetDwellingsRangeFrom,default,50
21,NetDwellingsRangeTo,default,50
22,NetDwellingsRangeFrom,default,100
22,NetDwellingsRangeTo,default,100
23,NetDwellingsRangeFrom,default,444
23,NetDwellingsRangeTo,default,444
24,NetDwellingsRangeFrom,default,70
24,NetDwellingsRangeTo,default,70
25,NetDwellingsRangeFrom,default,6
25,NetDwellingsRangeTo,default,6
26,NetDwellingsRangeFrom,default,6
26,NetDwellingsRangeTo,default,6
27,NetDwellingsRangeFrom,default,20
27,NetDwellingsRangeTo,default,20
28,NetDwellingsRangeFrom,default,40
28,NetDwellingsRangeTo,default,40
29,NetDwellingsRangeFrom,default,40
29,NetDwellingsRangeTo,default,40
30,NetDwellingsRangeFrom,default,50
30,NetDwellingsRangeTo,default,50
31,NetDwellingsRangeFrom,default,50
31,NetDwellingsRangeTo,default,50
32,NetDwellingsRangeFrom,default,91
32,NetDwellingsRangeTo,default,91
33,NetDwellingsRangeFrom,default,20
33,NetDwellingsRangeTo,default,20
34,NetDwellingsRangeFrom,default,200
34,NetDwellingsRangeTo,default,200
35,NetDwellingsRangeFrom,default,5
35,NetDwellingsRangeTo,default,5
36,FirstAddedDate,date,208-12-12
36,NetDwellingsRangeFrom,default,20
36,NetDwellingsRangeTo,default,20
37,NetDwellingsRangeFrom,default,12
37,NetDwellingsRangeTo,default,12
38,NetDwellingsRangeFrom,default,15
38,NetDwellingsRangeTo,default,15
39,NetDwellingsRangeFrom,default,6
39,NetDwellingsRangeTo,default,6
40,NetDwellingsRangeFrom,default,11
40,NetDwellingsRangeTo,default,11
41,NetDwellingsRangeFrom,default,153
41,NetDwellingsRangeTo,default,153
42,NetDwellingsRangeFrom,default,30
42,NetDwellingsRangeTo,default,30
43,NetDwellingsRangeFrom,default,6
43,NetDwellingsRangeTo,default,6
44,NetDwellingsRangeFrom,default,6
44,NetDwellingsRangeTo,default,6
45,NetDwellingsRangeFrom,default,7
45,NetDwellingsRangeTo,default,7
46,NetDwellingsRangeFrom,default,9
46,NetDwellingsRangeTo,default,9
47,NetDwellingsRangeFrom,default,5
47,NetDwellingsRangeTo,default,5
48,NetDwellingsRangeFrom,default,70
48,NetDwellingsRangeTo,default,70
49,NetDwellingsRangeFrom,default,6
49,NetDwellingsRangeTo,default,6
50,NetDwellingsRangeFrom,default,23
50,NetDwellingsRangeTo,default,23
51,NetDwellingsRangeFrom,default,9
51,NetDwellingsRangeTo,default,9
52,NetDwellingsRangeFrom,default,6
52,NetDwellingsRangeTo,default,6
53,NetDwellingsRangeFrom,default,6
53,NetDwellingsRangeTo,default,6
54,NetDwellingsRangeFrom,default,230
54,NetDwellingsRangeTo,default,230
55,NetDwellingsRangeFrom,default,29
55,NetDwellingsRangeTo,default,29
56,NetDwellingsRangeFrom,default,8
56,NetDwellingsRangeTo,default,8
57,NetDwellingsRangeFrom,default,7
57,NetDwellingsRangeTo,default,7
58,NetDwellingsRangeFrom,default,9
58,NetDwellingsRangeTo,default,9
59,NetDwellingsRangeFrom,default,9
59,NetDwellingsRangeTo,default,9
60,NetDwellingsRangeFrom,default,147
60,NetDwellingsRangeTo,default,147
61,NetDwellingsRangeFrom,default,7
61,NetDwellingsRangeTo,default,7
62,NetDwellingsRangeFrom,default,6
62,NetDwellingsRangeTo,default,6
63,NetDwellingsRangeFrom,default,18
63,NetDwellingsRangeTo,default,18
64,NetDwellingsRangeFrom,default,7
64,NetDwellingsRangeTo,default,7
65,NetDwellingsRangeFrom,default,10
65,NetDwellingsRangeTo,default,10
