row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,6
1,NetDwellingsRangeTo,default,6
2,NetDwellingsRangeFrom,default,22
2,NetDwellingsRangeTo,default,22
3,NetDwellingsRangeFrom,default,6
3,NetDwellingsRangeTo,default,6
4,NetDwellingsRangeFrom,default,9
4,NetDwellingsRangeTo,default,9
5,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
5,NetDwellingsRangeFrom,default,30
5,NetDwellingsRangeTo,default,30
6,NetDwellingsRangeFrom,default,22
6,NetDwellingsRangeTo,default,22
7,NetDwellingsRangeFrom,default,19
7,NetDwellingsRangeTo,default,19
8,NetDwellingsRangeFrom,default,14
8,NetDwellingsRangeTo,default,14
9,NetDwellingsRangeFrom,default,5
9,NetDwellingsRangeTo,default,5
10,NetDwellingsRangeFrom,default,29
10,NetDwellingsRangeTo,default,29
11,NetDwellingsRangeFrom,default,4
11,NetDwellingsRangeTo,default,4
12,NetDwellingsRangeFrom,default,164
12,NetDwellingsRangeTo,default,164
13,NetDwellingsRangeFrom,default,573
13,NetDwellingsRangeTo,default,573
14,NetDwellingsRangeFrom,default,106
14,NetDwellingsRangeTo,default,106
15,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
15,NetDwellingsRangeFrom,default,35
15,NetDwellingsRangeTo,default,35
16,NetDwellingsRangeFrom,default,345
16,NetDwellingsRangeTo,default,345
17,NetDwellingsRangeFrom,default,7
17,NetDwellingsRangeTo,default,7
18,NetDwellingsRangeFrom,default,13
18,NetDwellingsRangeTo,default,13
19,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
19,NetDwellingsRangeFrom,default,40
19,NetDwellingsRangeTo,default,40
20,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeTo,default,5
21,NetDwellingsRangeFrom,default,22
21,NetDwellingsRangeTo,default,22
22,NetDwellingsRangeFrom,default,5
22,NetDwellingsRangeTo,default,5
23,NetDwellingsRangeFrom,default,15
23,NetDwellingsRangeTo,default,15
24,NetDwellingsRangeFrom,default,8
24,NetDwellingsRangeTo,default,8
25,NetDwellingsRangeFrom,default,6
25,NetDwellingsRangeTo,default,6
26,NetDwellingsRangeFrom,default,60
26,NetDwellingsRangeTo,default,60
27,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
27,NetDwellingsRangeFrom,default,94
27,NetDwellingsRangeTo,default,94
28,NetDwellingsRangeFrom,default,21
28,NetDwellingsRangeTo,default,21
29,NetDwellingsRangeFrom,default,5
29,NetDwellingsRangeTo,default,5
30,NetDwellingsRangeFrom,default,5
30,NetDwellingsRangeTo,default,5
31,NetDwellingsRangeFrom,default,9
31,NetDwellingsRangeTo,default,9
32,NetDwellingsRangeFrom,default,15
32,NetDwellingsRangeTo,default,15
33,NetDwellingsRangeFrom,default,6
33,NetDwellingsRangeTo,default,6
34,NetDwellingsRangeFrom,default,50
34,NetDwellingsRangeTo,default,50
35,NetDwellingsRangeFrom,default,6
35,NetDwellingsRangeTo,default,6
36,NetDwellingsRangeFrom,default,5
36,NetDwellingsRangeTo,default,5
37,NetDwellingsRangeFrom,default,136
37,NetDwellingsRangeTo,default,136
38,NetDwellingsRangeFrom,default,9
38,NetDwellingsRangeTo,default,9
39,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
39,NetDwellingsRangeFrom,default,315
39,NetDwellingsRangeTo,default,315
40,NetDwellingsRangeFrom,default,11
40,NetDwellingsRangeTo,default,11
41,PlanningHistory,uri,Site Allocation in Euston Area Plan http://www.eustonareaplan.info/
41,NetDwellingsRangeFrom,default,1000
41,NetDwellingsRangeTo,default,1000
42,NetDwellingsRangeFrom,default,6
42,NetDwellingsRangeTo,default,6
43,NetDwellingsRangeFrom,default,8
43,NetDwellingsRangeTo,default,8
44,NetDwellingsRangeFrom,default,9
44,NetDwellingsRangeTo,default,9
45,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
45,NetDwellingsRangeFrom,default,58
45,NetDwellingsRangeTo,default,58
46,NetDwellingsRangeFrom,default,13
46,NetDwellingsRangeTo,default,13
47,NetDwellingsRangeFrom,default,9
47,NetDwellingsRangeTo,default,9
48,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
48,NetDwellingsRangeFrom,default,26
48,NetDwellingsRangeTo,default,26
49,NetDwellingsRangeFrom,default,7
49,NetDwellingsRangeTo,default,7
50,NetDwellingsRangeFrom,default,10
50,NetDwellingsRangeTo,default,10
51,NetDwellingsRangeFrom,default,6
51,NetDwellingsRangeTo,default,6
52,NetDwellingsRangeFrom,default,5
52,NetDwellingsRangeTo,default,5
53,NetDwellingsRangeFrom,default,6
53,NetDwellingsRangeTo,default,6
54,NetDwellingsRangeFrom,default,8
54,NetDwellingsRangeTo,default,8
55,NetDwellingsRangeFrom,default,52
55,NetDwellingsRangeTo,default,52
56,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
56,NetDwellingsRangeFrom,default,175
56,NetDwellingsRangeTo,default,175
57,NetDwellingsRangeFrom,default,63
57,NetDwellingsRangeTo,default,63
58,NetDwellingsRangeFrom,default,10
58,NetDwellingsRangeTo,default,10
59,NetDwellingsRangeFrom,default,53
59,NetDwellingsRangeTo,default,53
60,NetDwellingsRangeFrom,default,26
60,NetDwellingsRangeTo,default,26
61,NetDwellingsRangeFrom,default,5
61,NetDwellingsRangeTo,default,5
62,NetDwellingsRangeFrom,default,14
62,NetDwellingsRangeTo,default,14
63,NetDwellingsRangeFrom,default,70
63,NetDwellingsRangeTo,default,70
64,NetDwellingsRangeFrom,default,5
