row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,30
1,NetDwellingsRangeTo,default,30
2,NetDwellingsRangeFrom,default,6
2,NetDwellingsRangeTo,default,6
3,NetDwellingsRangeFrom,default,1000
3,NetDwellingsRangeTo,default,1000
4,NetDwellingsRangeFrom,default,81
4,NetDwellingsRangeTo,default,81
5,NetDwellingsRangeFrom,default,100
5,NetDwellingsRangeTo,default,100
6,NetDwellingsRangeFrom,default,18
6,NetDwellingsRangeTo,default,18
7,NetDwellingsRangeFrom,default,132
7,NetDwellingsRangeTo,default,132
8,NetDwellingsRangeFrom,default,35
8,NetDwellingsRangeTo,default,35
9,NetDwellingsRangeFrom,default,14
9,NetDwellingsRangeTo,default,14
10,NetDwellingsRangeFrom,default,97
10,NetDwellingsRangeTo,default,97
11,NetDwellingsRangeFrom,default,52
11,NetDwellingsRangeTo,default,52
12,NetDwellingsRangeFrom,default,237
12,NetDwellingsRangeTo,default,237
13,NetDwellingsRangeFrom,default,387
13,NetDwellingsRangeTo,default,387
14,NetDwellingsRangeFrom,default,2977
14,NetDwellingsRangeTo,default,2977
15,NetDwellingsRangeFrom,default,2800
15,NetDwellingsRangeTo,default,2800
16,NetDwellingsRangeFrom,default,2900
16,NetDwellingsRangeTo,default,2900
17,NetDwellingsRangeFrom,default,35
17,NetDwellingsRangeTo,default,35
18,NetDwellingsRangeFrom,default,34
18,NetDwellingsRangeTo,default,34
19,NetDwellingsRangeFrom,default,220
19,NetDwellingsRangeTo,default,220
20,NetDwellingsRangeFrom,default,175
20,NetDwellingsRangeTo,default,175
21,NetDwellingsRangeFrom,default,162
21,NetDwellingsRangeTo,default,162
22,NetDwellingsRangeFrom,default,190
22,NetDwellingsRangeTo,default,190
23,NetDwellingsRangeFrom,default,180
23,NetDwellingsRangeTo,default,180
24,NetDwellingsRangeFrom,default,60
24,NetDwellingsRangeTo,default,60
25,NetDwellingsRangeFrom,default,303
25,NetDwellingsRangeTo,default,303
26,NetDwellingsRangeFrom,default,22
26,NetDwellingsRangeTo,default,22
27,NetDwellingsRangeFrom,default,305
27,NetDwellingsRangeTo,default,305
28,NetDwellingsRangeFrom,default,15
28,NetDwellingsRangeTo,default,15
29,NetDwellingsRangeFrom,default,12
29,NetDwellingsRangeTo,default,12
30,NetDwellingsRangeFrom,default,199
30,NetDwellingsRangeTo,default,199
31,NetDwellingsRangeFrom,default,39
31,NetDwellingsRangeTo,default,39
32,NetDwellingsRangeFrom,default,8
32,NetDwellingsRangeTo,default,8
33,NetDwellingsRangeFrom,default,6
33,NetDwellingsRangeTo,default,6
34,NetDwellingsRangeFrom,default,8
34,NetDwellingsRangeTo,default,8
35,NetDwellingsRangeFrom,default,112
35,NetDwellingsRangeTo,default,112
36,NetDwellingsRangeFrom,default,123
36,NetDwellingsRangeTo,default,123
37,NetDwellingsRangeFrom,default,6
37,NetDwellingsRangeTo,default,6
38,NetDwellingsRangeFrom,default,52
38,NetDwellingsRangeTo,default,52
39,NetDwellingsRangeFrom,default,240
39,NetDwellingsRangeTo,default,240
40,NetDwellingsRangeFrom,default,20
40,NetDwellingsRangeTo,default,20
41,NetDwellingsRangeFrom,default,51
41,NetDwellingsRangeTo,default,51
42,NetDwellingsRangeFrom,default,88
42,NetDwellingsRangeTo,default,88
43,NetDwellingsRangeFrom,default,130
43,NetDwellingsRangeTo,default,130
44,NetDwellingsRangeFrom,default,9
44,NetDwellingsRangeTo,default,9
45,NetDwellingsRangeFrom,default,44
45,NetDwellingsRangeTo,default,44
46,NetDwellingsRangeFrom,default,9
46,NetDwellingsRangeTo,default,9
47,NetDwellingsRangeFrom,default,47
47,NetDwellingsRangeTo,default,47
48,NetDwellingsRangeFrom,default,60
48,NetDwellingsRangeTo,default,60
49,NetDwellingsRangeFrom,default,292
49,NetDwellingsRangeTo,default,292
50,NetDwellingsRangeFrom,default,120
50,NetDwellingsRangeTo,default,120
51,NetDwellingsRangeFrom,default,9
51,NetDwellingsRangeTo,default,9
52,NetDwellingsRangeFrom,default,9
52,NetDwellingsRangeTo,default,9
53,NetDwellingsRangeFrom,default,6
53,NetDwellingsRangeTo,default,6
54,NetDwellingsRangeFrom,default,149
54,NetDwellingsRangeTo,default,149
55,NetDwellingsRangeFrom,default,40
55,NetDwellingsRangeTo,default,40
56,NetDwellingsRangeFrom,default,12
56,NetDwellingsRangeTo,default,12
57,NetDwellingsRangeFrom,default,29
57,NetDwellingsRangeTo,default,29
58,NetDwellingsRangeFrom,default,10
58,NetDwellingsRangeTo,default,10
59,NetDwellingsRangeFrom,default,2174
59,NetDwellingsRangeTo,default,2174
60,NetDwellingsRangeFrom,default,66
60,NetDwellingsRangeTo,default,66
61,NetDwellingsRangeFrom,default,26
61,NetDwellingsRangeTo,default,26
62,NetDwellingsRangeFrom,default,56
62,NetDwellingsRangeTo,default,56
63,NetDwellingsRangeFrom,default,9
63,NetDwellingsRangeTo,default,9
64,NetDwellingsRangeFrom,default,94
64,NetDwellingsRangeTo,default,94
65,NetDwellingsRangeFrom,default,124
65,NetDwellingsRangeTo,default,124
66,NetDwellingsRangeFrom,default,254
66,NetDwellingsRangeTo,default,254
67,NetDwellingsRangeFrom,default,11
67,NetDwellingsRangeTo,default,11
68,NetDwellingsRangeFrom,default,8
68,NetDwellingsRangeTo,default,8
69,NetDwellingsRangeFrom,default,107
69,NetDwellingsRangeTo,default,107
70,NetDwellingsRangeFrom,default,13
70,NetDwellingsRangeTo,default,13
71,NetDwellingsRangeFrom,default,33
71,NetDwellingsRangeTo,default,33
72,NetDwellingsRangeFrom,default,631
72,NetDwellingsRangeTo,default,631
73,NetDwellingsRangeFrom,default,100
73,NetDwellingsRangeTo,default,100
74,NetDwellingsRangeFrom,default,8
74,NetDwellingsRangeTo,default,8
75,NetDwellingsRangeFrom,default,8
75,NetDwellingsRangeTo,default,8
76,NetDwellingsRangeFrom,default,10
76,NetDwellingsRangeTo,default,10
77,NetDwellingsRangeFrom,default,556
77,NetDwellingsRangeTo,default,556
78,NetDwellingsRangeFrom,default,170
78,NetDwellingsRangeTo,default,170
79,NetDwellingsRangeFrom,default,281
79,NetDwellingsRangeTo,default,281
80,NetDwellingsRangeFrom,default,130
80,NetDwellingsRangeTo,default,130
81,NetDwellingsRangeFrom,default,34
81,NetDwellingsRangeTo,default,34
82,NetDwellingsRangeFrom,default,132
82,NetDwellingsRangeTo,default,132
83,NetDwellingsRangeFrom,default,41
83,NetDwellingsRangeTo,default,41
84,NetDwellingsRangeFrom,default,22
84,NetDwellingsRangeTo,default,22
85,NetDwellingsRangeFrom,default,2000
85,NetDwellingsRangeTo,default,2000
86,NetDwellingsRangeFrom,default,89
86,NetDwellingsRangeTo,default,89
87,NetDwellingsRangeFrom,default,52
87,NetDwellingsRangeTo,default,52
88,NetDwellingsRangeFrom,default,5
88,NetDwellingsRangeTo,default,5
89,NetDwellingsRangeFrom,default,8
89,NetDwellingsRangeTo,default,8
90,NetDwellingsRangeFrom,default,9
90,NetDwellingsRangeTo,default,9
91,NetDwellingsRangeFrom,default,10
91,NetDwellingsRangeTo,default,10
92,NetDwellingsRangeFrom,default,125
92,NetDwellingsRangeTo,default,125
93,NetDwellingsRangeFrom,default,175
93,NetDwellingsRangeTo,default,175
94,NetDwellingsRangeFrom,default,23
94,NetDwellingsRangeTo,default,23
