row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,49
1,NetDwellingsRangeTo,default,49
2,NetDwellingsRangeFrom,default,13
2,NetDwellingsRangeTo,default,13
3,NetDwellingsRangeFrom,default,9
3,NetDwellingsRangeTo,default,9
4,NetDwellingsRangeFrom,default,6
4,NetDwellingsRangeTo,default,6
5,NetDwellingsRangeFrom,default,7
5,NetDwellingsRangeTo,default,7
6,NetDwellingsRangeFrom,default,6
6,NetDwellingsRangeTo,default,6
7,NetDwellingsRangeFrom,default,10
7,NetDwellingsRangeTo,default,10
8,NetDwellingsRangeFrom,default,22
8,NetDwellingsRangeTo,default,22
9,NetDwellingsRangeFrom,default,8
9,NetDwellingsRangeTo,default,8
10,NetDwellingsRangeFrom,default,4
10,NetDwellingsRangeTo,default,4
11,NetDwellingsRangeFrom,default,8
11,NetDwellingsRangeTo,default,8
12,NetDwellingsRangeFrom,default,11
12,NetDwellingsRangeTo,default,11
13,NetDwellingsRangeFrom,default,9
13,NetDwellingsRangeTo,default,9
14,NetDwellingsRangeFrom,default,29
14,NetDwellingsRangeTo,default,29
15,NetDwellingsRangeFrom,default,5
15,NetDwellingsRangeTo,default,5
16,NetDwellingsRangeFrom,default,31
16,NetDwellingsRangeTo,default,31
17,NetDwellingsRangeFrom,default,11
17,NetDwellingsRangeTo,default,11
18,NetDwellingsRangeFrom,default,16
18,NetDwellingsRangeTo,default,16
19,NetDwellingsRangeFrom,default,97
19,NetDwellingsRangeTo,default,97
20,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeTo,default,5
21,NetDwellingsRangeFrom,default,6
21,NetDwellingsRangeTo,default,6
22,NetDwellingsRangeFrom,default,28
22,NetDwellingsRangeTo,default,28
23,NetDwellingsRangeFrom,default,9
23,NetDwellingsRangeTo,default,9
24,NetDwellingsRangeFrom,default,3
24,NetDwellingsRangeTo,default,3
25,NetDwellingsRangeFrom,default,3
25,NetDwellingsRangeTo,default,3
26,NetDwellingsRangeFrom,default,6
26,NetDwellingsRangeTo,default,6
