row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,16
1,NetDwellingsRangeTo,default,16
2,NetDwellingsRangeFrom,default,7
2,NetDwellingsRangeTo,default,7
3,PlanningHistory,uri,Fitzrovia Area Action Plan http://camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/fitzrovia-aap.en
3,NetDwellingsRangeFrom,default,20
3,NetDwellingsRangeTo,default,20
4,NetDwellingsRangeFrom,default,7
4,NetDwellingsRangeTo,default,7
5,NetDwellingsRangeFrom,default,9
5,NetDwellingsRangeTo,default,9
6,NetDwellingsRangeFrom,default,184
6,NetDwellingsRangeTo,default,184
7,NetDwellingsRangeFrom,default,164
7,NetDwellingsRangeTo,default,164
8,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
8,NetDwellingsRangeFrom,default,26
8,NetDwellingsRangeTo,default,26
9,NetDwellingsRangeFrom,default,6
9,NetDwellingsRangeTo,default,6
10,NetDwellingsRangeFrom,default,22
10,NetDwellingsRangeTo,default,22
11,NetDwellingsRangeFrom,default,6
11,NetDwellingsRangeTo,default,6
12,NetDwellingsRangeFrom,default,7
12,NetDwellingsRangeTo,default,7
13,NetDwellingsRangeFrom,default,106
13,NetDwellingsRangeTo,default,106
14,NetDwellingsRangeFrom,default,19
14,NetDwellingsRangeTo,default,19
15,NetDwellingsRangeFrom,default,573
15,NetDwellingsRangeTo,default,573
16,NetDwellingsRangeFrom,default,93
16,NetDwellingsRangeTo,default,93
17,NetDwellingsRangeFrom,default,14
17,NetDwellingsRangeTo,default,14
18,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
18,NetDwellingsRangeFrom,default,55
18,NetDwellingsRangeTo,default,55
19,NetDwellingsRangeFrom,default,12
19,NetDwellingsRangeTo,default,12
20,NetDwellingsRangeFrom,default,9
20,NetDwellingsRangeTo,default,9
21,NetDwellingsRangeFrom,default,22
21,NetDwellingsRangeTo,default,22
22,NetDwellingsRangeFrom,default,136
22,NetDwellingsRangeTo,default,136
23,NetDwellingsRangeFrom,default,12
23,NetDwellingsRangeTo,default,12
24,NetDwellingsRangeFrom,default,9
24,NetDwellingsRangeTo,default,9
25,NetDwellingsRangeFrom,default,6
25,NetDwellingsRangeTo,default,6
26,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
26,NetDwellingsRangeFrom,default,58
26,NetDwellingsRangeTo,default,58
27,NetDwellingsRangeFrom,default,6
27,NetDwellingsRangeTo,default,6
28,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeTo,default,5
29,NetDwellingsRangeFrom,default,10
29,NetDwellingsRangeTo,default,10
30,NetDwellingsRangeFrom,default,4
30,NetDwellingsRangeTo,default,4
31,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
31,NetDwellingsRangeFrom,default,94
31,NetDwellingsRangeTo,default,94
32,NetDwellingsRangeFrom,default,6
32,NetDwellingsRangeTo,default,6
33,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
33,NetDwellingsRangeFrom,default,35
33,NetDwellingsRangeTo,default,35
34,NetDwellingsRangeFrom,default,5
34,NetDwellingsRangeTo,default,5
35,NetDwellingsRangeFrom,default,121
35,NetDwellingsRangeTo,default,121
