row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,13
1,NetDwellingsRangeTo,default,13
2,NetDwellingsRangeFrom,default,13
2,NetDwellingsRangeTo,default,13
3,NetDwellingsRangeFrom,default,24
3,NetDwellingsRangeTo,default,24
4,NetDwellingsRangeFrom,default,13
4,NetDwellingsRangeTo,default,13
5,NetDwellingsRangeFrom,default,146
5,NetDwellingsRangeTo,default,146
6,MinNetDwellings,integer,Unspecified
7,MinNetDwellings,integer,Unspecified
8,NetDwellingsRangeFrom,default,9
8,NetDwellingsRangeTo,default,9
9,NetDwellingsRangeFrom,default,8
9,NetDwellingsRangeTo,default,8
10,NetDwellingsRangeFrom,default,27
10,NetDwellingsRangeTo,default,27
11,NetDwellingsRangeFrom,default,5
11,NetDwellingsRangeTo,default,5
12,NetDwellingsRangeFrom,default,5
12,NetDwellingsRangeTo,default,5
13,NetDwellingsRangeFrom,default,8
13,NetDwellingsRangeTo,default,8
14,NetDwellingsRangeFrom,default,108
14,NetDwellingsRangeTo,default,108
15,NetDwellingsRangeFrom,default,178
15,NetDwellingsRangeTo,default,178
16,NetDwellingsRangeFrom,default,64
16,NetDwellingsRangeTo,default,64
17,NetDwellingsRangeFrom,default,10
17,NetDwellingsRangeTo,default,10
