row-number,field,issue-type,value
1,"GeoX,GeoY",WGS84 outside England,"2.119790613,52.81085414"
2,"GeoX,GeoY",WGS84 outside England,"2.090782895,52.80168953"
3,"GeoX,GeoY",WGS84 outside England,"2.006685442,52.80260184"
4,"GeoX,GeoY",WGS84 outside England,"2.006565661,52.80213062"
5,"GeoX,GeoY",WGS84 outside England,"2.116553008,52.79989903"
6,"GeoX,GeoY",WGS84 outside England,"2.120262594,52.81514658"
7,"GeoX,GeoY",WGS84 outside England,"2.147283766,52.90571652"
8,"GeoX,GeoY",WGS84 outside England,"2.118544265,52.81394886"
9,"GeoX,GeoY",WGS84 outside England,"2.002333246,52.89192953"
10,"GeoX,GeoY",WGS84 outside England,"2.12383024,52.81535476"
11,"GeoX,GeoY",WGS84 outside England,"2.037257801,52.83685437"
12,"GeoX,GeoY",WGS84 outside England,"2.142513422,52.91092724"
13,"GeoX,GeoY",WGS84 outside England,"2.082207298,52.78990614"
21,"GeoX,GeoY",WGS84 outside England,"2.117030683,52.80289332"
22,"GeoX,GeoY",WGS84 outside England,"2.106461187,52.80556428"
23,"GeoX,GeoY",WGS84 outside England,"2.149992514,52.90222522"
24,"GeoX,GeoY",WGS84 outside England,"2.122450664,52.78921474"
25,"GeoX,GeoY",WGS84 outside England,"2.117041008,52.80671384"
26,"GeoX,GeoY",WGS84 outside England,"2.11354234,52.80758027"
33,"GeoX,GeoY",WGS84 outside England,"2.174510417,52.95058145"
34,"GeoX,GeoY",WGS84 outside England,"2.097110939,52.96136828"
35,"GeoX,GeoY",WGS84 outside England,"2.114223221,52.80700428"
36,"GeoX,GeoY",WGS84 outside England,"2.233053016,52.94896161"
37,"GeoX,GeoY",WGS84 outside England,"2.286692567,52.91553816"
38,"GeoX,GeoY",WGS84 outside England,"2.354805987,52.82660995"
39,"GeoX,GeoY",WGS84 outside England,"2.221967465,52.84498441"
40,"GeoX,GeoY",WGS84 outside England,"2.115270616,52.81594779"
41,OrganisationURI,opendatacommunities-uri,http://opendatacommunities.org/id/geography/administration/nmd/e07000247
41,"GeoX,GeoY",WGS84 outside England,"2.115089666,52.8036953"
42,OrganisationURI,opendatacommunities-uri,http://opendatacommunities.org/id/geography/administration/nmd/e07000248
43,OrganisationURI,opendatacommunities-uri,http://opendatacommunities.org/id/geography/administration/nmd/e07000249
