row-number,field,issue-type,value
1,LastUpdatedDate,default,2017-12-21
2,LastUpdatedDate,default,2017-12-21
3,LastUpdatedDate,default,2017-12-21
4,LastUpdatedDate,default,2017-12-21
5,LastUpdatedDate,default,2017-12-21
6,LastUpdatedDate,default,2017-12-21
7,LastUpdatedDate,default,2017-12-21
8,LastUpdatedDate,default,2017-12-21
16,LastUpdatedDate,default,2017-12-21
17,LastUpdatedDate,default,2017-12-21
19,LastUpdatedDate,default,2017-12-21
39,"GeoX,GeoY",WGS84 outside England,"0,0"
40,LastUpdatedDate,default,2017-12-21
41,"GeoX,GeoY",WGS84 outside England,"0,0"
42,"GeoX,GeoY",WGS84 outside England,"0,0"
43,"GeoX,GeoY",WGS84 outside England,"0,0"
44,"GeoX,GeoY",WGS84 outside England,"0,0"
