row-number,field,issue-type,value
1,LastUpdatedDate,default,2017-11-22
2,NetDwellingsRangeTo,default,7
2,LastUpdatedDate,default,2017-11-22
3,NetDwellingsRangeTo,default,5
3,LastUpdatedDate,default,2017-11-22
4,LastUpdatedDate,default,2017-11-22
5,NetDwellingsRangeTo,default,36
5,LastUpdatedDate,default,2019-11-26
6,LastUpdatedDate,default,2019-11-26
7,NetDwellingsRangeTo,default,5
7,LastUpdatedDate,default,2020-11-17
8,NetDwellingsRangeTo,default,31
8,LastUpdatedDate,default,2017-11-22
9,NetDwellingsRangeTo,default,6
9,LastUpdatedDate,default,2019-11-26
10,NetDwellingsRangeTo,default,5
10,LastUpdatedDate,default,2019-11-26
11,NetDwellingsRangeTo,default,39
11,LastUpdatedDate,default,2017-11-22
12,LastUpdatedDate,default,2017-11-22
13,LastUpdatedDate,default,2017-11-22
14,LastUpdatedDate,default,2017-11-22
15,LastUpdatedDate,default,2017-11-22
16,NetDwellingsRangeTo,default,5
16,LastUpdatedDate,default,2019-12-20
17,NetDwellingsRangeTo,default,5
17,LastUpdatedDate,default,2020-11-17
18,NetDwellingsRangeTo,default,45
18,LastUpdatedDate,default,2019-11-26
19,LastUpdatedDate,default,2017-11-22
20,NetDwellingsRangeTo,default,6
20,LastUpdatedDate,default,2017-11-22
21,LastUpdatedDate,default,2017-11-22
22,NetDwellingsRangeTo,default,27
22,LastUpdatedDate,default,2019-11-26
23,NetDwellingsRangeTo,default,10
23,LastUpdatedDate,default,2017-11-22
