row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,5
1,NetDwellingsRangeTo,default,5
2,NetDwellingsRangeFrom,default,6
2,NetDwellingsRangeTo,default,6
3,NetDwellingsRangeFrom,default,36
3,NetDwellingsRangeTo,default,36
4,NetDwellingsRangeFrom,default,7
4,NetDwellingsRangeTo,default,7
5,NetDwellingsRangeFrom,default,12
5,NetDwellingsRangeTo,default,12
6,NetDwellingsRangeFrom,default,8
6,NetDwellingsRangeTo,default,8
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
8,NetDwellingsRangeFrom,default,5
8,NetDwellingsRangeTo,default,5
9,PlanningHistory,uri,Site Allocation in Euston Area Plan http://www.eustonareaplan.info/
9,NetDwellingsRangeFrom,default,1400
9,NetDwellingsRangeTo,default,1400
10,NetDwellingsRangeFrom,default,22
10,NetDwellingsRangeTo,default,22
11,NetDwellingsRangeFrom,default,5
11,NetDwellingsRangeTo,default,5
12,NetDwellingsRangeFrom,default,8
12,NetDwellingsRangeTo,default,8
13,NetDwellingsRangeFrom,default,53
13,NetDwellingsRangeTo,default,53
14,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
14,NetDwellingsRangeFrom,default,55
14,NetDwellingsRangeTo,default,55
15,NetDwellingsRangeFrom,default,8
15,NetDwellingsRangeTo,default,8
16,NetDwellingsRangeFrom,default,26
16,NetDwellingsRangeTo,default,26
17,NetDwellingsRangeFrom,default,22
17,NetDwellingsRangeTo,default,22
18,NetDwellingsRangeFrom,default,7
18,NetDwellingsRangeTo,default,7
19,NetDwellingsRangeFrom,default,184
19,NetDwellingsRangeTo,default,184
20,NetDwellingsRangeFrom,default,7
20,NetDwellingsRangeTo,default,7
21,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
21,NetDwellingsRangeFrom,default,175
21,NetDwellingsRangeTo,default,175
22,NetDwellingsRangeFrom,default,9
22,NetDwellingsRangeTo,default,9
23,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
23,NetDwellingsRangeFrom,default,94
23,NetDwellingsRangeTo,default,94
24,NetDwellingsRangeFrom,default,22
24,NetDwellingsRangeTo,default,22
25,NetDwellingsRangeFrom,default,164
25,NetDwellingsRangeTo,default,164
26,NetDwellingsRangeFrom,default,12
26,NetDwellingsRangeTo,default,12
27,NetDwellingsRangeFrom,default,42
27,NetDwellingsRangeTo,default,42
28,NetDwellingsRangeFrom,default,7
28,NetDwellingsRangeTo,default,7
29,NetDwellingsRangeFrom,default,29
29,NetDwellingsRangeTo,default,29
30,NetDwellingsRangeFrom,default,6
30,NetDwellingsRangeTo,default,6
31,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
31,NetDwellingsRangeFrom,default,40
31,NetDwellingsRangeTo,default,40
32,NetDwellingsRangeFrom,default,6
32,NetDwellingsRangeTo,default,6
33,NetDwellingsRangeFrom,default,27
33,NetDwellingsRangeTo,default,27
34,NetDwellingsRangeFrom,default,6
34,NetDwellingsRangeTo,default,6
35,NetDwellingsRangeFrom,default,6
35,NetDwellingsRangeTo,default,6
36,NetDwellingsRangeFrom,default,9
36,NetDwellingsRangeTo,default,9
37,NetDwellingsRangeFrom,default,9
37,NetDwellingsRangeTo,default,9
38,NetDwellingsRangeFrom,default,6
38,NetDwellingsRangeTo,default,6
39,NetDwellingsRangeFrom,default,60
39,NetDwellingsRangeTo,default,60
40,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
40,NetDwellingsRangeFrom,default,26
40,NetDwellingsRangeTo,default,26
41,NetDwellingsRangeFrom,default,14
41,NetDwellingsRangeTo,default,14
42,NetDwellingsRangeFrom,default,5
42,NetDwellingsRangeTo,default,5
43,NetDwellingsRangeFrom,default,38
43,NetDwellingsRangeTo,default,38
44,NetDwellingsRangeFrom,default,9
44,NetDwellingsRangeTo,default,9
45,NetDwellingsRangeFrom,default,21
45,NetDwellingsRangeTo,default,21
46,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
46,NetDwellingsRangeFrom,default,35
46,NetDwellingsRangeTo,default,35
47,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
47,NetDwellingsRangeFrom,default,35
47,NetDwellingsRangeTo,default,35
48,NetDwellingsRangeFrom,default,5
48,NetDwellingsRangeTo,default,5
49,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
49,NetDwellingsRangeFrom,default,60
49,NetDwellingsRangeTo,default,60
50,NetDwellingsRangeFrom,default,573
50,NetDwellingsRangeTo,default,573
51,NetDwellingsRangeFrom,default,345
51,NetDwellingsRangeTo,default,345
52,PlanningHistory,uri,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-development-plan/
52,NetDwellingsRangeFrom,default,58
52,NetDwellingsRangeTo,default,58
53,NetDwellingsRangeFrom,default,10
53,NetDwellingsRangeTo,default,10
54,NetDwellingsRangeFrom,default,5
54,NetDwellingsRangeTo,default,5
55,NetDwellingsRangeFrom,default,9
55,NetDwellingsRangeTo,default,9
56,NetDwellingsRangeFrom,default,5
56,NetDwellingsRangeTo,default,5
57,NetDwellingsRangeFrom,default,15
57,NetDwellingsRangeTo,default,15
58,NetDwellingsRangeFrom,default,4
58,NetDwellingsRangeTo,default,4
59,NetDwellingsRangeFrom,default,63
59,NetDwellingsRangeTo,default,63
60,NetDwellingsRangeFrom,default,50
60,NetDwellingsRangeTo,default,50
