row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,16
1,NetDwellingsRangeTo,default,16
2,NetDwellingsRangeFrom,default,8
2,NetDwellingsRangeTo,default,8
3,NetDwellingsRangeFrom,default,9
3,NetDwellingsRangeTo,default,9
4,NetDwellingsRangeFrom,default,8
4,NetDwellingsRangeTo,default,8
5,NetDwellingsRangeFrom,default,48
5,NetDwellingsRangeTo,default,48
6,NetDwellingsRangeFrom,default,18
6,NetDwellingsRangeTo,default,18
7,NetDwellingsRangeFrom,default,25
7,NetDwellingsRangeTo,default,25
8,NetDwellingsRangeFrom,default,26
8,NetDwellingsRangeTo,default,26
9,NetDwellingsRangeFrom,default,107
9,NetDwellingsRangeTo,default,107
10,PlanningHistory,uri,Previous Approval in 2016  for 81 dwellings which has now expired.
10,NetDwellingsRangeFrom,default,81
10,NetDwellingsRangeTo,default,81
11,PlanningHistory,uri,Previous Approval in 2017  for 29 dwellings which has now expired.
11,NetDwellingsRangeFrom,default,26
11,NetDwellingsRangeTo,default,26
12,NetDwellingsRangeFrom,default,5
12,NetDwellingsRangeTo,default,5
13,NetDwellingsRangeFrom,default,25
13,NetDwellingsRangeTo,default,25
14,NetDwellingsRangeFrom,default,73
14,NetDwellingsRangeTo,default,73
15,NetDwellingsRangeFrom,default,9
15,NetDwellingsRangeTo,default,9
16,NetDwellingsRangeFrom,default,7
16,NetDwellingsRangeTo,default,7
17,NetDwellingsRangeFrom,default,7
17,NetDwellingsRangeTo,default,7
18,NetDwellingsRangeFrom,default,9
18,NetDwellingsRangeTo,default,9
19,NetDwellingsRangeFrom,default,10
19,NetDwellingsRangeTo,default,10
20,NetDwellingsRangeFrom,default,52
20,NetDwellingsRangeTo,default,52
21,NetDwellingsRangeFrom,default,6
21,NetDwellingsRangeTo,default,6
22,NetDwellingsRangeFrom,default,30
22,NetDwellingsRangeTo,default,30
22,LastUpdatedDate,default,2021-01-05
