row-number,field,issue-type,value
1,PlanningHistory,uri,No relevant planning history
1,NetDwellingsRangeFrom,default,186
1,NetDwellingsRangeTo,default,186
2,PlanningHistory,uri,No relevant planning history
2,NetDwellingsRangeFrom,default,43
2,NetDwellingsRangeTo,default,43
3,PlanningHistory,uri,2013/1114/FUL
3,NetDwellingsRangeFrom,default,13
3,NetDwellingsRangeTo,default,13
4,PlanningHistory,uri,2015/1158/FUL
4,NetDwellingsRangeFrom,default,5
4,NetDwellingsRangeTo,default,5
5,PlanningHistory,uri,No relevant planning history
5,NetDwellingsRangeFrom,default,5
5,NetDwellingsRangeTo,default,5
6,PlanningHistory,uri,2013/0835/FUL
6,NetDwellingsRangeFrom,default,7
6,NetDwellingsRangeTo,default,7
7,PlanningHistory,uri,2014/0621/FUL
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
8,PlanningHistory,uri,2015/1240/FUL
8,NetDwellingsRangeFrom,default,5
8,NetDwellingsRangeTo,default,5
9,PlanningHistory,uri,2015/1237/FUL
9,NetDwellingsRangeFrom,default,5
9,NetDwellingsRangeTo,default,5
10,PlanningHistory,uri,2012/1068/FUL
10,NetDwellingsRangeFrom,default,5
10,NetDwellingsRangeTo,default,5
11,PlanningHistory,uri,No relevant planning history
11,NetDwellingsRangeFrom,default,15
11,NetDwellingsRangeTo,default,15
12,PlanningHistory,uri,No relevant planning history
12,NetDwellingsRangeFrom,default,18
12,NetDwellingsRangeTo,default,18
13,PlanningHistory,uri,2012/0604/COU
13,NetDwellingsRangeFrom,default,38
13,NetDwellingsRangeTo,default,38
14,PlanningHistory,uri,2014/1171/COU
14,NetDwellingsRangeFrom,default,14
14,NetDwellingsRangeTo,default,14
15,PlanningHistory,uri,2016/0189/REM
15,NetDwellingsRangeFrom,default,300
15,NetDwellingsRangeTo,default,300
16,PlanningHistory,uri,2009/0805/REM
16,NetDwellingsRangeFrom,default,301
16,NetDwellingsRangeTo,default,301
17,PlanningHistory,uri,2011/1169/FUL
17,NetDwellingsRangeFrom,default,6
17,NetDwellingsRangeTo,default,6
18,PlanningHistory,uri,No relevant planning history
18,NetDwellingsRangeFrom,default,30
18,NetDwellingsRangeTo,default,30
19,PlanningHistory,uri,2012/1132/OUT
19,NetDwellingsRangeFrom,default,14
19,NetDwellingsRangeTo,default,14
20,PlanningHistory,uri,2014/0541/FUL
20,NetDwellingsRangeFrom,default,13
20,NetDwellingsRangeTo,default,13
21,PlanningHistory,uri,2013/1065/FUL
21,NetDwellingsRangeFrom,default,16
21,NetDwellingsRangeTo,default,16
22,PlanningHistory,uri,2013/0730/FUL
22,NetDwellingsRangeFrom,default,9
22,NetDwellingsRangeTo,default,9
23,PlanningHistory,uri,2012/0159/OUT
23,NetDwellingsRangeFrom,default,305
23,NetDwellingsRangeTo,default,305
24,PlanningHistory,uri,2004/1264/FUL
24,NetDwellingsRangeFrom,default,32
24,NetDwellingsRangeTo,default,32
25,PlanningHistory,uri,No relevant planning history
25,NetDwellingsRangeFrom,default,32
25,NetDwellingsRangeTo,default,32
26,PlanningHistory,uri,2013/0291/FUL
26,NetDwellingsRangeFrom,default,103
26,NetDwellingsRangeTo,default,103
27,PlanningHistory,uri,No relevant planning history
27,NetDwellingsRangeFrom,default,21
27,NetDwellingsRangeTo,default,21
28,PlanningHistory,uri,No relevant planning history
28,NetDwellingsRangeFrom,default,218
28,NetDwellingsRangeTo,default,218
29,PlanningHistory,uri,2012/0541/EIA
29,NetDwellingsRangeFrom,default,863
29,NetDwellingsRangeTo,default,863
30,PlanningHistory,uri,2014/0782/FUL
30,NetDwellingsRangeFrom,default,8
30,NetDwellingsRangeTo,default,8
31,PlanningHistory,uri,2015/0691/FUL
31,NetDwellingsRangeFrom,default,14
31,NetDwellingsRangeTo,default,14
32,PlanningHistory,uri,2014/0997/REM
32,NetDwellingsRangeFrom,default,7
32,NetDwellingsRangeTo,default,7
33,PlanningHistory,uri,2014/0645/FUL
33,NetDwellingsRangeFrom,default,8
33,NetDwellingsRangeTo,default,8
34,PlanningHistory,uri,No relevant planning history
34,NetDwellingsRangeFrom,default,11
34,NetDwellingsRangeTo,default,11
35,PlanningHistory,uri,2014/0952/FUL
35,NetDwellingsRangeFrom,default,6
35,NetDwellingsRangeTo,default,6
36,PlanningHistory,uri,No relevant planning history
36,NetDwellingsRangeFrom,default,14
36,NetDwellingsRangeTo,default,14
37,PlanningHistory,uri,2015/0318/FUL
37,NetDwellingsRangeFrom,default,39
37,NetDwellingsRangeTo,default,39
38,PlanningHistory,uri,2013/0811/OUT
38,NetDwellingsRangeFrom,default,65
38,NetDwellingsRangeTo,default,65
