row-number,field,issue-type,value
1,"GeoX,GeoY",Failed to convert point to decimal %s,"['546,023.30', '310,088.08']"
2,"GeoX,GeoY",Failed to convert point to decimal %s,"['541,368.09', '296,996.71']"
3,"GeoX,GeoY",Failed to convert point to decimal %s,"['540,902.23', '297,155.14']"
4,"GeoX,GeoY",Failed to convert point to decimal %s,"['540,945.45', '297,140.26']"
5,"GeoX,GeoY",Failed to convert point to decimal %s,"['547,415.61', '289,233.15']"
6,"GeoX,GeoY",Failed to convert point to decimal %s,"['527,658.66', '296,860.64']"
7,"GeoX,GeoY",Failed to convert point to decimal %s,"['546,388.86', '309,534.08']"
8,"GeoX,GeoY",Failed to convert point to decimal %s,"['546,635.32', '309,410.77']"
9,"GeoX,GeoY",Failed to convert point to decimal %s,"['526,725.74', '297,337.10']"
10,"GeoX,GeoY",Failed to convert point to decimal %s,"['540,955.89', '295,887.07']"
11,"GeoX,GeoY",Failed to convert point to decimal %s,"['547,454.47', '310,457.67']"
12,"GeoX,GeoY",Failed to convert point to decimal %s,"['541,733.34', '297,674.83']"
13,"GeoX,GeoY",Failed to convert point to decimal %s,"['539,045.22', '286,916.09']"
14,"GeoX,GeoY",Failed to convert point to decimal %s,"['545,964.01', '310,689.14']"
15,"GeoX,GeoY",Failed to convert point to decimal %s,"['527,160.22', '296,843.53']"
16,"GeoX,GeoY",Failed to convert point to decimal %s,"['528,320.25', '296,933.23']"
