row-number,field,issue-type,value
1,PlanningHistory,uri,"PP/15/03067

https://www.rbkc.gov.uk/planning/searches/default.aspx  

Site allocation CA7 in the adopted Local Plan and CA6 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
2,PlanningHistory,uri,"PP/18/01416     PP/16/07740
PP/17/01973
PP/10/02817
 https://www.rbkc.gov.uk/planning/searches/default.aspx  

Site allocation CA6 in the adopted Local Plan and CA7 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
3,PlanningHistory,uri,"PP/15/04338

https://www.rbkc.gov.uk/planning/searches/default.aspx"
4,PlanningHistory,uri,"PP/08/01214

PP/12/05112
 https://www.rbkc.gov.uk/planning/searches/default.aspx 

Site allocation CA6 in the adopted Local Plan and CA7 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
5,PlanningHistory,uri,"PP/13/05341 

https://www.rbkc.gov.uk/planning/searches/default.aspx"
6,PlanningHistory,uri,"NMA/14/06678

PP/14/01234

https://www.rbkc.gov.uk/planning/searches/default.aspx 

Site allocation CA6 in the adopted Local Plan and CA7 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
7,PlanningHistory,uri,"PP/15/02618

https://www.rbkc.gov.uk/planning/searches/default.aspx"
8,PlanningHistory,uri,"PP/16/00423



https://www.rbkc.gov.uk/planning/searches/default.aspx"
9,PlanningHistory,uri,"PP/16/01795



https://www.rbkc.gov.uk/planning/searches/default.aspx"
10,PlanningHistory,uri,"PP/11/01937



https://www.rbkc.gov.uk/planning/searches/default.aspx 

Site allocation CA7 in the adopted Local Plan and CA6 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
12,PlanningHistory,uri,"Site allocation CA1 both in the adopted Local Plan and the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
12,NetDwellingsRangeFrom,integer,"3,500"
12,NetDwellingsRangeTo,integer,"3,500"
12,NetDwellingsRangeFrom,default,3500
12,NetDwellingsRangeTo,default,3500
13,PlanningHistory,uri,"PP/02/01324, s73 applications 

NMA/16/05655

https://www.rbkc.gov.uk/planning/searches/default.aspx 

Chapter 27 in the adopted Local Plan and Policy CA9 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
14,PlanningHistory,uri,"PP/17/05782 - 
**On 26 March 2018 the Mayor of London notified RBKC that he will determine the application. 


https://www.rbkc.gov.uk/planning/searches/default.aspx"
16,PlanningHistory,uri,"PP/16/04366

Site allocation CA12 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
18,PlanningHistory,uri,"Site allocation CA3 in the adopted Local Plan and CA4 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
19,PlanningHistory,uri,"PP/17/01905

PP/14/01242

PP/13/04516

https://www.rbkc.gov.uk/planning/searches/default.aspx 

Site allocation CA2 in the adopted Local Plan and CA3 in the Local Plan Partial Review (LPPR)

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
20,PlanningHistory,uri,"PP/17/00583                PP/18/04268

https://www.rbkc.gov.uk/planning/searches/default.aspx"
21,PlanningHistory,uri,"Site allocation CA10 in the Local Plan Partial Review

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
22,PlanningHistory,uri,"Site allocation CA11 in the Local Plan Partial Review

https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/local-plan/local-plan"
23,PlanningHistory,uri,"Site allocation in St Quintin and Woodlands Neighbourhood Plan

https://www.rbkc.gov.uk/planning-and-building-control/neighbourhood-planning/current-projects/st-quintin-and-woodlands"
