site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"7 Lower Borough Walls, Bath",yes,,2018-12-21,,0.06,7,7,16/00782/FUL,local-authority-eng:BAS,not owned by a public authority,2016-06-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Newbridge House, Bristol Road, Chew Stoke",yes,,2017-12-21,,0.07,5,5,16/00571/FUL,local-authority-eng:BAS,not owned by a public authority,2016-10-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"St Augustines Surgery, 4 Station Road, Keynsham",yes,,2018-12-21,,0.08,6,6,16/04660/FUL,local-authority-eng:BAS,not owned by a public authority,2016-11-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Parish Centre, Harley Street, Bath",yes,,2018-12-21,,0.02,8,8,14/01153/FUL,local-authority-eng:BAS,not owned by a public authority,2014-05-14,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"E Block, MoD Ensleigh, Bath",yes,,2018-12-21,,0.19,9,9,16/02706/FUL,local-authority-eng:BAS,not owned by a public authority,2016-12-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Westways Garage, Bath Road, Marksbury",yes,,2018-12-21,,0.06,7,7,15/00424/ODCOU,local-authority-eng:BAS,not owned by a public authority,2015-03-23,,permissioned,other,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"The Island, Midsomer Norton",yes,,2018-12-21,,0.03,10,10,15/04021/SDCOU,local-authority-eng:BAS,not owned by a public authority,2015-11-03,,permissioned,other,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Pensford Garage, New Road, Pensford",yes,,2018-12-21,,0.17,9,9,15/04054/FUL,local-authority-eng:BAS,not owned by a public authority,2016-05-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Old Colliery Yard, Wick Lane, Pensford",yes,,2018-12-21,,0.6,7,7,14/02858/FUL,local-authority-eng:BAS,not owned by a public authority,2015-03-26,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Unit 2 Lymore Gardens, Bath",yes,,2018-12-21,,0.05,8,8,16/04261/FUL,local-authority-eng:BAS,not owned by a public authority,2017-02-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"151 - 152 High Street Twerton, Bath",yes,,2018-12-21,,0.02,7,7,15/03742/FUL,local-authority-eng:BAS,not owned by a public authority,2016-05-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Designer Composites, Fosseway, Westfield",yes,,2018-12-21,,0.21,7,7,12/00107/FUL,local-authority-eng:BAS,not owned by a public authority,2015-03-13,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"44 Lower Bristol Road, Bath",yes,,2018-12-21,,0.04,16,16,16/02527/FUL,local-authority-eng:BAS,not owned by a public authority,2017-01-01,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"The Wharf, Greensbrook, Clutton",yes,,2018-12-21,,0.66,15,15,12/00293/FUL,local-authority-eng:BAS,not owned by a public authority,2015-04-02,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Riverside, Keynsham",yes,,2018-12-21,,0.59,98,98,16/05646/ODCOU,local-authority-eng:BAS,owned by a public authority,2017-02-01,,permissioned,other,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
Hinton Garage,yes,,2018-12-21,,0.43,67,67,16/06188/FUL,local-authority-eng:BAS,not owned by a public authority,2017-06-20,,permissioned,full planning permission,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
